节点编号,原文,设计行为,源节点
1,专注于老年人健康陪伴我更想设计的可能是偏重于某一个在老年人的老年疾病，某一些针对有特殊疾病的,基于功能的分析,0
2,因为我自己本身我爷爷奶奶也有一些慢性病，比如像帕金森高血压,基于功能的先例,1
3,更想关注的点是针对，可能普适性没有那么好，但是会针对某一类型的疾病做健康陪伴的机器人,基于功能的分析,2
4,因为现在的这些机器人反正也不太普适，就是针对现有的一些老年人陪伴可能更多的比如说像小度智能屏这种偏向于娱乐的，,基于功能的先例,3
5,我觉得就对于他们的精神方面的满足已经足够了，就是更多的可能是要有一些方便他们生活或者是运动的机器人比较合适,基于功能的分析,4
6,我想以我的奶奶为例，有帕金森他行动，首先第一点他行动不是很方便。然后第二点是他一些动手能力不是很强,基于功能的先例,3
7,机器人他的灵活性又比较强，比如说在家里四处运动然后同时，又可以进行一定的语音沟通,概念合成-功能,6
8,可以相对代替这个保姆的这样的一个角色，同时又可以避免让老人觉得自己是在被照顾，然后机器人可能给他一个更平等的那种感觉吧,基于功能的评估,7
9,它的基础功能肯定是可以运动，可以语音对话、打电话微信去沟通,概念合成-功能,8
10,它尺寸是不是很不能过于大，不能有那种恐怖谷效应，像一个人一样，就是可能要和商场的那种。可以上菜的小型机器人可能半人高是最合适的,概念合成-结构,9
11,就是弯腰可以够到的一个距离,概念合成-结构,10
12,同时它可能要有一块电子屏幕,概念合成-结构,9
13,与小孩的高度应该差不多与儿童相近，表情通过屏幕展示亲和性强,基于结构的分析,11
14,"可以自由移动,有一些机械手臂或者是一些机械结构，可以方便它拿取东西或者是,招手挥手像拟人化",概念合成-结构,9
15,现有的机器人的颜色是一样的，都是白色的或者是银色的。,概念合成-结构,14
16,采用一些与家居颜色相近的机器人,概念合成-结构,15
17,我之前去医院调研的时候做过一种那种小型的机器人,基于功能的先例,0
18,健康陪伴。那一天他早上起来，早上起来有人唤醒他。提醒你该吃药了。那像一个闹钟的功能,概念合成-行为,0
19,早饭去遛弯？可能要跟着老年人出去。提醒他外面的天气，今天很热，您就不要出去了。去遛弯。然后遛完弯带她回来,概念合成-行为,18
20,回来之后。机器人还要上楼吗？上楼可能性不大,基于功能的评估,19
21,只能在门口接她回来，提醒他又该吃药。吃药之后吃午饭,概念合成-行为,20
22,然后再午休接到了小孙子打来的微信电话,概念合成-行为,21
23,他的生活好简单！他一天的用户旅程图好简单，给他个机器人。能用明白吗,基于功能的评估,19;20;21;22
24,这个机器人可能的主要的功能就是像小朋友的陪伴。跟他说你到点了要干什么，同事别人叫你,概念合成-功能,23
25,他更多的是指引的功能，他也做不了什么大事,基于功能的评估,24
26,机器人像电话一样可能。在家能帮他做提示闹钟。差不多吧,概念合成-功能,25
27,然后发现他睡觉了就开始识别记录心率呼吸。可能要带一个手持设备和机器人相连,概念合成-功能,22
28,人群细分，那这中老年要分很多中老年。比如说。他有的最健康的那种可能他现在就是喜欢运动，喜欢出去溜达,基于功能的分析,0
29,小度一样的东西。他可能跟他进行一个语音对话，他说我要练什么八段锦,概念合成-行为,28
30,老年人，他还是偏健康的就是可以一起和机器人造一个运动伴侣，在家里进行一个简单的运动，或者是进行某一方面的针对性训练,概念合成-功能,29
31,稍微有一些基础疾病可能更多的是健康陪伴，告诉他你到什么时间要吃药，该休息更多的像是一个健康管家保姆的,概念合成-功能,28
32,机器人可能老年人可能还有一定的自由度跟机器人对话，或者是让他去干什么,概念合成-行为,31
33,如果老年人有一些基础疾病，比如说。脑血栓这种运动障碍可以进行一些针对性的训练，抬手运动,概念合成-功能,28
34,我觉得陪伴可能还是要有跟家人连线能陪伴他，也没有什么很想陪伴的，我觉得老年人他自己觉得是陪伴多了，他觉得烦。觉得闹心,基于功能的评估,33
35,再一点的可能是瘫痪。瘫痪的或者是说需要人照顾的老年人,基于功能的分析,28
36,保姆或者是家里人在照顾他，那机器人的功能更多的就是辅助保姆做他的一个陪伴，比如说照顾她的保姆可能没有办法兼过老年人那么多的情况。在保姆可能出去买菜或者是？出去洗衣服，做一些其他事儿的时候，那机器人就会帮他监控老年人的健康状况,概念合成-功能,35
37,如果保姆她在休息的时候，我觉得更多的是一个辅助的功能，因为正常一个像丧失行动能力或者是不太行的老年人更多的是需要一个保姆的陪伴，机器人更多可能就是帮助,基于功能的分析,36
38,更多的就是帮忙送东西，或者是做一个提醒，像一个小闹钟一样的功能,概念合成-功能,36
39,老年人已经丧失行动能力，也不太需要什么机器人了，应该让我再想,基于功能的评估,38
40,接下来的话我还是以相对身体健康，比如说五十多出头六十的。人他其实有自己的生活和娱乐的,基于功能的分析,28
41,空间它并不是很需要这样一个机器人，它甚至会觉得这机器人影响他生活觉得烦可能更多,基于功能的评估,40
42,我觉得应该六十岁到 70岁之间，他稍微有一点的基础疾病，同时他可能也不需要照顾孙子也不需要。照顾啥的她更多还有点孤独，这个年龄段的人可能更需要一个机器人进行陪伴。他也没什么事儿，又觉得无聊，同时又需要每天可能有一些慢性病需要吃药,基于功能的分析,28
43,这70以上的基础疾病就更多了，就需要每天都有人来照顾他很难靠一个机器人就能维持他日常的生活,基于功能的分析,28
44,60到70岁的话使用场景。你就日常像家人一样陪伴他。聊天或者是和家人连线沟通,概念合成-功能,42
