节点编号,原文,设计行为,源节点
1,中老老人可能是一个比较关键的点。然后。他们缺乏陪伴。,基于功能的分析,0
2,是有一些。机构的服务，但是缺乏。性质化的服务。健康陪伴。,基于功能的先例,1
3,需要。监控健康状况。疏导心理。,基于功能的分析,2
4,老人有哪些健康？他们会用什么情况对会与什么样的物或者人。来陪伴。他们可能会出去打牌。现有活动。现在有陪伴？到广场舞。,基于功能的先例,1
5,我们定义这样的空巢老人是？有活动能力的。,基于功能的分析,4
6,现在的老人如果他们打牌。主要是麻将吧！现有的麻将能方便老人的地方是麻将机吗？,基于功能的先例,5
7,根据麻将机的外延，我们可以拓展到可能是综合的游戏实体机器。,概念合成-功能,6
8,但是要专注于他们的健康。老人在打麻将的时候可能会忘记掉时间。,基于功能的分析,7
9,是否健康那么？设计产出。户外的。健康陪伴太阳能！能源和盈利模式。,基于结构的分析,0
10,机器人它是工艺的话。或者说是站立着。或者说。这是一种方向。,概念合成-结构,9
11,但是看起来没有那么吸引人。,基于结构的评估,10
12,我觉得它主要不同的点是在于。环境方面。他可以在户外。,基于功能的分析,9
13,麻将或者象棋或者这样本来是要久坐，但是。影响身心。,基于行为的评估,6
14,去户外的话。能够这种游戏去吸引他去做一些。可能的运动。,概念合成-功能,12;13
15,可能是脚踏发电机？诶讲他发电机。驱动。电动麻将机。,概念合成-功能,14
16,同时内置一些语音助手。健康单元。,概念合成-功能,8
17,比如说一般的麻将机会有一个装钱的盒子,基于结构的先例,16
18,可能会做成提醒的单元，老年人可以自己去设置，去对自己有一个提醒。,概念合成-功能,17
19,陪伴的间隙站在哪里？输赢的问题吗？感觉有一个人一直陪自己赢，或者陪自己输。创建。心理角色。内置一个虚拟角色。,概念合成-行为,16
20,定制化的陪伴会有什么样的机器，我们的老人会有一个监视健康的情况,基于功能的分析,0
21,那就是一个臂挂式的。,概念合成-结构,20
22,说一个。PDA. 对PDC那这叫什么东西，你看一个装置。,基于结构的先例,21
23,它是与现有的不同，那就是现有。我去。苹果的是apple watch？智能手表。,基于结构的先例,22
24,不同的话，这个装置可以有更大的体积。可能实现，同时实现。多种健康监测功能。,基于功能的分析,23;20
25,多种健康监测功能可视化。需要点才能让老人感觉到他的健康数据。,概念合成-行为,24
26,然后。是针对可视化的问题。感觉。老年人的操控水平比较低。,基于行为的分析,25
27,会不会VR的形式要教老年人怎么用这个东西,概念合成-行为,26
28,苹果的设备定制的？定制的装置包括了检测设备。,概念合成-结构,23;24
29,感觉好像是在给苹果做配件。但是。不好说，能不能做得过,基于结构的评估,28
30,想要实现的一个痛点，现有的痛点可能是不能够随身携带，实时了解自己的健康状况。,基于功能的分析,0
31,人是不同的。检测模块。可能会定制化一点。,基于功能的分析,30
32,这个东西是否可以加一个功能阅读报告单。,概念合成-功能,31
33,养老院的老人和空巢老人的区别是他们有很多朋友。也不能说很多朋友同样处境的人。,基于功能的分析,0
34,在养老院是否可能会有社交，他要在养老院的个性化的健康陪伴机器人,基于功能的分析,33
35,老年人的问题在于。我是一个对种植一窍不通的老年人，又想要去种植点东西。,基于功能的先例,0
36,这件事让我想到了一个问题。有一个老奶奶会。后来问我路边的植物。是什么植物让我去用手机扫描植物的名称？因为他找到了。在家里面自己乱种了一颗跟他很像的植物，但是不清楚他是否。有价值的做法,基于功能的先例,35
37,但是要让老人玩手机好。未来父母这一代默认他会玩手机。,基于功能的评估,36
38,硬件搭配一些。湿度乱七八糟的传感器。,概念合成-结构,35
39,搭配。和业务APP？,概念合成-结构,38
40,硬件就是用来。用来矫正种植姿势。,概念合成-功能,38
41,记录种植的时间,概念合成-功能,39
42,评估他的。种植是否运动过量？运动水平吧？,概念合成-功能,39
43,然后环境问题是否适宜，应适宜增值？是否适宜植物生长？,概念合成-功能,38
44,然后传感器记录植物的生长信息吧！他可能是一个入门的！,概念合成-功能,38
45,定制化陪伴他会自己养一盆栽，或者自己有一片田。作为养老院的卖点。,基于功能的分析,44
46,收割一下，喜欢种草的养老院老人。,基于功能的评估,45
47,健康陪伴机器人APP也可以。评价系统。记录我种的每一波韭菜。,概念合成-功能,41;44
