节点编号,原文,设计行为,源节点
1,首先解题。关键词中老年健康和陪伴。心理健康其实就跟陪伴有关了，我就放在陪伴这里说了。,基于功能的分析,0
2,身体健康，我认为它可以考虑附带一个体征监测的功能。,概念合成-行为,1
3,如果老年人在家，比如说在子女距离他可能比较远，没有及时发现他出什么问题，,基于行为的先例,2
4,体征监测，他可能是一个摄像头。视觉识别可能是什么摔倒检测那种。它也可以说是。整个人体特征的那种参数检测,概念合成-行为,3
5,健康，当子女远离他的父母的时候，能提供一个及时的警报吧,基于行为的分析,4
6,然后心理健康就主要是说主要是体现在它的就是一个陪伴功能上,基于功能的分析,5
7,陪伴功能的话我考虑是说。它要有一个比较有亲和力的外形不能太具有攻击性,基于结构的分析,6
8,指向到说它是一个拟人，其实我觉得有点惊悚，,基于结构的评估,7
9,拟人或者拟物，或者说它可以不拟人，圆角，就是带有圆润的造型特征,概念合成-结构,8
10,同时再赋予电子屏一些拟人的表情,概念合成-结构,9
11,这两点同时营造出一个陪伴的感觉,基于结构的评估,7；9；10
12,所以关于我的方案的话，方案一就先考虑它是一个放置在，走动的？,基于行为的分析,11
13,我个人比较感兴趣的，它是一个可走动的陪伴宠物型的机器人,概念合成-行为,12
14,重点就是落在这个宠物上,基于行为的分析,13
15,它就可能是像波士顿机器人,基于结构的先例,14
16,我认为它整个，波士顿的太前卫，我第一次看被吓到,基于结构的评估,15
17,造型上更拟物，接受度大,基于结构的评估,9；16
18,行为上更拟物，更像动物的一些动作,基于行为的评估,9；17
19,所以这个行为可能就涉及到一些结构方面的，但是这个我属实不在我属实没有学过，所以这个我肯定就略过了,基于结构的分析,18
20,"一些动物的眼睛部分,视觉摄像头视觉识别。眼睛部分可以加摄像头，可以做摔倒检测",概念合成-结构,4；14
21,关于检测的内容，普遍用的是防摔倒检测，,概念合成-功能,20
22,一些病理检测这个可能会有吧，但是我感觉难度比较高,基于功能的评估,4；21
23,第二个方案，我想一下，它是一个放置型陪伴机器人,基于功能的分析,0
24,使用场景就是桌面上，室内桌面上或者地上,概念合成-行为,23
25,这个我觉得可以考虑增加一些造型。,基于结构的分析,24
26,它的造型就是比如说之前说的比较圆润的造型语言,概念合成-结构,9；25
27,但是我觉得不要太拟人那个会太吓人，可以考虑是拟物的，,基于结构的评估,26
28,整个功能的话，它可以配有一个电子屏幕,基于功能的分析,27
29,电子屏幕可以进行表情拟态，,概念合成-功能,28
30,就可以增加一些亲切感,基于功能的评估,29
31,同时这个电子屏幕还是可交互的,基于行为的分析,28
32,它可以比如说观看视频,概念合成-功能,31
33,然后播放音乐，拨打电话的功能,概念合成-功能,32
34,尺寸的话，30~40cm，可能是摆在地上桌上都比较合适的尺寸,概念合成-结构,23
35,这个尺寸就是同时还可以跟它进行一个互动,基于结构的分析,34
36,颜色的话，低饱和度的暖彩色，可能会有些马卡龙色系那种感觉,概念合成-结构,25
37,第三个我可能就放飞自我一点，刚刚忽然冒出来想法。它整个是个更大的东西。可能是差不多有人那么大。一个更大的放置性陪伴机器人。场景，是一个放置在室内地面上的,概念合成-结构,0
38,它的造型的话，它可能是在方案二的基础上。增加了一些软的部分，,概念合成-结构,25；37
39,它可以有触摸反馈。或者是说一些柔软的部分。材料与触摸反馈,概念合成-行为,38
40,可能就是有点像，当我们摸一个小猫小狗那样子，然后它。,基于行为的先例,39
41,它可能说触摸不同的地方他会有不同的音效还是怎么样,概念合成-行为,40
42,这不就是一个比较放飞自我的方案了。,基于行为的评估,38；39；40；41
43,然后结构的话，它可能是说50-60cm高，,概念合成-结构,42
44,整个柔软的材料是那种毛绒玩具的绒毛的感觉吧,概念合成-结构,39
45,或者是那种很具有回弹性的海绵泡沫，,概念合成-结构,44
46,就是那种你坐下去，它整个软软的，弹力的。可以有弹性高的填充。,概念合成-结构,45
47,比如说你，你可以你捏它，软软的，然后它就是能很快就返回原形，一种给人很解压感觉的那种东西。,概念合成-行为,46
48,然后。大概颜色的话可能也会跟方案二一样，低饱和的彩色系。但是得考虑耐脏程度的话，就这样吧，不考虑了,概念合成-结构,36；47
49,因为我觉得这三个都可以加一个摄像头进行视觉识别，可以有，,概念合成-功能,4；20；48
50,同时我也觉得一些体征监测是很重要的，如果监测体征的话，这个东西就得像一个手表一样戴在一个什么可穿戴产品一样戴在他的身上了，所以我不知道怎么才能在陪伴机器人里增加一个。,概念合成-功能,4；49
51,监测体征的功能我觉得这是这确实是一个很重要的功能。他会比摄像头识别我个人认为是更重要一些。也更有用一些，但是我不知道怎么放进去。那我就写下吧，打一个问号。,基于功能的评估,50
