节点编号,原文,设计行为,源节点
1,首先主题是专注中老年人的健康陪伴机器人，所以他的用户群体是中老年人。然后考虑的。我的目标？功能行为结构方面的创新。关键词。健康陪伴，然后自己。这是我的。背整个的背景,基于功能的分析,0
2,首先是一个机器人，那机器人的话。有不同种类的机器人,基于功能的分析,1
3,还有一种是类人，像人一样的机器人,基于结构的先例,2
4,"那还有一种可能是像之前有看过的那种六足机器人就是这种异形的,可能像玩偶一样的",基于结构的先例,2
5,我不知道分类方式是否正确，大概我想表达的这样。像那种玩偶一样，或者是像狗狗猫。,基于结构的评估,4
6,类人就是仿人的,基于结构的评估,3
7,那首先是异形机器人，就我就以猫狗举例，我先从这个方式开始想第一个方案。因为他是针对中老年人的，我应该首先想针对中老年人用户群体，它有一些什么样的需求？,基于功能的分析,5
8,健康陪伴，那健康的话可能是有一些比如说安全性的，比如说他安全方面的一些问题，,基于功能的分析,7
9,比如说在家他是否会有滑倒，,基于功能的先例,8
10,或者是出门走失这种问题,基于功能的先例,8
11,那还有一种能想到的，比如说一些老年人会患病，然后他可能会需要喝药,基于功能的先例,8
12,比如说提醒他去进行一个按规律的吃药什么的？,概念合成-功能,11
13,再者是陪伴的话，,基于功能的分析,7
14,那可能是想到的比如说他日常的有一些通话。有一些通话功能或者是一些聊天！跟自己女的联系！亲人联系吧,基于功能的先例,13
15,还有一些是基础的功能，再加上有一些比如说功能性的，,基于功能的分析,7
16,比如说是老人家需要，比如说做家务做饭，这种去提供基础的一些，比如说菜单或者什么教他怎么做饭,基于功能的先例,15
17,或者是更高精神层面的陪伴，,基于功能的分析,7
18,比如说他可能需要发展业余爱好，发展一些爱好，比如说那种书法！,基于功能的先例,17
19,这个感觉也算是一种精神陪伴,基于功能的评估,18
20,"一些运动类的,老年人说的那种太极拳什么的？",基于功能的先例,17
21,分为这几个层面的一个陪伴，这前两个是比较基础型的陪伴型的话，其实就比较是相当于是精神层面了。,基于功能的评估,13；17；15
22,然后我首先是把需求和这个机器人这个种类做一个结合吧,基于功能的分析,2；7
23,那我首先是想到的，其实觉得仿人的这种机器人还是有一些说实话是有一些可怕的，就是对于他的一个陪伴性，我觉得不如这种像这种玩偶一样猫狗的一。这种类型的机器人是更友善一点的感觉。,基于结构的评估,3；4
24,我先从玩偶类型的机器人出发，那比如说把这个机器人做成一个像狗狗形状的。比如说像狗狗形状的话。,概念合成-结构,23
25,那我们这边就先做一个简单的，比如说是它是需要安全患病需要这种基础功能型陪伴,概念合成-功能,24；11
26,比如说它是一个患病的老人。那首先是在功能上，他需要提醒他进行吃药。按时吃药，按时按量。,概念合成-功能,25
27,比如说它机器人本身，它在结构上。针对这一点，按时按量在结构上，它本身就比如说它的背部就是已经设计了储药盒。,概念合成-结构,26
