节点编号,原文,设计行为,源节点
1, 健康的话它应该有测温功能、测血压、测血糖,基于功能的分析,0
2,老年人应该经常需要这些,基于功能的评估,1
3,然后他还要那个健康陪伴的话，这个方面应该可以语音聊天沟通类似于小爱同学，可以陪伴老年人聊天,基于功能的先例,0
4,它的功能是帮助老年人做家务,概念合成-功能,0
5,可能老年人没有陪伴，单独一个人在家的时候有很多工作，有很多家务要做扫地拖地的工作,基于功能的分析,4
6,或者就是在老年人他们做饭或睡觉时候唱歌、放点播节目,概念合成-功能,5
7,情感上老年人他们可能比较怀旧，他们喜欢那种老式的像喇叭一样的唱片机,基于功能的先例,2
8,类似一个普通的扫地机上面再加那种老式的那种唱片机,概念合成-结构,7
9,前面的都是从听觉，还没有从触觉上考虑,基于行为的分析,6；7
10,可以做制作一款拥抱老年人的机器，老年人也需要爱的关怀,概念合成-行为,9
11,它比如可以有一个屏幕，有个眼睛。,概念合成-结构,10
12,然后子女和他通话的时候，如果他想拥抱按一下那个按钮，然后那个机器人就可以给他那个拥抱,概念合成-行为,11
13,增加肢体语言，就是以前只能隔着屏幕，但现在可以机器人来代替,基于行为的评估,12
14,应该有两个手臂，机器人脸部特征就是那种卡通可爱,概念合成-结构,13
15,还有就是那种可以随身携带，不局限于居家随身携带,概念合成-结构,3
16,实现形式应该是手环,概念合成-结构,15
17,家里可以有一个机器，像垃圾桶那么大，然后配备一个手环，,概念合成-结构,16
18,那个手环是可以跟着老年人去各种地方的散步遛狗都可以跟着他,概念合成-功能,17
19,跟着老年人去各地Gps定位。这样不会走散。还可以聊天,概念合成-功能,18
20,主动性方面强一点的机器人就像狗一样，它主动会粘上来的那种。这个不是被动型，不是说一句他才会讲的那种,概念合成-功能,19
21,然后还会晚上提醒老年人该睡觉了,概念合成-功能,16
22,功能方面是脸部扫描然后给穴位。中医疗法就是那个机器人可以识别脸部，然后按照它的穴位按按,概念合成-功能,17
23,健身操结合中医，相当于一个小中医的陪伴。,基于功能的评估,22
24,中医可爱的形象的陪伴,基于功能的评估,23
25,它里面的配置可以有那个古代的五禽戏，一个非常有名的中医的研究出来的,基于功能的先例,24
26,这个机器可以教学五禽戏,概念合成-功能,25
27,里面有很多医学书，老年人有兴趣的话可以跟他们说播放那些医学书,概念合成-行为,24
28,嗅觉方面出发，增加中草药那种香薰,概念合成-功能,24
29,那些那种艾灸的那种烟一样的理疗法,基于功能的先例,28
30,他是某一个病，然后去看了以后医生给了配方，那就可以通过点击中草药，自己把那个药材放进去，然后让他制作出来这种香薰。或者就是很多药材给它放到那个机器人里面。那通过屏幕上点击三种药材，它混合一下，再散发出那种味道,概念合成-行为,29
31,就是一个老中医，就是一个或者说那个抓药的药童形象,概念合成-结构,24
32,还有语言触觉，拥抱，陪伴。可以给老年人不同时间段的正反馈机制。类似夸夸那种就比说过了过了一个礼拜。他就会说真棒，继续坚持,概念合成-功能,28

