节点编号,原文,设计行为,源节点
1,把题目的重点都列出来之后，我开始思考中老年人这个群体，他们需要的健康陪伴是什么样的？,基于功能的分析,0
2,我认为中老年人群体他有一个陪伴情景，这个人他有可能有一些不是很严重的病，有可能比如说三高，或者说心脏可能不是很好，,基于功能的先例,1
3,需要定时监测的机器人，定时监测他的血压、血糖、心率等基础疾病,概念合成-功能,2
4,还有可能是本身它就有重大疾病,基于功能的先例,1
5,重大疾病那就需要提醒吃药、定期复查，最好还有可以和医生线上沟通功能。,概念合成-功能,4
6,然后中老年会存在摔跤的问题吗？,基于功能的先例,1
7,我感觉中老年群体他还存在的一个问题他的子女有可能都在上班，就没有人陪伴他。,基于功能的先例,1
8,所以健康陪伴机器人，适当的带有一些娱乐功能,概念合成-功能,7
9,能在在机器人上面，通过机器人和子女沟通，然后子女也能在手机上面实时观察到他们的情况，,概念合成-功能,7
10,这样也很方便。,基于功能的评估,9
11,所以我的第一个方案，先确定它的目标用户，就是为有三高，或者脂肪肝等基础疾病的中老年人设计的健康陪伴机器人,基于功能的分析,2
12,然后它的功能点有测血压,概念合成-功能,3；11
13,测血糖现在都是用一些很小的仪器,基于结构的先例,11
14,测血糖也能实现，小仪器夹在大机身上。,概念合成-功能,13
15,嗯，上面的人群还可以加个糖尿病,基于功能的分析,11
16,功能还包含了测心率。,概念合成-功能,11
17,有基础疾病的人，他还需要吃药。,基于功能的分析,11
18,我感觉机器人可以定时定量投放药,概念合成-功能,17
19,还有子女远程连接。,概念合成-功能,11
20,它的结构上，他的头部是由电子显示屏组成,概念合成-结构,19
21,这样一个电子显示屏就可以给他播放电视天气预报,概念合成-功能,20
22,最好还可以和子女视频。,概念合成-功能,21
23,然后他的身体部分，首先它得有一个测血压的仪器,概念合成-功能,12
24,在他的身体上，这样子不是一个简单的几何形状，,概念合成-结构,23
25,如果它的整体是一个圆柱形，旁边得有一个类似于环的测血压的装置,概念合成-结构,24
26,那测血糖的要放在哪里？,基于结构的分析,14；25
27,那就给他身体部分是圆柱形，然后周围有两个环形的，有左边是测血压的仪器，右边是测血糖的仪器,概念合成-结构,26
28,圆柱体里面是那种抽屉，存放药物的抽屉。,概念合成-结构,27
29,最下面部分就是轮子，,概念合成-结构,28
30,像一个扫地机器人，控制机器人的行走,概念合成-行为,29
31,机器人的行为是可以讲相声，让老年人更开心。,概念合成-行为,30
32,我的第二个方案是为有重大疾病，比如癌症、心脏病的患者设计的健康陪伴机器人,概念合成-功能,4
33,然后有重大疾病，首先他的阶段，肯定是从医院化疗回来以后，此时他们的身体非常虚弱。,基于行为的先例,32
34,这种健康陪伴机器人的话。功能点可以有食谱，它可以告知家人有健康食谱功能，制定一些适合化疗后身体很虚弱的病人的菜谱,概念合成-功能,33
35,病人还需要吃药，肯定要定时投放药物，提醒吃药定期复查。,概念合成-功能,5；34
36,可以和医生线上远程进行沟通,概念合成-功能,35
37,娱乐功能有让他们开心，得播放音乐吧，并播放视频,概念合成-功能,36
38,结构的话，需要跟医生远程沟通，和医生远程沟通肯定要有视频，,基于结构的分析,36
39,头部是电子显示屏,概念合成-结构,38
40,然后身体是圆柱形,概念合成-结构,39
41,能不能是那种很小的机器人，能实现远程沟通嘛,概念合成-结构,40
42,不行，还是大机器人吧，身体是圆柱形带轮子,基于结构的评估,41
43,行为，他的创新行为是能够按照病人的忌口制定食谱,概念合成-行为,34
44,第三个方案是为谁设计呢？重大疾病的设计过的了，基础疾病设计过了,基于功能的分析,11；32
45,那第三个关注普通中老年人的健康陪伴，普通的中老年人就是假设不生病的情况,基于功能的分析,44
46,然后普通的中老年人需要的是什么？广场舞,基于功能的分析,45
47,功能点，健康陪伴！健康？中老年人，需要的健康是什么，,基于功能的分析,46
48,他需要的是知道一些菜会不会引起三高,基于功能的先例,47
49,就比如说海带吃多了会低血糖。,基于功能的先例,48
50,那他就需要可以查阅每个菜的特性,概念合成-功能,49
51,可以直接口头说就可以语音查阅一些蔬菜水果的基本情况，比如吃多了会不会导致低血糖,概念合成-行为,50
52,然后不同中老年人需要的健康还有什么？,基于功能的分析,51
53,对，跳广场舞打太极拳，也是个健康,基于功能的分析,46；52
54,让他们可以室内做操，这样的话，机器人可以连接到电视，是语音控制播放相关视频,概念合成-行为,53
55,中老年人健康陪伴的话就是和子女交流，可以和子女视频,概念合成-行为,54；9
56,还有什么过来？有一些中老年人他老花，他看不清一些药瓶上的字了。,基于功能的先例,55
57,然后。机器人有放大镜，可以看到药瓶上的字,概念合成-行为,56
58,或者直接，机器人可以语音解释说明药的功能,概念合成-行为,56
59,它的结构的话，我感觉可以做一个小型一点的像天猫精灵或者比天猫精灵大一点,概念合成-结构,58
60,整体是圆柱,概念合成-结构,59
61,然后方的也行，瘦瘦长长的方形机器人,基于结构的评估,60
62,方的也好看。,概念合成-结构,61
63,主要通过语音控制,概念合成-行为,58
64,这种小型的也便于他摆放的地方,概念合成-结构,61
65,可以和子女视频，子女手机可以监测状态,概念合成-行为,64；9
66,我感觉不太适合，就有点像在家里装了个监控，但是这又是正常的中老年人，算了删掉,基于结构的评估,65
67,然后他的行为创新点在哪里，这个机器人可以解释说明药物功能。它可以把药瓶摆到到机器人摄像头前面，这个机器人可以自己识别一下这个样子,概念合成-行为,58
68,所以长方形上有一个小小的摄像头,概念合成-功能,67
