节点编号,原文,设计行为,源节点
1,首先的话我觉得他从造型方面的话一定是要呃不。呃，不过于的机械化就是非常那种,基于结构的分析,0
2,因为我们就是想到这个陪伴机器人，感觉第一时间就是它是会是一个非常工业化的设备,基于结构的先例,1
3,那其实嗯，现在从实际使用上来说像家用的很多，嗯。机器人的话，嗯，也更走一个那种人性化的这个方向,基于结构的先例,1
4,在功能方面的话，其实嗯，它肯定是要辅助中老年人。做一个做一些行为，比如说中老年人，他存在最大的问题就是他行动不便,基于功能的分析,0
5,另外，他从身体方面很多器官进行的衰竭，比如说它的嗯，味觉，视觉逐渐慢慢退化,基于功能的先例,4
6,其实老年人一般在家里的活动就是看电视为主，然后进行一些简单的嗯。家务活动。,基于功能的分析,4
7,那其实就是。需要这个。嗯，机器人帮助他完成。进行做做他的第三双眼睛,基于功能的分析,6
8,视觉上面不太行的话，它可能听觉上面也会存在一些问题那。,基于功能的先例,5
9,最简单的问题就是提高这一些感官上面的这个量，就是比如说把。呃，眼睛部分一个老花眼达到一个最高的呃程度,概念合成-功能,7
10,那听感方面的话会存在一个老花眼的问题，呃，就是需要辅助。辅助到他做一个嗯。音量提高的形式,概念合成-功能,8;9
11,啊，其实最主要的说到这个健康陪伴就是一个心理的原因，因为在大人小孩子就是都离开了原本居住的这个。呃，家庭环境就离开了老年人，那他其实作为一个空巢老人的话，最需要的就是一个整个心理的陪伴,基于功能的分析,0
12,嗯，就这个机器人的话就需要多多的嗯。感受老年人的情绪吧！,基于功能的分析,11
13,那其实老年人现在最缺乏的就是表达，他就是不愿意表达怎么让这个机器人能。表达出这个情感嗯！表达出情感。引导。,基于行为的分析,12
14,就其实一般，除了孤僻的老年人之外，她其实老年人也会有很多的呃朋友闺蜜嘛。其实呃，从我观察到一些老年人群体生活中来说，他们交流的最多就是呃，朋友闺蜜，还有像邻居这样子的一个角色,基于功能的先例,13
15,像朋友闺蜜如果住的远的话，她其实起到的这个。起到的这个帮助作用特不，不是特别大,基于功能的评估,14
16,然后我观察到就是邻居，他其实一个非常好的嗯，启发的这个点啊，但是大家可能平时没有注意到，嗯，就会有很多的老老年人，空巢老年人之类的，他会更多的跟邻居交流一些事情。,基于功能的先例,14
17,嗯，我这个第一个方案的话，我就从邻居入手吧，嗯。嗯，然后这个第一个这个机器人的话，它可以首先是从它的设计的起初就是从老年人，比如说购买了这款机器人开始，呃，先进行一个录入,概念合成-功能,16
18,它可能会像那种AI智能设备一样,基于功能的先例,17
19,这个老年人跟邻居呃进行一段时间的聊天对话之后，他可能会把他们的交流的过程录进去,概念合成-功能,18
20,录进去之后，就是大概了解了老年人每天的一些活动也好，就是跟邻居聊天内容也好，嗯，让。这个呃。机器人的程序有大大概的一个大数据汇总,概念合成-功能,19;16
21,然后其实更加的是那种一对一的呃辅助。一对一的跟老年人产生互动嘛，然后它更多是一个聊天的机器人为主,概念合成-行为,20
22,在功能方面的话。嗯。他可能会有一个简单的爬坡的行为。,概念合成-行为,17
23,造型方面。我我希望它的那个四肢是一个隐藏性的,概念合成-结构,17
24,就，嗯，因为老年人不太能接受太过于新奇的产品,基于结构的分析,23
25,然后它。可以进行一些简单的爬坡的过程，因为如果万1老年人产生了一些危险，呃，我希望他是有一个就是呃出门。或者发生一个报警的一个行为，能引起周围邻居的这个注意,概念合成-行为,22
26,然后。呃，从而就是产生一个安全性的保障,基于行为的评估,25
27,第二个方案的话。刚讲到。刚讲了，就是那个视觉听觉。味觉方面。,基于功能的分析,5
28,怎么。就是观察到老年人，他逐渐失去味觉，他平时吃的产品就是呃，平时吃的东西也是剩菜剩饭为主嘛,基于功能的先例,27
29,就剩菜剩饭这一点就是老年人特别爱吃，但其实这种东西是最没有营养的产品,基于功能的评估,28
30,我们这个机器人的话，它首先要做到就是能嗯。指向向老年人指出有危害的。也指出有危险的一些菜品,概念合成-功能,29
