节点编号,原文,设计行为,源节点
1,首先考虑需求输入，再确定用户主体，有性别、年纪、城市的区分,基于功能的分析,0
2,制作旅程图，寻找用户痛点以及设计机会点,基于行为的分析,1
3,考虑产品的配色、尺寸、材质，再进行草图设计,基于结构的分析,2
4,中老年人用户，可以陪伴他们阅读的一个机器,概念合成-功能,1；2
5,他们应该会比较喜欢听一些收音机，因为平时比较无聊。比如说一些电子书的功能。或者是看电视,基于功能的先例,4
6,这个主要是在家庭内部和其他需要阅读的场合,基于行为的分析,5
7,现在市场上最大的一个痛点就是陪诊,基于功能的先例,1
8,可以做一个老年人的陪诊机器人,概念合成-功能,7
9,辅助老年人看病治疗,概念合成-行为,8
10,还可以做一个紧急情况报警机器人,概念合成-功能,1
11,用于老人摔倒等突发情况,概念合成-功能,10
12,功能主要是AI辅助使用自然语言沟通用户需求,概念合成-功能,4
13,还可以快速唤醒，定位到想看的书或视频中,概念合成-功能,4
14,需要更加快捷的搜索且字要大,概念合成-结构,13
15,操作路径要快捷、傻瓜式操作,概念合成-行为,13
16,可以用图形语音辅助,概念合成-功能,12
17,但是一些农村的老人是不认识字的,基于功能的先例,14
18,方便、小巧、便捷的可穿戴设备,概念合成-结构,4
19,考虑老年人的人机工程学因素,基于结构的分析,18
20,目前老年人陪诊机器人市场存有率为0,基于功能的先例,8
21,陪诊流程清晰、路径清晰：能够让患者少走路且提前预知下一个环节,概念合成-功能,20
22,信息提示功能：更加清晰、预先提示、什么时候领取检查报告、检查结果的提示、检查结果的分析,概念合成-功能,20
23,之前陪诊信息的调取、分析,概念合成-功能,22
24,关联相关监护人,概念合成-功能,22
25,搀扶老人或者是有座椅功能,概念合成-功能,8
26,录入纸质病历方便后续看诊,概念合成-功能,23
27,结构上考虑可以搀扶老人或许可以让老人坐下,概念合成-结构,25
28,如果是拐杖的话考虑人在被搀扶过程中的尺寸,概念合成-结构,27
29,还可以进行受力分析设计符合老年人的座椅尺寸,基于结构的分析,28
30,并且比较轻便,概念合成-结构,29
31,目前已有的一些产品I watch可能会有一些，摔倒、心率预警,基于功能的先例,10
32,比如说你会有摔倒，它会同时监测你的心率一些相关的信息,基于功能的先例,31
33,是一个可穿戴设备,概念合成-行为,10
34,监测血压、血脂、心率等生理因素,概念合成-功能,33
35,同时连通家里的一些监控装置，比如摔倒之后生理检测不能达到预警时,概念合成-功能,34
36,老年人有出去跳舞的需求,基于功能的先例,1
37,还可以是一个电子广播、广场舞播放器,概念合成-功能,4
38,用途会更广,基于功能的评估,4；37
39,我发现目前的一些老年人。它其实它有手机，会做一些简单的操作到具体，比如说这个功能，它需要去哪儿找的话可能做不到,基于功能的先例,2
40,他会集合微信，或者是他用一些浏览器去搜索，然后他不知道该怎么样去查这个东西，然后可能有的东西他还需要去用微信做，有的时候他可能会要绑定一些小程序，那他可能绑完了然后这些信息特别的分散，怎么样去把这些信息进行一个聚合,基于功能的先例,39
41,其实我们可以考虑去做一个智能机器人，然后把这些搜索相关的信息做一个聚合，这样其实可以方便他们进行快速的搜索,概念合成-功能,40
42,他们的使用效率也会比较高,基于功能的评估,41
43,我感觉现在一些语音识别，老年人他们不一定说标准普通话。或者他们说的话不一定会同时非常直白或者是比较快的被识别出来，那可能这个。识别方言的功能。要更加的加强一些,基于行为的先例,40
44, 自动进行一些关键词的提取，然后方便搜索,概念合成-功能,43
45,他可能是说了很长一段话，那怎么能够在这很长一段话里面进行一些关键词的提示,概念合成-功能,44
46,多平台跨平台的连接,概念合成-结构,41
