节点编号,原文,设计行为,源节点
1,首先它的用户群体是老年人,基于功能的分析,0
2,然后解决的问题，一个健康，,基于功能的分析,1
3,另一个解决的问题是陪伴,基于功能的分析,1
4,健康的要求主要是包括一些基础健康标准的监测,基于功能的分析,2
5,比如老年人的慢性病,基于功能的先例,4
6,或者是导致身体不健康的一些身体指标，这些里面包括血糖、血脂，然后血压,基于功能的先例,4
7,还有一些生命体征的监测，包括心跳,基于功能的先例,2
8,还有他的运动情况的监测，比如是不是摔倒,基于功能的先例,2
9,然后陪伴主要是如果他需要陪伴的话，那么他身边可能是没有保姆或者是子女在身边的一个情况,基于功能的先例,3
10,那么这个机器人可能要起到在心理和生理方面对老年人进行看护的作用,基于功能的分析,9
11,我们就假设这些人他是可以行走可以说话的,基于功能的分析,10
12,最主要的问题是避免孤独或者是语言能力或者是思维能力的一个下降,基于功能的分析,11
13,那可能它的功能主要是可以做到陪聊，,基于功能的分析,12
14,然后促进大脑的转动，做点数学题之类的，智力问答,基于功能的分析,12
15,还有感官上面的设计，可能让它设计的更有亲和力一点，更有亲和力的外观,基于结构的分析,9
16,根据上面整体的或者用户需求的一个分析，我要想出三个方案,基于功能的分析,2；3
17,然后我觉得方案一的话是健康监测机器,概念合成-功能,16;2
18,它针对的群体是针对有慢性病的老年人,基于功能的分析,17;5
19,这些老年人可能他的一个身体出行不是很便利，但是又需要经常的检测生命体征，健康指标,基于功能的先例,18
20,机器人要解决的问题是老年人居家慢病管理问题。,基于功能的分析,19
21,产品的形式，包括它的外观构成，我觉得他可能需要两个构成,基于结构的分析,20
22,一个是可穿戴设备，是个手环,概念合成-结构,21
23,通过一些传感设备就对慢病指标进行监测,概念合成-行为,22
24,还有一个像一个小爱同学的智能音箱一样,概念合成-结构,21
25,可以交互可以说话的一个健康管家，要有一个屏幕，然后还有语音交互,概念合成-行为,24
26,长得可能像小孩子，类似于有屏幕的小爱,概念合成-结构,25
27,他首先是可以进行语音交互,概念合成-行为,26
28,然后可以进行健康指标的监测，联网上是可以从连上家里的wifi，然后可以把这个东西推送到监护人、子女的手机那里去,概念合成-行为,27
29,这样就可以定期汇总，给医生展示,基于行为的评估,28
30,第二个方案是居家陪伴,概念合成-功能,16；3
31,用户群体的话，针对的是空巢老人，空巢老人是自己长期的单独居家,基于功能的分析,12；30
32,这些单独居家的老人是阿尔兹海默症的高发人群,基于功能的分析,31
33,那他们需要解决的问题是陪伴，还有心理上的疏导，还有促进思维,基于功能的分析,32；12
34,就是让他的脑子转起来，不至于每天在那里发呆，避免他的头脑退化，头脑是越用越清晰的一个发展。,基于功能的评估,33
35,那产品的形式，我觉得它是有两个设备的，一个是听，还有一个是说。,基于结构的分析,34
36,听的话就是一个收音的设备。,概念合成-结构,35
37,第一步，可以通过云端的分析，机器人技术模型可以实时收集语音信息,概念合成-行为,36
38,第二步，通过语音信息的去分析它的心理状态，给出心理评分,概念合成-行为,37
39,第三步，通过评分，会对他进行一个干预，就是语言疗法,概念合成-行为,38
40,这样子的话，就是老人的精神状态会好很多。,基于行为的评估,38；33
41,说的话，这个东西它像一个小爱同学的音箱,概念合成-结构,35；24
42,可以说话、聊天。,概念合成-行为,41
43,或者出一些思维的题,概念合成-行为,41
44,还有判断它是不是有阿尔兹海默症前期的症状,概念合成-行为,41
45,一有症状的话就会及时推送，及时干预治疗,概念合成-行为,44
46,干预如果没效果的话，及时最好推荐他到医院治疗,概念合成-行为,45
47,我还有第三个产品就是一个类似宠物的居家陪伴机器人,概念合成-功能,16；3
48,这个方案的用户群体和第二个方案的用户群体空巢老人有什么不同的区别的？,基于功能的评估,47；31
49,针对的是子女不在身边，但是想念子女的一个需求，老两口缺少的是和子女的联系吧,基于功能的分析,48
50,所以要解决的问题是要连接老年人和远在他乡的子女,基于功能的分析,49
51,产品的形式，是一个宠物的外观，可能是一个狗的形象,概念合成-结构,50
52,有语音接收装置和摄像头,概念合成-结构,51
53,机器狗可以换衣服，就是有一个可以互动的方式，是物理互动，就是有一种养育小孩子的感觉。,概念合成-行为,51
54,可以帮助宠物机器人成长，会有一种价值感，,基于行为的分析,53
55,老人老了之后可能对很多事情有一种无力感，导致老年的老年人抑郁症比例上升,基于行为的先例,54
56,他做这个事情会有成就感，那么他人生会更加幸福,基于行为的评估,55
57,物理互动可能是可以摸摸、亲亲他,概念合成-行为,53
58,还有的话可以增加一个连接的功能,概念合成-功能,51
59,这个狗是有两只，它是有一对儿的，那一只在父母这里，另外一只在远方子女那里,概念合成-结构,58
60,虽然不在同一个地方了，但是狗的成长是一样的，它们两个的行为方式是一样的,基于行为的分析,59
61,就可以打破物理空间的隔阂，因为我们看到东西是一样的，就像父母和子女都在一起的，营造出这样一种都在身边的感觉,基于行为的评估,60
62,所以可以多留言，然后可以说可以讲说今天是因为发生了什么事情，然后老家讲说最近发生了什么事情，增加父母和子女的互动,概念合成-行为,61
