节点编号,原文,设计行为,源节点
1,不同于现有的新产品会让我想到，机器人在现有的第一印象都会是那种机械的,基于结构的先例,0
2,可以想到它可以不仅仅只限于这样一个材质，它可以是像一只小狗或者是一只玩具熊，形态因为会柔和一些,基于结构的分析,1
3,以陪伴这样主题的话会挺好，所以它的形态和材质就可以是更软一些,概念合成-结构,2
4,健康点的话需要做监测，所以它应当在一些你方便去触碰的地方,基于行为的分析,0
5,可能会基础具备的一些关于老年人需要关注的健康点，那它可以有一些点是去测量的,基于功能的分析,4
6,抚摸小狗的动作或者是拥抱玩具什么动作，日常生活中会有这样的行为，那它的监测就可以发生在这里,概念合成-结构,5
7,比如说摸的是小狗头，那它的头上可能就可以拥有一个像是那种传感器之类的东西去监测我们需要测量的东西。然后拥抱玩具熊的时候，他可能就是在他的胸部。可以有传感器去测这样子的东西,概念合成-结构,6
8,它能够让这个机器人在一个比较无意识的行为里就去做到了健康监测这样的东西，并且日常随时都可以进行，而不会是非要记起来才去做这件事情,基于功能的评估,7
9,他就是一个生活中小产品的话，并不是永远都会记得它可能这个健康监测是需要一个长期进行的事情就是稳定的周期性的去做,基于功能的评估,7;8
10,所以会需要它有一些提醒上的功能,基于功能的分析,9
11,它可以做一些小表情，或者是发出一些声音音效去提醒说，今天可以来摸摸，我可以来抱抱我。用户去做这件事情的时候就测量到了,概念合成-功能,10
12,如果是家里的老人，他需要这样一个健康监测的东西，他的孩子、他的一个较为年轻的家人去购买的,基于功能的分析,4
13,所以在家人这一方还会需要。能够去接收它的一些信息数据接收，每一次的测量都可以在这边像是手机端之类的。这个也可以做一些点，每次测量都会被传输和记录。如果是手机端，那它可以是一个app的形式会有利益日期性质的那种呈现,概念合成-功能,12
14,日期性质的呈现就会有个日志性质的呈现。会有历史记录，这样子就会去观测到它整个的健康波动之类的,概念合成-功能,13
