节点编号,原文,设计行为,源节点
1,可能就从老年人的一些需求出发，看看他日常能有哪些健康上的隐患,基于功能的分析,0.0
2,需要陪护的方面可能会分成一些痛点和痒点,基于功能的分析,0.0
3,重点的话可能就包括了一些疾病陪护然后日常护理，两点可能包括情感关怀、健康隐患,基于功能的分析,2.0
4,可能会想到药物性的管理,基于功能的分析,3.0
5,日常出行的一些辅助，比如说针对行动不便或者是卧床的这样的老年人没有一些出行上的管理,基于功能的先例,1.0
6,管理比如说独居的老年人的健康问题。就包括了日常身体情况的监测，可能包括摔倒的监测、身体突发疾病的检测。,基于功能的分析,5.0
7,情感上可能有独居老年人的心理安抚,基于功能的分析,3.0
8,可能还考虑到整体的，如果涉及到界面或者是一些展示的内容,基于结构的分析,0.0
9,可能第一个从老年人健康痛点的角度出发，健康管理、饮食监控可能会大概做这样的,基于功能的分析,2.0
10,机器人的话可能大概形态会考虑的是一个桌面型的小的像移动电脑，感觉类似像米家系列的产品的造型风格。,基于结构的先例,9.0
11,比如说像小爱、小度可能大约会这样的一个造型的感觉,概念合成-结构,10.0
12,它主要在桌面上，他会提醒老年人的包括每日服药的剂量和药性的管理,概念合成-功能,11.0
13,然后还会可能会配备一个手环。可能不止手环会配的设备，比如说红外监控和手环。,概念合成-结构,12.0
14,那这个手环就可以去监测老年人的一些心率，血压的一些情况。红外的监控设备就可以去，比如说放在浴室这样的地方就可以去监控老年人的摔倒,概念合成-功能,13.0
15,所有的信息都会传给桌面上机器人，是一个接收的终端。那他会监测报警，如果发生了意外的行为，那可能会及时的把信息传输给多方。,概念合成-功能,13.0
16,紧急告警，可能会给平台同步给家属。一旦发生了意外的情况，可能像平台里面涉及到的急救中心可能通知紧急的告警人,概念合成-功能,15.0
17,第三个可能饮食监控的话，觉得可以放在桌面上可以去通过建立视觉去识别饮食情况,概念合成-功能,2.0
18,我们可能会识别到我桌子上，今天吃了哪些菜，某一些的饮食的营养有没有达标？如果我长时间某一种饮食可能会缺乏某一种元素可能也会通过某种方式来提醒我,概念合成-行为,17.0
19,第二个可能会做一个老年人出行方面的。机器人辅助出行，最基础的功能够协助老年人距离移动。,概念合成-功能,5.0
20,它的形态可能会类似于像便携人，他可能有一些主要是机械上的,概念合成-结构,19.0
21,比如说辅助上下楼梯,概念合成-功能,20.0
22,还有一些的话可能和现在市面上的出行软件做结合。比如说这它移动机器人可以自动帮助叫然后能够设置常用地址,概念合成-行为,19.0
23, 现在的老年人可能不太能自己的来完成打车出行的这样的一些日常活动,基于功能的先例,22.0
24,通过辅助机器人轮椅上的移动电脑或者帮助老年人来约网约车,概念合成-结构,23.0
25,"然后老年人也不需要任何的输入,可以电脑是自动的帮我去识别我的目的地和触发",概念合成-行为,24.0
26,也可以有一些监控的定位的功能，防止老年人走失,概念合成-功能,19.0
27,可能还有家属通过app来控制出行的目的地,概念合成-功能,26.0
28,还要考虑的一些老年人怎么从一个不同的机器人载具上移动，需要一些依托的支撑结构,概念合成-结构,20.0
29,比如说一个老年人在床上坐着，怎么能够通过机器人能够平滑的来过渡到这样的一个便携机器人上面,基于功能的分析,28.0
30,第三个方案可能是一些情感维护上面的，尤其是针对一些独居老人或者是长辈之间，可能没有人陪伴和沟通,基于功能的分析,3.0
31,那可能就主要有一些机器人可能类似于会在地面行走。,概念合成-结构,30.0
32,有点类似现在的取外卖的机器人，酒店里取来的那种机器,基于功能的先例,31.0
33,他可以在客厅内去行走，主要有一些语音交互的功能。包括像老年人读新闻。,概念合成-行为,32.0
34,然后及时告知热点事件？现在可能有一些年轻化的科普，网络的热词或者热点。,概念合成-功能,33.0
