节点编号,原文,设计行为,源节点
1,方案一。针对空巢居家老老人。,基于功能的分析,0
2,其实对于居空巢居家的老人来说。首先这种这种老人他的特点是还是具有一定的生活自主自理能力吧！,基于功能的先例,1
3,那么他的行动能力其实是还是ok的，所以说他更多的健康陪伴他的健康陪伴更多的，应该还是以饮食起居的一些辅助为主。,基于功能的分析,2
4,功能上，除了现有传统的可能是说一些陪聊或者是播放，比如说一些音乐节目，电台节目，这样的以外，,基于功能的先例,3
5,那么其实在于他的饮食起居，比如说。定时定点的像吃药提醒，然后吃饭的提醒，这个吃饭提醒可能又结合在比如说按时吃饭，,概念合成-功能,3，4
6,然后包括一些。烹饪上的提醒，烹饪过程或者是食材的构成吧，构成方面的提醒。,概念合成-功能,5
7,因为老年人他可能说他的记忆力或者是他的一些对事情的一个判断，在中老年之后可能会出现一些问题，,基于功能的先例,6
8,那么机器人很大程度上是起到一些嘱咐，叮咛和提醒的作用。,基于功能的分析,2
9,基础的一些功能，那么另外可能还是一些健康监测。健康监测，那么其实包括生理数据常规的生理数据，,基于功能的先例,8
10,比如说血压，心跳，血糖等等的这些生理生理数据，健康指标等。那么还有一些血氧浓度等等这些都是可能是说老年人他需要去关注的,概念合成-功能,2
11,那么除了这些监测题型以外，还有包括。我觉得其实老年人尽管他有自主行动能力，但是一些行动的一些辅助，比如说可以帮助老年人去观察室内外的路况。,基于功能的分析,2
12,其实这个所谓的路况就是比如在家里会不会有一些门槛或者是一些桌脚等等的这些东西会提醒老人，然后呢在外面，那么也是会帮助老人去判断一些道路的一些状况，,概念合成-功能,11
13,而且也想过。比如说可以当做一个辅助拐杖，这样的一个功能。,概念合成-结构,12
14,甚至对辅助拐杖等等，这样的话其实是便于老年人去行动移动的,基于结构的评估,13
15,那么还有就是一些娱乐功能，,基于功能的分析,2
16,那么比如说。就是一些棋牌，棋牌游戏。嗯然后呢，就是老年人的节目，老年节目等等。,基于功能的分析,16
17,然后最后就是基础的一些，比如通讯功能。通讯功能。子女监护功能。,基于功能的分析,2
18,以子女角度来说，去帮忙，在远程通过一些APP或者是跟机器人的一些蓝牙连接的方式去完成的一些远程的系统设定。当然这个东西肯定是要联网的嘛。,概念合成-行为,17
19,那么健康监测这些？具体而言，应该是机器人自身有一些健康监测的一些模块，比如说心跳，血压等等。这些生理数据的一些监测血氧的监测，老年人可以很轻松的通过与机器人的这个相应的功能的模块的这个接触和最便便捷的操作。然后来完成相应的健康的功能，然后并且将这些数据会上传到平台上传到APP，通过子女以及说一些私人医生或者是社区医生，他们有相应的这样的一个连接，对那功能上来说可能就是说。最基本的就是联网。,概念合成-行为,9
20,通过子女以及说一些私人医生或者是社区医生，他们有相应的这样的一个连接，对那功能上来说可能就是说。最基本的就是联网。,概念合成-功能,19
21,有APP然后呢与社区或者是护工、医生等。有联系嘛连接。,概念合成-结构,20
22,那是最基础的，那么进一步就是观察路况等等观察路况的这个的话，那么就是相应的一些视觉层，机器视觉上的一些功能和它实现包括技术的语音提醒，一些方式，,概念合成-结构,11
23,那么辅助拐杖的功能可能就是说。机器人的行动能够和老人做的一个同频，然后且有一定的支撑功能，那么就是对于机器人的运动运动形式，它的一些运动的稳定性，然后承重等方面是可以去。去做的更更好的满足这样的功能，,基于行为的评估,14
24,那么娱乐功能可能更多的是一些虚拟的，比如说投屏或者是他自身所在的一些屏幕的方式来和老人去进行的一个下棋。,概念合成-行为,15
25,这好像也不行，好像还是以屏幕为主，这样的可实现性高一点，,基于行为的评估,16，24
26,那么最基础的通讯功能，那么就是一些外放的一些就是这种电话找视频等等，然后监护功能它可能更多的是以咨询的摄像头，然后能够。更看更清楚的和老人去，就是监护老人他的家里的一个状况对，那么大概这是第一个方案的功能行为,概念合成-行为,17
27,结构层面。首先就是。基础的这些运动机器人可能它的整体的形态和医院里面的那种就是那种直立的较高的这种机器人是有点类似的,基于结构的先例,2
28,但是那种的话，其实。医院里面的那种护工机器人，它由于还承担一些，比如说像送药这样的功能以外，那么说可能它对它的体积，容量这方面有要求，,基于结构的评估,27
29,那么在家里如果没有这方面的要求的话，可能整体的话会更加瘦长一些。然后方便老人去，比如说，如果是想抢当拐杖的话，可能头部它有一个更适合的一个把手。然后以及就是说它可能是偏高直立一点，但是它并不容易倒的这么一个形态，但整体的高度可能是一个将近在一米左右的这样一个形态，然后整体要更瘦长一些。,概念合成-结构,2，28
30,然后结构上因为还存在很多的一些智能的一些设备，那么可能它都更集集合在集成在了这个产品的一些相应的位置上。,概念合成-结构,12，19，23
31,嗯。整体的结构如果有创新的话，可能我选到的就是一些。结构的话，那拿它和扫地机器人这样的产品可能再结合一下，这样的话它可能又多了一个功能，就是说可能就是说帮助老老人，完成就是这个室内的一个打扫。,概念合成-结构,2
32,这个可能我想到的就是，既然这种机器人已经是这个形态的话，那么他在物理运动的时候可能完成一些室内清洁，那么进一步减少老人的一个生活负担的一个功能，就是这个大清洁，对，还能保证室内房间卫生，,基于结构的评估,31
33,第二个方案，方案二。嗯。可能这个针对于敬老院吧！敬老院的群居老人。,基于功能的分析,0
34,那么其实敬老院的这个环境来说，老年人的这个行动能力或者是生活自理能力可能是参差不齐的，,基于功能的先例,33
35,他可能要在第一个方案的基础之上有一些比如说送药送餐，,概念合成-功能,34
36,因为他可能要需要一个人同时的满足多个老人的一些需求，然后以及对于多个老人的一些。用药用餐的情况进行。针对性的管理，然后以及就是说于，可能我觉得是在第一个方案的基础之上增加一些护工。相关的一些功能辅助。,基于功能的分析,34
37,这样的钱能够和几个老人同时完成一些交流或者是陪伴。,基于功能的评估,36
38,比如说。增加一些娱乐功能的话，像老年人，如果能够中老年人吧，在敬老院或者是这种康养的这些环境下，这个机器人能做一个什么广场舞，广场舞秧歌。秧歌的这个这个什么音乐节目的音乐播放，音乐播放？然后或者是？有个大屏。能够让大屏能够展示什么舞蹈的一些教学？,概念合成-功能,37
39,可能这个对于它的屏幕要求会更大一点。,基于结构的评估,38
40,可能更多是，然后还有一些陪护可能是说定期的定期。与老人子女。联系。然后。,概念合成-功能,33
41,还有像比如说老年人的健康档案。这里就可能更多的是一些系统层面上的设计，一些系统功能层面上的设计。,概念合成-结构,40
42,那么相比于上一个方案来说，它的结构整体会更多一点，它的储物空间，它的互动屏幕。这方面可能要比方案一要更大一些，因为这个使用环境和人群的范围更广了。,基于结构的评估,36，38
43,可能算是方案二就是在方案一的基础之上升级一些，然后多多更多一些与敬老院或者康养这种康养中心的一个监护系统，有更好的一些连接，对于老年人的这种健康档案，一些管理日常起居的数据的监控的收集等，有着更好的系统性的。,基于功能的评估,41
44,然后方案三。现在是现在多久了15分钟？针对公园广场老人。就是这个健康陪伴，因为老年人，可能中老年人他们的活动环境。还会出现在一些室外休闲场所。,基于功能的分析,0
45,那么这类机器人它可能更多的是以一个公共产品的形态出现，这个确实是比较理想的一个状态下，而且是在当前社会上可能并不常见的一个状态。我我目前感觉是，那么其实对于这种户外休闲场所下这种老年人的这种陪伴。机器人他可能也是处于一种一对多的一个状态。如果是个一对多的话，那么可能更多的它的功能。,概念合成-行为,44
46,有一些比如说出像娱乐功能的话，就是还是像上一个说的，就是广场舞秧歌的这种音乐播放。,概念合成-功能,45，38
47,然后比如可能更多，还有一些就是巡逻、监控。这样一些辅助老年人安全的这么一些功能，以及就是说急救设备、药物。然后紧急呼救等这种面对于户外突发情况下，对于老年人的这种及时的救治。,概念合成-功能,46
48,及时的救治可能是这种公共环境下的机器人，它的一些作用，,基于功能的评估,47
49,然后以及是说一些与社区医院。什么警察局？这个消防局等的这种连接。然后还有一些。然后就是可能还具有什么拨打电话的功能。但这个可能就是一些以防万一等等。,概念合成-功能,47
50,娱乐功能之外。然后可能更多的是对于老年人健康监测，安护和整个环境下的一些突发情况的一些处理，我觉得是这类机器人可能要做到的，,基于功能的评估,48，49
51,那么它的形态可能也是和楼上那两个为主，就是可能是一个偏人形的一些,基于结构的分析,50
52,它的一些结构的创新点可能在于户外环境，它的可能比如说有楼梯有坡，有什么样的这种不同的路况，,基于结构的分析,51
53,那么可能机器人它的在于它的行动结构上，它的机动传动结构上可能要有更好的一些。设计就是能够满足不同路况，使得这个机器人更好的去活动，,概念合成-结构,44
