节点编号,原文,设计行为,源节点
1,从功能上我我现在能没有想到的一些比较创新性的功能，就是比如说陪伴和监视。然后报警功能。,基于功能的分析,0
2,这个陪伴功能除了语音的陪伴他可能还会有那个呃。还可能会有一些呃叫。就是物理上的那种实际的陪伴，就比如说当成一个这个行走的一个助手。,概念合成-功能,1
3,监视和记录，就我突然想到这个功能上可能可以多一个记录功能，是因为呃就比如我们前面这些什么语语，呃他的陪伴，然后呃他在监视的时候呢，可以将就是老人的一些。呃，比如说因为老人可能会有一些呃身体方面的问题。然后嗯，他在这个前面日常陪伴的过程中，呃，和他会呃，这个监视老人的这个身体状况的一个状态，然后同时呢，他还会记录下来，记录下来，,概念合成-功能,1；2
4,虽然就是呃，这个老人在一些指标上可能没有什么问题。呃，但是呢，如果呃记录下来可方便就是说监护人或者是什么医生啊，可以回看看到这个老人的一些呃异常的行为或者状态，然后这些可以那个。这些可以对后续的这个就是产品使用。,基于功能的评估,3
5,然后我觉得可以加一个这种记录，嗯，在交互行为上，其实我最先想到的是这种实体案件的形式，,概念合成-行为,4
6,就是它呃可能呃就是因为。老年人其实更喜欢，就是一个简单的那种大型的一个按键，然后他不想要这么多繁琐的操作，,基于行为的先例,5
7,所以嗯。我觉得这种实际案件是最直接的一个方式，,基于行为的评估,6
8,然后其次就是可能可以有一个显示屏的方式是与这个呃，与一些什么监护人啊，或者是呃。就就算与这个机器人进行互动，,概念合成-结构,1
9,这个怎么说呢，这种行为应该是。可能是雨。语音的吧，语音的行为吧，,概念合成-行为,2；8
10,因为嗯。比如说机器人想想为他去呈现一个什么东西，呃，或者说或者是呃呃机器人正在监视他这样一个行为，然后这些都需要，其实是需要让老人知道的，就是呃。相当于给他一个反馈，所以我觉得这种。语音行为也是必须的，,基于行为的评估,9
11,然后又或者在呃，与他人的交流上，比如说有监护人的交流上，然后家人打来电话，或者是想要跟他视频等等之类的，然后也可以通过这个机器人进行显示，所以我觉得可能这样一个语音行为，,基于行为的评估,9
12,我现在又想到一个更好的叫做灯光的。呃，灯光的脚步呃。因为嗯这个灯光的交互可能对老年人来说更加直接,概念合成-行为,1
13,比如说呃它的哪一方面不好了，或者是哪一方面正在进行一个什么事情，可可以用白光或者晨光，然后如果不好的话可以呃呃为了体。体验这个警示角我可以用什么红光去去去告知它嗯。,概念合成-行为,12；1
14,结构上我觉得首先就是它的这个整个的叫什么，整个的这个就是产品的高度的产品高度。呃，尺寸。高度等相关尺寸应该是可以调节的，呃是因为。可以自适应调节，,概念合成-结构,1
15,因为呃老年人他们对于比如说呃他如果作为一个行走行走的助手，或者是他作为一个陪伴的一个呃玩偶，在这里的话就是呃为了方便。呃，老年人跟这个机器人的沟通，然后为了方便老年人去使用这个机器人。那他就是不一定就是。嗯嗯嗯。它的高度和它所处在的一个维度就是我觉得是可以可以根据老年人进行调节，然后第二个。,基于结构的分析,14；2
16,嗯，还有一个就是这个我觉得也属于结构吧，可能属于结构吧，就比如说呃这个呃。这个。激情人的尽量所有的唉，这个叫什么拐角或者是。尽量所有的呃产品交接的地方尽量使用圆圆角或者得倒角，尽量多的倒角和。,概念合成-结构,14
17,倒角和圆角，因为嗯是考虑到就是这个东西，首先要给那个呃老年人一个很比比较亲密，或者比较这个这个。容易接触的一个。一个陪伴的感觉，然后第二就是呃，一倒角和这种圆角呢，也防止它产生不必要的这些碰撞。,基于结构的评估,16；2
18,。啊，这个这个地方我在想，就是他的这个行为上，除了这种实体案件的交互，然后语音告知。的行为，就是比如说，呃，这个语音告知，其实就是刚刚说的这种交互的方式中，可以包含这种语音语音通知的这种感觉,概念合成-行为,9
19,嗯，还有一个就是能够适应。呃，能够适应？多变的地形吧,概念合成-结构,1
