节点编号,原文,设计行为,源节点
1,用户群体是中老年人嘛？现在其实是老化的产品已经很多了，如果想做的新颖一点的话。,基于功能的分析,0
2,不会在因为现在市场上已经很多没有已经千篇一律的这些关于什么药品的，或者一些什么聊天智能框了。,基于功能的先例,1
3,我可能想首先想到的是关于健身方面,基于功能的分析,2
4,因为现在很多年轻人，他们都会。父母去多锻炼身体,基于功能的先例,3
5,一些户外的健身设施的话，天气可能比较炎热或者寒冷的时候。老年人也不太中老年人不太方便出行，然后所以可能是一个健身机器人,基于功能的分析,4
6,功能模块，首先是需要有一个。时间计时。,概念合成-功能,5
7,然后。陪伴肯定需要一个。一个大的显示屏幕,概念合成-结构,5
8,在健身的。过程中。比较可视化的。,概念合成-功能,7
9,在健身的时候不会过于枯燥。,基于功能的评估,8
10,是整个产品要考虑到碰撞，所以整个产品需要是圆润的舒适的。,概念合成-结构,5
11,易于中老年人操作，产品要是简约的。,概念合成-结构,5
12,然后。机器人的大小，我考虑到是健身陪伴。整个的。比例尺寸比例？差不多是。至少是有一个落地风扇这样的大小。,概念合成-结构,5
13,然后计时功能可以显示在一个圆润的圆形的屏幕上面。,概念合成-结构,6;7;10
14,然后它里会有比较简约操作的一些按键。适比较适用于中老年人使用一些简易操作的，比如开始健身或者。健身结束或者休息一下之类,概念合成-结构,11
15,然后语音模块是肯定要加入。老年人他可能。要需要加语音模块。,基于功能的分析,5
16,然后整个机器人。它可能是上面是圆润。下面是成锥形。,概念合成-结构,10
17,中间。会加一个。倾斜过来。可以放置一些。功能按键。屏幕按键。可视化。运动可视化。,概念合成-结构,16;8;14
18,可能会想。在底部。然后有一圈是有双层，然后里面会有。可以有灯光显现出来。,概念合成-结构,17
19,是有一个识别功能，整个机器有一个识别关于老年人。做健身的动作。在家中可能就是简身的举简单举哑铃蹲起。,概念合成-功能,18
20,然后。一些康复训练可以识别动作是否标准进行一个语音提示。,概念合成-行为,19;15
21,在语音提示的同时，它的整个产品下端。有相应的显示灯光，比如红色是动作出现失误，动作失误或者说警报情况。,概念合成-行为,20;18
22,老年人运动过程中可能在家中有摔倒。或者说有一些什么？比较危险的情况出现,基于功能的先例,21
23,然后黄色灯光是提醒动作不标准，绿色灯光是。动作比较标准可以继续进行。,概念合成-行为,21
24,第二个。健康陪伴。第二个。第二个更想尺寸稍微。小一些，比较方便，随时拿走移动。,基于结构的分析,0
25,上面可能想要带一些。也是那种可以卡扣的滑轮。可以方便移动的,概念合成-结构,24
26,关于小型的话。它可能是有像是to do list，然后一个实体版。,基于功能的先例,24
27,老年人可能记性差。然后这个to do list就应该能呼应到。陪伴。可能他每天要做什么什么什么事情可能会经常中老年人做完这件事情会忘记掉。,基于功能的分析,26
28,他可以。放置在桌子上。大概的大小是大概的大小。桌子上那种小型的风扇这样的大小。,概念合成-结构,24
29,然后它可以有投屏的功能,概念合成-功能,24
30,可以粘贴在。墙上倾斜一个角度。在桌子上也可以直接放置,概念合成-结构,28
31,这个的我主要想到的就是它可以。投屏出它的屏幕上也可以直接显示一个to do list就是每天要哪些事情以做哪些事情为未做,概念合成-功能,27;29
32,然后来提醒。今天要吃药，几点吃药进行一个提醒。几点我。要做什么事情进行一个提醒？,概念合成-行为,31
33,他可以和家中如果有一些智能的。一些家具的话可以去联动进行。比如说窗户没有关。如果有制冷窗的话，窗户没有关。,概念合成-功能,32
34,然后它整个产品的。造型还是要比较简约的。,概念合成-结构,24
35,第三个产品。如果是在户外的场景下。,基于功能的分析,0
36,可能类似于。比较小，可以。双手握住。也可以佩戴在手上的一个。但是他是。会有一个。握住的。凹进去多出来，后面是佩戴一个环，可以双手握住，或者在手上有物品的情况下也可以。,概念合成-结构,35
37,在户外的话。痛点老年人的痛点第一个想到是可能温度天气。,基于功能的分析,35
38,在天气热的时候。吹就可以吹风,概念合成-功能,37
39,然后在。冬天的时候。断进行发热。加热模块。,概念合成-功能,38
40,硬件的话。他要比较。可以握佩戴在手上。,概念合成-结构,36
41,软件的角度，功能可能是。软件角度。出门。就进行一个导航的功能。,概念合成-功能,36
42,在手环上多出来的一个像类似于。公交车上，你站在后门的那块有一个把手。把手是刚好人握的一个。然后？尺寸在稍微变小一点,概念合成-结构,36
43,它可以里面配置一个那种盒就是卡扣，可以打开这个盒子可以放。老年人的？一些随身物品。钥匙或者说。一些零碎的物品。,概念合成-结构,42
44,然后。充电方式。正常像佩戴充电。线的充电方式？,基于功能的先例,36
45,温度调控。可以用？我忘了叫什么是电子室温控器就是一个温度调控。佩戴手环。,基于功能的先例,39
46,这个盒子也是？一个倒角设计加手环材质可以是硅胶的。,概念合成-结构,42;43
47,些智能的功能。刚刚提到。导航。还有。那其实可以是加会要加语音的。功能。,概念合成-功能,41
48,我虽然不太清楚。还不太清楚它是否现实,基于功能的评估,47
49,就是可以加一小行一小一小小的一个屏幕，也是讲有那个to do list，,概念合成-功能,26;47
50,然后但是它的提醒方式，语音加上那个震动。,概念合成-行为,49
51,如果在室外可能不太方便的情况下调至静音，然后是振动模式提醒。,基于行为的评估,50
