节点编号,原文,设计行为,源节点
1,首先我觉得这个机器人。机器人的外形,基于结构的分析,0
2,外形做到就是要尽可能做到。相接近于人,概念合成-结构,1
3,因为就是如果把它做的就很像一个机械化的一个机器，可能会比较冰冷,基于结构的评估,2
4,然后就是，它会给老年人讲一些，,基于行为的分析,3
5,会给老年人讲故事,概念合成-行为,4
6,教他们做一些新颖的菜肴,概念合成-行为,4
7,同时就是它自带投影功能,概念合成-功能,3
8,方便子女与老年人的联络,基于功能的评估,8
9,方案一集中在给老年人讲故事，然后。做菜肴上面,基于功能的评估,4;5;6
10,方案二，我觉得可以就是帮老年人做一些，可能这个年龄完成不了的一些任务,基于功能的分析,0
11,就比如，干一些家务,基于行为的先例,10
12,其实就不是上面那个教老年人做饭，就是它会教老年人每一步菜品该怎么做,概念合成-行为,6;10
13,我就想让它完全替代人类,基于功能的分析,11;12
14,然后它的外形。外形我认为这个这种机器人它可能外形不一定要，就是不一定要接近于人,基于结构的分析,13
15,但是要保证，动作的敏捷,基于行为的分析,14
16,它的外形，方案二差不多了,概念合成-结构,15
17,方案三，就是针对陪伴，健康陪伴,基于功能的分析,0
18,我认为就是这个机器人，比如老年人想出去买菜或者想出去散步，它可以保证老年人的安全,基于功能的分析,17
19,充当老年人的私人助理,基于功能的分析,18
20,或者陪护,基于功能的分析,18
21,就是它可以在老年人买菜或者散步的过程中，实时陪伴老人，保证老年人的安全,概念合成-功能,19;20
22,外形结构不需要特别复杂，像一条机器人小狗,概念合成-结构,21
23,实时监测老年人的状态,概念合成-行为,22
24,方案四，我认为这个机器人是老年人身边的家庭医生,基于功能的分析,0
25,实时监测老年人的身体健康,基于行为的分析,24
26,就比如它会观察到通过一些红外、或者一些技术去观察到老年人身体的一些指标。,概念合成-行为,25
27,并将数据实时传递给子女,概念合成-行为,26
28,如果老年人，遇到一些不好的，就是如果老年人生病,基于行为的先例,27
29,它可以为老年人制定药物清单,概念合成-行为,28
30,并将药物清单送给子女或者就近的药店,概念合成-行为,29
31,外形的话，我觉得也许它也不需要特别像人吧,基于结构的分析,24
32,结构主要是由监测装置加移动平台,概念合成-结构,31
33,方案五，我觉得另一个机器人可以从老年人的心理入手，充当老年人身边的心理医生,基于功能的分析,0
34,就是老年人可能会遇到一些孤独的情况,基于功能的先例,33
35,机器人可以通过老年人的行为或者语言及时疏导,概念合成-行为,34
36,有些老年人患有老年痴呆，容易迷路,基于功能的先例,33
37,机器人可以充当老年人身边的导航装置，为老年人指路,概念合成-行为,36
38,方案六、有些老年人比较喜欢下棋或者打牌,基于功能的先例,0
39,这款机器人可以充当老年人的娱乐助手,基于功能的分析,38
40,它的外形有两个机械手臂+摄像头,概念合成-结构,39
41,可以观察桌面的情况,概念合成-行为,40
42,然后加上，配备有一个显示屏,概念合成-结构,40；41
43,方便老人查看胜负的情况,基于功能的分析,39；42
