节点编号,原文,设计行为,源节点
1,对于中老年人的健康陪伴类的产品。可能会有一些对他们首先会有一些比较基础的功能,基于功能的分析,0
2,比如说对于他们的身体健康水平的把控，可能给一些健康方面的建议,基于功能的分析,1
3,对于中老年人来说。首先购买这样的产品的人可能除大部分是除了我们的中老年人本身，还有他们的家庭成员,基于功能的分析,0
4,我认为可能还需要一些对于刚才上面提到的健康检测的一些反馈,概念合成-功能,2
5,会有些反馈会包括本身那些信息记录，然后还有预警信息的，给监护人的一些预警,概念合成-功能,4
6,其他的我认为是两个方面，一个是健康刚才提到的。这些健康方面的一些关怀。然后一个就是陪伴，因为他是一个陪伴性机器人。陪伴包括了一些心理上就可以涉及到他日常的起居，一些对于他的本身的情绪上的关怀,基于行为的分析,2
7,情绪就是物质和精神两个层面的关怀,基于功能的分析,6
8,他本身作为机器人，对于老年人来说，有易用性。,基于结构的分析,0
9,所有的信息的输入输出有反馈。让老年人可以理解，便于他们理解,基于功能的分析,8
10,可能对机器人他会有一些。就跟我们普通的毕竟非常习惯于智能设备的年轻人来说。他们可能并不太理解,基于功能的先例,9
11,对于机器人有一些更口语化的，更加适配老年人一些东西,概念合成-功能,10
12,首先有基础需求，对健康的一些层面上，他的陪伴上可能是包括了物理和心理上的,基于功能的分析,1
13,包括机器人的使用上，它是易用的信息反馈的，有口语化的,基于行为的分析,12
14,此外，一些附加的功能可能包括健康观测的反馈,概念合成-功能,13
15,另外是否还可以有一些关于生活上，对老人来说比如说他们平时买买菜什么的，他们日常中可能比较典型的一些情况,基于功能的先例,14
16,对于老年人来说，比较常见的行为是买菜听新闻,基于功能的先例,0
17,反正就是一些常见的行为，就可能可以通过一些调研去看看能不能够在我们这种小功能上给它一些介入,基于功能的分析,16
18,比如说存钱、天气的那种小的功能。那我认为大概从这几个层面上可以设置他们具体的这方案,基于功能的先例,17
19,他是因为他需要对身体的一些数据有一些把控，会需要有一些穿戴式的设备,基于功能的分析,12
20,可能是个手表比较轻便的,概念合成-结构,19
21,然后防水的，或者说它是一个在脖子上的,概念合成-结构,19
22,有一个极小的机器人，机器人的形态是比较贴近生活比较亲切,概念合成-结构,19
23,可以对它做一个拟人化的这样的设计,概念合成-结构,22
24,他是一个小孩儿这样的形象，他的声音他的语音是小孩这样的,概念合成-结构,23
25,本身对于健康水平的把控提醒，我认为这个是比较基础的功能，所以不同的方案里应该都会具备,基于功能的分析,4
26,老年人他比较多发的老年人的一些基础疾病,基于功能的先例,0
27,比如说我们面向的是哪一部分，哪一类老年人，他们有一些比较特殊的需要对身体的哪些数据进行一些监测,基于功能的分析,26
28,进行一些情绪的支持，具体可能可以包括跟着老年人他的从早到晚的流程来,基于功能的分析,7
29,从早上起床到三餐和遛弯,基于功能的先例,28
30,这个可能会首先需要一个数据的获取，根据它先取一周的这样的数据,基于功能的分析,29
31,大概可以对老年人，他的日常的起居有一个大概的模型。然后根据他这个模型再在它的后面的日常的常见的行为的时候给予一些支持,概念合成-功能,30
32,我认为比较重要的可能还有建立起老年人。和他的家庭成员之间的这个部分也是比较必备的,基于功能的分析,7
33,家庭成员之间这个信息的互通健康信息的互通。把这些数据要及时的反馈给他们的家庭成员，这是对于家庭成员来说比较必备的功能,概念合成-功能,32
34,生活上的一些便利小功能就是刚才提到的,概念合成-功能,18
35,利用信息的输入输出，比较口语化的语音功能,概念合成-功能,13
36,就对老人做更多的观察，有一个比较适老化的数据库的,基于功能的评估,35
37,可以集成在穿戴式设备中，因为本身穿戴式设备可能是必备的。他需要有一些数据的获取,基于结构的分析,19
38,除了穿戴设备，它上面可能还会有一个显示器，然后有一些语音的这样的功能都集成在一起。形态可能会是手表、眼镜、项链类似这种，比较容易携带，日常就是要经常脱的,概念合成-结构,37
39,钥匙那种挂件挂坠也可以,概念合成-结构,38
40,功能上我觉得还需要满足它的健康，包括它的定位一键呼救,概念合成-功能,2
41,如果是便携式的设备，可能它对于老年人来说的那种情感的关怀比较弱,基于功能的评估,7
42,因为它没有一个比较拟人化的形态，它会更像一个比比较冰冷的设备,基于功能的评估,41
43,可能便携式的一些问题,基于结构的评估,42
44,他这边可能更重要的功能就是语言上面的一些表达,基于功能的分析,38
45,因为它没有了一个比较可爱的外形，那语言上就可以做的更加生动。我认为一般情况下都会以小孩子的声音或者是那种比较温柔的女性的声音,概念合成-结构,42；44
46,如果大家都有使用这种比较便携式的这样的一个小的硬件是不是可以基于做一个社交方面的内容,概念合成-功能,38
47,对于老年人来说比较有亲切感的那物件。可能对他们的整个使用过程中会让他们觉得更有亲切感，更熟悉的这样的物品,基于结构的分析,8
48,是一本书或者收音机这样的形态,概念合成-结构,47
49,老年人，他喜欢看一些什么什么健康养生书籍去听一些健康讲座,基于功能的先例,1
50,这种东西可以把一些知识性的信息放在这上面来去进行呈现,概念合成-功能,49
51,首先硬件是熟悉的物品有亲切感的，但是同时又是智能化的功能,基于功能的评估,47；50
52,如果是一本书，那它更多的表达情感关怀,基于功能的评估,48

