节点编号,原文,设计行为,源节点
1,首先想从老年人需要哪些方面的健康陪伴就是从疾病，还有他的一些身体指标来考虑的话。,基于功能的分析,0
2,首先是我的第一个方案检测基本的生命体征，他有一些基础疾病比如糖尿病。基础疾病的影响下，会不会有一些生命危险？比如说滑倒了，糖尿病人可能就会比较危险,基于功能的先例,1
3,有点类似苹果的苹果手表的功能。比如说你紧急摔就摔倒之后他会发紧急警报会自动呼叫,基于功能的先例,2
4,它是一个陪伴机器人，我想这个功能可能就是监测是其中的一环，它有点类似那种模组的设计。可能手环是机器人上的一个部分,概念合成-结构,0;3
5,老人每天拿下来，戴在自己的手上。机器人会感应到有不好的情况，他就会跑过去。我去救他或者说。给他打电话什么的,概念合成-功能,4
6,那就来考虑一下它的功能，那这个的功能。他会每天跑到到用户面前把手环给他,概念合成-功能,5
7,这个手环就可以监测它的基本的生命体征生命指标，还有的话可以提醒他。因为每很多老年人都有吃药，定期服药的习惯，就他们可能有基础疾病，比如糖尿病，高血压就是每天都必须得吃药，不吃药的话就比较危险。,概念合成-功能,6
8,可能还有像一个喂药机器就有点像我们自己买的那种。然后把一周的药放在里面，然后每天到那个时间那个药盒就会震动，你必须要在那个时间吃药,基于功能的先例,7
9,比如说每周有他的子女给它放进去，然后一周后再来换，或者说老人自己来换,概念合成-行为,8
10,和老人的医保联动。他可能会去做一些检查什么，然后他把那些信息都汇总在一起跟医疗的平台一起合作。,概念合成-功能,2;8
11,这样可以线上诊断，因为很多老人他可能突发一些情况，但是旁边没有人,基于功能的评估,10
12,可能也没有特别的紧急，他是一个慢性的过程。然后他可能不太方便，就是自己去医院，那如果有个线上的诊断或者说有突发情况，如果有线上的诊断的话，可以比较好的进行一些措施,基于功能的评估,11
13,医疗平台合作的话。他拍的片子，然后做的一些检查都可以同步到这台机器里面。机器也会进行自己的一个诊断和就有自己的分析，就知道了解了。用户他自己的身体状况。那这样的根据他每天的监测，他会比较快的比较准确的给出一些建议,概念合成-功能,10
