节点编号,原文,设计行为,源节点
67,比如说，像手表一样,基于功能的先例,66
50,比如说我爷爷刚刚也突然说觉得。就觉得好像缺氧或者是供血不足,基于功能的先例,49
9,"比如说有什么传感器或者摄像头,传感器监测到老人现在的身体情况、行为，发现老人疲惫之后，主动变形",概念合成-行为,8
56,比如说最好是老人可以通过语音，就像嘿siri那样直接把医生叫出来。,概念合成-行为,55
45,不希望它有什有特别复杂的物理功能，特别复杂动作或者结构,基于结构的分析,45
70,测的话就比如说它可以有机械臂,概念合成-结构,69
17,但是。我觉得比如说他在家里的时候，老人还没有决定或者在犹豫要不要出门逛逛什么的时候就可以在家中通过声音反馈或者什么鼓励老人出行,概念合成-行为,16
35,但是可能有隐私问题，,基于功能的评估,34
46,但是可以通过一些拟人，比如转头，或者可以眨眼，给人一种陪伴的感觉,概念合成-结构,46
2,但是他遇到的问题，他有出行和社交的需求，他比如说腿脚不便等问题，他可能需要出行的时候需要，他的需求在出行时，累的时候随时坐，或者是有拐杖。,基于行为的先例,1
48,但是他乍一想感觉跟方案二也有点像,基于功能的评估,47;19
12,当然也可以被动，老人觉得累了就也可以被动变形。,概念合成-行为,11;7
19,第二个健康陪伴机器人，那除了出行，可能在家中进行陪伴，照看不同场景的机器人,基于功能的分析,0
42,对一些比较行为特别不便的老人，他可以自己选择开不开启，,概念合成-行为,41
22,对于独居老人来说，比如说他们可能会很想要联系亲人、儿女,基于功能的先例,21
68,诶，他能不能外形是个手表？,概念合成-结构,67
47,方案三，我有想到现在很火的那种远程就医,基于功能的先例,0
41,感觉还是需要的吧，想一想，还是需要的,基于功能的评估,40
57,感觉有点复杂，,基于行为的评估,56
33,隔空照料还有什么办法能让他们俩关系更紧密一点？,基于功能的分析,25
6,功能的话，因为需要它可以变成随时休息的座椅。比如说可以变形或者是折叠，然后就可以在老人累的时候变成座椅,概念合成-功能,5
80,还有能够语音识别老人需要测的内容，然后调用相关仪器,概念合成-行为,74；77
10,很多老人他可能会意识不到自己需要休息,基于功能的分析,9;7
23,或者是我觉得反过来说，很多年轻人也会想要照顾或者是关注父母的身体情况或者是经常联系他们,基于功能的先例,22
44,结构方面的创新可能就是可以动，,概念合成-结构,43
51,就是老人可能会有突发的情况或者是突发的不适，不是每个时候都方便去医院或者说有别人来接她去医院。,基于行为的先例,50
63,就是日常问题问AI，然后来给一些简单的康复指导,概念合成-行为,62
15,就我觉得最最最重要的。他就有一个很重要，他要鼓励老人出行,基于功能的分析,3
40,可能需要摄像头了,概念合成-功能,39
75,可以折叠或者旋转进行仪器变更收纳,概念合成-结构,74
4,目的是陪伴老人，成为随时休息的座椅，从而达到一个鼓励他们出行的作用,概念合成-功能,3
21,那关于心理健康这一块，因为现在很多都是独居的老人,基于功能的分析,20
36,那就比如说搜集和疾病相关的词，不用录制所有话.比如说。子女来照看老人的时候就可以发现。老人经常提到什么头痛。头痛或者是？哪个地方具体的疼痛，这样可以对他让他们快速对他健康做出一些反应。,概念合成-行为,35
62,那可能也可以加个AI,概念合成-功能,61
61,那能不能说？在老人还没有？就没有突发情况出发，没有突发不适的情况下，就能够在日常的生活中帮他们增强一些在室内的锻炼，简单的锻炼,基于功能的分析,60；51
24,那你经常联系他们，这样的机器人就不需要在物理上面像上一样有什么复杂的物理功能,基于结构的分析,23
3,那我觉得健康陪伴机器人就可以，在他出行的时候成为他的，可以陪伴他出鼓励他出行的机器人,基于功能的分析,2
26,那这样的话他可能外形是个屏幕,概念合成-结构,26
13,然后。有一些帮助老人避障的一些功能,概念合成-功能,12;3
32,然后还需要，可以让老人更加更容易的联系儿女，防止一些意外的发生,概念合成-功能,22;30
59,然后屏幕可以和医生交互。,概念合成-行为,58
8,然后他的行为，最重要的，我觉得，他能自己感知老人的疲惫,概念合成-行为,7
66,然后它机器人最好还有一个测量的功能。,基于功能的分析,65
64,然后它也可以有视频反馈，这样比较容易学习,概念合成-功能,63
27,然后像是语音助手这一类产品,概念合成-功能,27
78,然后行为还有被动叫起，让老人和医生对话,概念合成-行为,77
43,然后这样的话，助手，机器人他也可以通过转头等一些比较简单的动作，给人一种他在陪伴他的感觉,概念合成-行为,42
71,上面可以测血压、心率以及别的一些日常来监测比如说有高血糖之类的病的话,概念合成-功能,70
69,手表算机器人吗？算了，还是大屏幕吧，老人看清楚一点。,基于结构的评估,68
16,虽然他已经有很多行为，可以帮助老人来解决一些路上的问题了,基于功能的评估,15;13;4
11,所以我就希望机器人能够主动一点,基于行为的分析,10
52,他可能就需要远程来求助，就是怎么样快速缓解,基于行为的分析,51
34,他也许可以，就是收集老人的话,概念合成-功能,33
30,它可能有的功能，比如说他在不联系亲人的情况下，他就可以自动和老人对话,概念合成-功能,29
72,它这个数据也会上传整合到他的个人健康数据里面，然后，老人求助时可以调用数据，,概念合成-行为,71
76,我不知道是不是有一些高血压或者是什么疾病，它需要定期来测量,基于功能的分析,75
29,我更想让它成为一种陪伴你的感觉,基于功能的评估,28
60,我想的是远程就医的产品应该挺多了，,基于功能的评估,47；58
