节点编号,原文,设计行为,源节点
1,因为我最近在跟姥姥一起生活，其实有一天有一个我挺就是心里挺噔一下的一件事，我去就是转车坐地铁那个升降的那种滚梯滚动扶梯，有一个60来岁的老奶奶。他就是在做滚梯往。从滚梯它升的位置往前踏一步的时候，它没踏稳，一下子就摔地下了，是整个人非常结实的砸在地上,基于行为的先例,0
2,我当时心里想的就是这才60多岁。如果是我老了，他自己来做这个滚梯，他要摔下来的可能就再也爬不起来了,基于行为的评估,1
3,挺难受的点就是，就这种滚梯，它对于我们而言，我们这个年纪的人而言，可能是就很容易，你看一下那个速度，然后提前迈过去一步，但对于老人来说，他们反应慢的话，这就是一个挺大的问题,基于行为的分析,2
4,包括可能孩子也会有这方面的痛点，那场景想要先设定为商场都别商场了，地铁站这种必不可少，必无可避的,基于功能的分析,3
5,老人反应慢。在上下。的过程中。反应不及时。,基于功能的分析,3
6,另一方面就是所谓的那些无障碍电梯给中老年人用的，它并不是那么醒目，所以可能多数都是使用这种扶梯,基于功能的先例,4
7,那还可以在什么方向进行改进？如果增加一些按钮之类的，针对他们反应不及时增加一些按钮,概念合成-功能,5
8,减慢速度或者语音提示,概念合成-行为,7
9,对老年人而言，使用成本又会很高。学习成本又会很高,基于功能的评估,7;8
10,进行一定的功能或者进行群设计。所谓给这叫什么少数群体适用于少数群体的。电梯就是更适用于少数群体的电梯，对于我们正常人或者说是身体强健的人而言，并不会影响我们的使用，甚至会方便我们的使用。,基于功能的先例,6
11,比如说。他肯定会往上升走那。比如说它有语音提示。,概念合成-行为,8
12,一方面可以，比如说若感应。监控在监控。人在扶梯上的位置。,概念合成-功能,11
13,然后在需要人去上扶梯和下扶梯的时候做出语音提示。,概念合成-行为,12
14,从人的角度，它可以更加丝滑的让人走上去，有什么方法？,基于结构的分析,5
15,上下扶梯的？铁板都是比较滑的那种，因为它底下是有扶梯的机械结构,基于结构的先例,14
16,能不能变成一些防滑的材料,概念合成-结构,15
17,可以把它扶梯换成别的升降电梯固然是很好，但是扶梯它可以搭载的人流量更大，扶梯搭载能量量更大,基于功能的分析,6
18,那我们就不能说期待这些少数群体可以自己去发现,基于功能的分析,17
19,电梯这样的对他们而言，尤其是对老年人而言还是比较困难，那我们可不可以有机器人进行指引,概念合成-功能,18
20,帮助老人找到！无障碍。可以在这个里面，那如何进行指引？,基于功能的分析,19
21,只是适用于小范围适用于地铁站的话，那我们就是类似于公交车刷卡，有老年卡，比如说60岁或65岁以上，他们刷地铁站的码就是会跟他人不一样，比如说现在支付宝,基于功能的先例,20
22,因为这方面我没有提前做过调研，老人会更多使用什么，他们可能坐公交车更多,基于功能的评估,21
23,地铁的进站。有敬老卡。如果刷进老卡的话，地铁的进站口就会指引它倾向，,概念合成-功能,21
24,比如说类似于倾向直走左拐使用无障碍电梯就是类似于。这位敬老卡请您直走右转使用无障碍电梯类似于这样的语音提示。,概念合成-行为,23
25,会产生的问题是，如果我们想解决扶梯的问题，这样就局限在了地铁站，那商场中，这些东西的话就更比较难以解决，也不能说老人就完全不会去商场这样的地方扶梯现在算是各个地方,基于功能的评估,23
26,尤其是在大城市在哪里都会去乘坐扶梯。,基于功能的先例,25
27,如果继续说是对扶梯来进行改进，它一方面可以有防滑的材料，有语音的提示，那还有什么方面？尽量不是在需要学习成本很高的情况下让老人来。,基于功能的分析,26
28,免除，比如说防滑材料是否可以用？的合金材料,概念合成-结构,27
29,还有什么方法？比如说一般情况下，上了年纪的人扶梯的扶手，我认为也可以做一些。,概念合成-结构,28
30,健康陪伴的机器人。针对的。针对的。这叫什么独居老人丧偶，独居老人或者离异独居老人。因为是独居老人，他们所需要的话就是主打的就还是陪伴。,基于功能的分析,0
31,我们使用场景就是家里？那比如说就还是当初的那个痛点，老人常年自己独居在家没有孩子的陪伴,基于功能的分析,30
32,专为老人设计的语音机器人。,概念合成-功能,31
33,首先是在声卡部分做起，做了设计就快一点，反正。声卡是通过输入来通过子女进行对声卡的一个。输入一些语音输入，可以与智能机器人可以模仿。儿女的声音,概念合成-结构,32
34,孩子的声音与老人进行沟通，老人孩子的声音。,概念合成-行为,33
35,另一方面。现在希望它有一个监控功能，儿女可以通过手机通过机器人来实时观测到老人的。居家的情况。,概念合成-功能,31
36,可以作为日常陪伴聊天，就像我们平时调戏siri一样siri，会用他机器的语音来回复我们的这个适用于老人机器人就会用他子女的声音来回复。,基于行为的先例,35
37,最后一个的话就给予他一个。事务提醒，比如说在出门之前可以提示老人携带钥匙在定时每一天的，比如说饭前饭后或者在特定的时间点提醒老人吃药。那这个方案就这样.,概念合成-行为,31
38,力量型可以力量辅助吗？,基于功能的分析,0
39,外骨骼机器人这样的行吗？,基于功能的先例,38
40,比如说我发现很多老人他拿东西的时候我也手抖的很厉害。,基于功能的先例,39
41,我所想的痛点就是也是观察我自己身边的老人，岁数大了以后他们的力量会变弱，而且都会大多数有帕金森手抖的这个问题。比如说我姥姥有一天中午我是非常明显的，看他拿碗的时候，他自己都不知道那个碗的汤已经撒了很大一坨在地上，,基于功能的先例,40
42,那个其他问题倒不说，就是他往前走，踩到那坨，当很害怕他会跌倒手抖,基于功能的评估,41
