节点编号,原文,设计行为,源节点
1,我首先会把用户去考虑拆分，因为可能要涉及到多个方案。我首先比如说我想把拆分中年和老年,基于功能的分析,0
2,其实跟用户的特征相关的，比如因为他是健康陪伴，那如果跟去结合的话，那像中年他的状态更偏向于是健康的状态，他比如说有一些潜在的需求比如说养生、健康的建议,基于功能的分析,0；1
3,对老年人来说的话。首先它也有一个健康的状态。也是像中年一样，可能会有一些养生或者是健康的一个追求，其次它可能不是特别健康的一个状态，就是比如说他是生病的状态、生活上需要帮助的状态,基于功能的分析,1
4,其次就是健康陪伴。我也可以去给他拆分比如说它是一个很直接的方式，或者是一个间接的方式？比如说像拐杖或者是轮椅就是比较直接的一个方式。像间接的话，比如说一个智能音箱现在是已经有的一些产品，有一些语音或者是屏幕上的交互形式,基于功能的先例,2
5,机器人他就是一个称呼，所以说他的形态不一定就是说真的会像人一样，可能就是一个形态上的一个问题。然后它需要跟现在的产品不同,基于结构的分析,0
6,基于第一个用户，比如说是中年人，他可能会需要一些健康的建议，或者说是需要一些养生的指导功能的话，图文为主的一个形式,基于功能的分析,2
7,其实中年人他的学习能力包括他的认知水平是可以跟青壮年比较像，所以说我觉得他的行为可以跟软件进行一个交互,基于行为的分析,6
8,因为它是一个辅助，不像拐杖轮椅这种物理上的，它的结构我觉得不是说特别受限,基于结构的分析,7
9,它需要去承载一个软件的功能的话，怎么跟手机做出一个区别,基于功能的分析,8
10,场景在厨房，食物是息息相关的养生也是存在很强的关联性的,基于功能的分析,6
11,比如说在冰箱上做一个养生食谱的推荐，然后包括你冰箱的食物的热量糖分。比如说用户是一个痛风患者，可能会倾向于少吃一些油腻。或者是少喝一些海鲜汤之类的内容,概念合成-功能,10
12,还有我刚还有一个想法是在生活节律上面。这个场景可能比如说是卧室这个场景的话，我觉得可能比较倾向台灯,基于功能的分析,6
13,首先它可能有一个类似于闹钟的功能，但是闹钟它会倾向于结合灯光吧，结果灯光，然后一个比较轻柔的唤醒方式。其次它其实还会有一些音响的功能。比如说早上可以起床之后去拉伸一下，活动一下去引导他一个健康的生活方式。,概念合成-功能,12
14,比较针对老年人的想法。比如说他是亚健康状态，存在一些隐性的一些问题。老年人他可能跟中年人比较不一样的是。老年人可能就退休了，之后他。他就是没有一个稳定的生活节奏，他其实是需要一个也是需要引导的,基于功能的分析,3
15,中年人，他其实是认知能力是比较强的，包括他的软件交互的能力是比较强，但是老年人的话，他可能就是对于这个屏幕的一个识别，包括它对软件的一个接受程度是比较低的，所以说我可能还是倾向于去做一个更硬件的产品硬件的。,基于行为的先例,14
16,比如说亚健康，那我就做一个间接的形式，那针对于刚刚说不是特别健康的一个人群的话，我可能会倾向于做一个直接的形式,基于行为的分析,14
17,健康陪伴那我可能比如说坐在餐桌上。因为针对我对老年人的一个了解。就针对我对老年人的一个了解他们对于食物的搭配。包括他们比较根深蒂固的节约的思想，可能导致一些食物在搭配上会不均衡,基于功能的先例,4
18,或者是摄入的过于的单一，包括食物可能没有吃完它一直反复的去保存，可摄入这个是有非常大的隐患的,基于行为的先例,17
19,比如说在餐桌上。会有一个小机器人，包括它会有一个摄像头。小机器人的形式也不一定真的就是一个机器人的形式，它其实可以融入到这个环境里面,概念合成-结构,5；18
20,因为老年人。这些科技产品还是相对较排斥的。比如说我可以做成一束花。放在餐桌上。它会比较融入、或者是比如说一个小台灯，也是一个小餐桌灯的一个形式，它会有一个摄像头去扫描桌上的菜是否搭配营养均衡,概念合成-结构,19
21,或者是比如说一道菜吃了三天。他会提醒不能吃了，或者是一些蔬菜，他晚上吃了之后，他第二天是不能再吃的，就是有一些保存上的建议。包括他一个饮用水的建议，比如说一天需要喝多少水，这个时候该喝水了，,概念合成-行为,20
22,包括一个吃药的建议是可以跟喝水去结合的，然后这个也是间接的,概念合成-功能,21
23,那他的用户的行为其实就更倾向于是去听语音的方式,概念合成-行为,22
24,结构上的话，能融入环境，然后不需要阅读。也是可以跟他对话的就最好是可以，还有一些简单的对话。,概念合成-结构,20
25,直接的方向，它不是一个健康的状态，它可能是需要帮助。,基于行为的分析,16
26,比如说。老年人最主要的就是他的腿脚会不太方便,基于功能的先例,25
27,人是一定有出行的需求的，特别是老年人会经常去买菜，那所以说我觉得这个行为可以融入到他去买菜的场景里面,基于行为的分析,26
28,买菜的话，其实跟这个场景强相关的，它需要一个小推车。,基于功能的分析,27
29,它结构上其实也是融入到推车的里面,概念合成-结构,28
30,然后具体的行为我先分析下他的场景就其实跟刚刚的在餐桌上也有一点相关,基于行为的分析,27
31,他目标就是买菜，菜的搭配,基于行为的分析,30
32,另外就是我刚刚说的行动上的一个问题，是可以提供一个助力的,概念合成-功能,27
33,并不是说像轮椅一样可以坐上去，像电动车一样动我觉得这个没有必要,基于功能的评估,32
34,老年人他需要一个稳定的可以搀扶的结构,基于功能的分析,30
35,可以去类比一下超市的小推车购物车。它其实是可以把菜放在前面。人可以去把大部分的力量去放在上面,基于结构的先例,34
36,如果是超市购物车的话就会太大，也不便行动,基于结构的评估,35
37,购物车缩小版,概念合成-结构,36
38,那包括买菜这个里面其实还有一个问题。他需要去计算他的重量。计算它的价格。老年人对这个东西还是比较在意的，可以去做一个附加的功能。,概念合成-功能,27
