节点编号,原文,设计行为,源节点
1,中老年人我会先定义一下什么中老年人，那不允许我上网搜，我觉得中年人可能是。甚至好像35岁以上都算中年人老年人就不知道，那我给他的定义可能是。健康陪伴中老年人我就很老，要死不死的80岁左右的。,基于功能的分析,0
2,它的定义比方说是有。或者是心。比方说他空虚。寂寞。比方说少社交这样的我会觉得他的心理上多少有一些问题的这样的人。,基于功能的分析,1
3,健康陪伴这个词比较大，我会给他的定义可能是。我会聚焦在心灵上。刚才一样，或者是心理上！,基于功能的分析,0
4,比方说是针对。80岁以上的空巢老人的语言交流机器人,基于功能的分析,1;3
5,还有这个比方说有退休金，就是经济富足。Yeah老年人家都不缺钱。这样的一个情况,基于功能的分析,4
6,功能上，比方说针对这样的人还有什么功能类，比方说聊天。,概念合成-功能,5
7,比如提醒功能。,概念合成-功能,5
8,行为结构功能给他划分一下，叫做物理上。一个叫做语言上。物理上比如说是老年人去上厕所，他就陪着他到厕所，老年人去厨房，他就陪着他去厨房。,概念合成-行为,4
9,语言上可能是聊天、闹钟,概念合成-功能,6;7
10,那么可能希望的点就是他要主动的去找老年人聊天，而不是让老年人陪着他聊天,基于行为的分析,9
11,他跟小艾同学是不一样。它跟什么天猫精灵是不一样？,基于行为的先例,10
12,就比方说他觉得老年人坐在那坐了半个小时了，他适当的要上去聊天。,概念合成-行为,11
13,结构上？还是滚轮？耍轮子要走动。,概念合成-结构,8
14,比方说。距离传感器？等等等各种传感器。,概念合成-结构,8
15,健康陪伴针对糖尿病。它是有很大的问题在于它。血糖。血常规很容易超，比方说吃了一个西瓜血常规就超，然后就头晕，或者是长时间不吃。或者是。进食的血，碳水少了。它就很容易低血糖吃的多了就高血糖就这样一个情况。,基于功能的先例,1
16,这是第二个是饭前饭后要吃药，有个奶奶可能每天。也是每天要打胰岛素，它就是主打的是提醒。,基于功能的分析,15
17,也不一定是无人陪伴。中年人可能退休后。退休后。功能。因为我觉得长时间的提醒也是一种陪伴。,基于功能的评估,16
18,比方说他要打针。打针那个时候上面管子就是一个针怎么样插一下，然后就提醒什么什么，然后就通过屏幕上的一个什么给它可视化，是这样的一种方式。,概念合成-行为,16
19,时间提醒比方说早上早中晚的时候要吃,概念合成-功能,18
20,还有健康提醒。健康播报。,概念合成-功能,19
21,当时我奶奶绝天到晚就喜欢看吃什么水果降血糖！什么水果不能吃。,基于功能的先例,20
22,要有一个物理走动的过程。这样一个功能，其实这个功能上面那个有点类似，只不过是把这个糖尿病的东西堆上去,基于功能的评估,13;15
23,第三可能会补漏补一个。身体上比方说带锻炼，比方说在家里面打打羽毛球，打乒乓球吧。,基于功能的分析,0
24,针对比方说下肢。或者是又生一个什么其他比方下肢运动的下肢运动康复，或者是比方说打羽毛球有什么什么踢腿或者什么什么。,基于功能的分析,23
25,比方说我爷爷膝盖就很有一定的问题，比方说按摩膝盖,基于功能的先例,24
26,或者是。那也是一种陪伴，我们可以把陪伴这个词给他。,基于功能的评估,24
27,就上面说的下肢问题的发病史，然后。需要。修复或者叫什么？疗养的。这帮这些人，因为他下肢有问题，一定是不出去，经常不出去转的。,基于功能的分析,24
28,在家里面，比方说我现在我在想这个题目就在摇腿，可能帮他做的就是摇腿。,概念合成-功能,27
29,他可能有哪些？功能提醒！有一定的语言提醒。原提醒或者是叫任务提醒？包括这种什么什么什么怎么样让他带。白腿锻炼。,概念合成-行为,28
30,结构可能怎么有那种什么物理的。叫什么？也不是弹簧，就那种物理的什么什么什么机械结构？一些结构支撑。,概念合成-结构,28
31,第四个就是。我知道一个很骇人听闻的消息，比方说。老就是在日本吧，不是中国在日本老年人得艾滋病的概率是很大的，就是招嫖就是特别是死了老伴这样的一个情况。他去嫖他就去嫖。嫖出艾滋病出来有这样的情况，,基于功能的先例,0
32,这是一个真实的社会痛点，但是这个痛点往往是被。被盖住的蒙上了一个是不愿意谈及的话题，我觉得这是一个很真实的痛点。,基于功能的评估,31
33,那么我觉得这个东西我是觉得性需求是每个人都有的，那么这样一个情况，可能就是针对的这样一个老人物理心灵上得到满足，可能你在。人性，人性本身这样方面的一种满足。,基于功能的分析,32
34,比方说按摩机器人按摩。针对。全身按摩的？这样的一种理疗,概念合成-功能,33
35,就比方说我。我给我们家买了两三个什么。那个叫什么按摩椅那有的是那种半包裹型的，有的是那种你直接可以像床一样躺上去的那种。,基于功能的先例,34
36,但那种有一个问题就是。它有很多功能是老年人不会用的。,基于功能的评估,35
37,我之前很详细问过爷爷奶奶的问题，她的问题是什么？按摩比方说我奶奶觉得按的正好，我爷爷就觉得她痛，因为我也瘦，相对瘦一点，她的骨头什么的。女生可能我奶奶可能她会穿两一件内衣一件外面披的她是两件衣服。然后两头相对胖一些，可能他就。他可能相对胖一些，他可能要做的。可能他需要的按摩的就会可能要重一些。我爷爷可能瘦一些。因为夏天可能他就不穿衣服上去，那么就可能要轻一些，对于穿一些小细微的一些。,基于行为的先例,36
38,那么这样的话就是一个语音的语音调节功能。要是语音。全语音调节好了就不要让它按了,概念合成-功能,37
39,因为。之前是。包括有的时候我手机里面可以给他调，但是我不可能他来一次，我就手机上给他调一次,基于功能的先例,38
40,或者是那种。有一个类似遥控器氧的绑在。挂一根线那样的情况的按摩仪那话老年人不会用。它只会很非常的normal的模式，它其他的模式它不会。可能1万块的按摩仪它用起来就是2000块的，它就最最常规的那种。,基于功能的先例,36;38
41,反而我觉得语音条就会好一些。,基于功能的评估,38
42,那么结构的话可能就是这个。按摩椅结构。加语音模块。,概念合成-结构,35;41
43,般来说占地比较大的。花费比较贵的，比如2万块以上的。因为我爷奶奶是每天都会用，因为他觉得不用就亏了，他就真的会用。我问过他，我因为我监控上，我看过他们为什么？用了不用了，快半年就给我用坏了，因为他们天天每天都用，每天用四次。老年人两奶奶两次没用，很快就给我用坏。,基于行为的先例,35
44,那这样说明有效果，所以。我觉得他也可以算作陪伴,基于行为的评估,43;26
45,再想一个。叫什么叫元宇宙？娱乐。对娱乐机器人能新的一点。元宇宙娱乐点是什么？用户定义就是iphone爱玩的这帮人！,基于功能的分析,0
46,有时候我奶奶她喜欢集邮。那么我他说我今天要看集邮的相关的你就给我搜也好。,基于功能的先例,45
47,比方说我要集邮，那你就给我找一个中国集邮最厉害的一种纪录片或者什么。,概念合成-功能,46
48,什么什么是比方说谁不是前去年央美的之前的？说是中国设计第一人，那个张老张什么张张老师不是去世了，就他就是极有很强的。那么他就你就把他的纪录片放给我奶奶看,概念合成-功能,47
49,当然也会主动的提醒，就当时间长了，比方就有点像抖音一样。你看东西看的多了，他每天都会给你提醒。,概念合成-行为,45
50,因为我是这样，我爷爷奶奶他们刷抖音刷的很凶，一天可能刷好，就因为他没事儿做。,基于行为的先例,49
51,包括奶奶她会玩连连看一看我玩那个。电脑那天看游戏一天玩。,基于功能的先例,45
52,我们就可能跟这个有点类似，出现一些游戏出现一些什么,概念合成-功能,51
