节点编号,原文,设计行为,源节点
1,首先老年人视力不好。,基于功能的分析,0
2,如果是要跟机器人讲话感觉需要一个稍大屏，界面设计要大,概念合成-结构,1
3,或者要么主打情绪的传递，就是那种很拟人，主要沟通是语音,概念合成-功能,0
4,要么有那种界面的，那是大一点，可能会有更多传递一些健康图、或者是药品、或者是一些健康讯息,概念合成-功能,2
5,就有点像小电视,概念合成-结构,4
6,好像这种话可能老年人是会用一些基础的微信，就是一些健康信息可以在手机上看,基于行为的先例,3
7,机器人主打的是陪伴和提醒,基于功能的分析,6
8,第一个造型想到那种相框了，之前的那种相框。,基于结构的先例,5
9,大屏的话，类似相框那种。,概念合成-结构,8
10,感觉有点像小度,基于结构的先例,9
11,所以可以用类似小度的尺寸,概念合成-结构,10
12,兼具放视频，和家人视频语音的功能,概念合成-功能,11
13,有照片，可以用幻灯片播放照片,概念合成-功能,12；9
14,可能是那种综合型的,基于功能的评估,13；12；9
15,最好还是不要触屏。,概念合成-行为,14
16,老人也整不明白。,基于行为的评估,15
17,是主要以语音操作，屏幕可能下面有一个操作的按钮，可以关机，或者接听语音,概念合成-行为,16
18,拟人的话，可以比较小巧一点，可以拿着。,概念合成-结构,7
19,可以拿着到处走走。,概念合成-行为,18
20,有点像那种蔚来车载nomi的造型,基于结构的先例,19
21,它是小尺寸、圆润的、柔和材质、白色、浅粉浅蓝色这种,概念合成-结构,20
22,还可以拴在，挂在脖子上，或者拴在手上,概念合成-结构,21
23,不管城市还是农村都会有遛弯的习惯,基于功能的先例,22
24,"假如可以挂在脖子上，走着走着，机器人可以拿音响放音乐，可以路上聊会儿天, 和老人说一下步数、步速",概念合成-行为,22；23
25,这样的话是不是还会带自己原有的智能手环吗？,基于行为的分析,24
26,可以看能不能兼具，或者和智能手表联动,概念合成-功能,25
27,这样走路的话就和健康监测有关,基于功能的评估,26；24
28,第三个是动物化？小狗？,基于结构的分析,0
29,这么看有点奇怪,基于结构的评估,28
30,还是那种不大的，可以和装饰结合的,基于结构的分析,29；18
31,比如是手表的样式，这种小的，比如说可以把屏幕给翻起来,概念合成-结构,30
32,把屏幕给翻起来，抬抬手就可以聊天的,概念合成-行为,31
33,其实就是把智能手表怎么设置成一个健康助理,基于功能的分析,32；26
34,要有随身感、小巧、助手的感觉,概念合成-功能,33
35,这个拟人化的物品好像在市场上挺多了，要怎么突出它的不同？,基于功能的分析,3
36,视频的也挺多了，我在思考这个和小度相比有什么创新点？,基于功能的分析,2；10
37,一般的城市家庭，会放客厅或者卧室之间,基于行为的先例,36
38,第二个的创新点是有那种关节结构，做到身体灵动,概念合成-结构,35
39,有着球形承接环,概念合成-结构,38
40,有着隐藏屏幕，是投影在材质上的显示方式,概念合成-结构,39
41,可以有一些的标志动作，比如看到老人按时吃药时，要手舞足蹈，说奶奶/爷爷好棒等类似这种动作,概念合成-行为,38
42,模拟小孩的感觉,概念合成-行为,41
43,用小孩的人设，那对老人来讲也不会感到说教。,基于行为的评估,42
44,第一个我感觉可以更多的是体现专业，用医生的人设,概念合成-行为,36
45,这个我感觉可以录制家里小孩子的声音，还可以定制化一些动作,概念合成-行为,43
46,方案三做出小助手人设，把手表给拟人化,概念合成-行为,34
47,这个我觉得很适合爷爷,基于行为的评估,46
48,造型是小圆屏，或者是有倒角的圆矩形,概念合成-结构,47
49,参考智能手表的造型设计，但是形状上可以更亲和些,基于结构的分析,48
50,但是配色上可以稳重一些,基于结构的分析,49
51,可以增加这个的信赖感、可信度、专业,基于结构的评估,50
52,手表拟人化，可以加上日常的表情,概念合成-结构,46
53,除了加表情还有什么，可以体现拟人化呢？,基于结构的分析,46；52
54,屏幕是可以翻起来的，圆形，360度旋转,概念合成-结构,53
55,首先。功能增加对老人家身体锻炼和检测。,概念合成-功能,54
56,就像我爷爷他吃完饭就喜欢去骑自行车,基于行为的先例,55
57,是让老年人也遛弯和日常锻炼迈向专业化,基于功能的分析,56
58,这也不能有太多功能，更加强调机器人的人设,基于功能的评估,57；46
59,平时不用的时候，主要还是看时间,概念合成-行为,58
60,唤醒机器人才能去使用其他功能,概念合成-行为,59
61,让他感觉到这些功能是陪伴机器人带来的，不然的话和智能手表太像了,基于行为的评估,60
