节点编号,原文,设计行为,源节点
1,我拿到这个题目之后先拆解一下题目，就拿这个题目来说的话，他给我的一个限制的人群范围，首先是他的一个年龄范围是中老年人。,基于功能的分析,0
2,中老年人要看他面对的具体的年龄段。因为中老年人他年龄段不同的话，他的健康程度也不太一样,基于功能的分析,1
3,陪伴机器人需要分析中老年人到底是有没有独居的行为？,基于功能的分析,2
4,老年人独居的话，他老年人自己住，孩子不在身边，他没有孩子。那它这个东西的功能可能需要多一点。,基于功能的先例,3
5,如果是属于那种周末家庭的话，子女周末过来看他，这个陪伴的功能稍微可能会少一点，，然后注重一个交互和联系的功能,基于功能的先例,3
6,如果是一个完全。完全就是部分或者完全失能的中老年人的话。他的机器人可能更多的是一个解闷聊天的功能。,基于功能的先例,3
7,根据拆解的话，我们先面对三类人,基于功能的分析,4；5；6
8,第一类人是健康且非孤寡的老年人,基于功能的分析,5
9,然后第二类人群我们给他健康且独居的老年人。,基于功能的分析,4
10,第三类人我们给他一个是部分失能的中老年人。,基于功能的分析,6
11,然后就有了目标人群，下一步就是根据他的健康的状况来制定它的一个功能，它是两个类型，,基于功能的分析,8；9；10
12,第一个类型就是健康的。,基于功能的分析,11
13,这个里面是可以允许中老年人有部分的基础慢性疾病。,基于行为的分析,12
14,然后第二部分是部分失能,基于功能的分析,11
15,这个部分它有可能是在行走，或者是上肢活动上，或者是语言交流有部分障碍,基于行为的分析,14
16,这个第一类人的话，我们可以给他进一步的明确为他是具备独立生活能力的人。,基于功能的分析,12
17,然后第二部分是需要部分照料的人。,基于功能的分析,14
18,进一步说，第一类是有孩子的,基于功能的分析,8
19,第二类是没有孩子的,基于功能的分析,9
20,第三类对他来说，有没有孩子不重要，他是需要照顾,基于功能的分析,10
21,这样的我们可以对它们的功能进行一个排列组合,基于功能的分析,18；19；20
22,面对第一类人的话，我们是需要对他注重一个交流互动。,概念合成-功能,8；21；18
23,它可以跟家庭成员建立沟通网络,概念合成-行为,22
24,如果是为当下的老年人的话，这部分可能需要有一个初步的或一级，我们所谓的一级的医疗照护或者求助功能,概念合成-功能,23
25,如果是未来的老年人。也就是我们这代人变成老年人,基于功能的分析,24
26,他可能更需要他的娱乐功能或者是它的电子游戏功能可能更重要一点。,概念合成-功能,25
27,这部分人他有子女的话，他不太需要特别的医疗功能。,基于功能的评估,18；26
28,他主要关注的还是说建立一个有效的沟通，因为他可能就是在一段时间内，他可能见不到自己的孩子。,基于功能的分析,27
29,第二类的话，我们说就是失独老人。他没有孩子的情况下。他可能里面更多的是要建立一个。要给他一个模拟。模拟一下家庭成员的互动氛围,概念合成-功能,19；9；21
30,然后还有一个信息查阅功能和社区的沟通功能。,概念合成-功能,29
31,还有是否可以建立一个居家问诊这么一种形式，整合社区、医护上门的这种联络功能,概念合成-行为,30
