节点编号,原文,设计行为,源节点
1,首先想这个中老年人，他是比如说他老年人，他其实也有不同的类型,基于功能的分析,0
2,就有的他可能是在家里已经卧床不起了那种，也有可能他是那种什么活力，老年人他还是蛮有活力，就经常跳广场舞那种,基于功能的先例,1
3,首先是那种家里卧床不起的。那他可能是比如说是中风，或者是偏瘫，就这种类型的,基于功能的先例,2
4,那他可能就是需要机器人去做一些就帮他拿东西或者什么的,基于功能的分析,3
5,机器人可能需要有一些机械臂之类的结构，然后能够去拿东西，拿物品,概念合成-结构,4
6,第二就是他这种的话可能是一般来说不可能是自己一个人，会需要一个照料的人在他旁边,基于功能的先例,1
7,机器人就是可能和照料的人之间会有一些分工，分工协作,基于行为的分析,6
8,分工协作就是在一些拿东西，或者是料理家务，这样的任务里面。,基于行为的分析,7
9,那它分工协作的机制，那可能就是一些具体的设计细节。这个可以一会儿再细化,基于评估的分析,8
10,然后还有这种的话，他在床上嘛，他就需要一些护理相关的一些技能，就是比如说是把他搬起来，然后说或者是吃饭的时候让他就是。直起身来就是护理型的任务,基于功能的分析,3
12,然后第二个的话是就是一般的那种陪伴性吧，就是他可能没有什么身体上的疾病，可能有一些慢性病。,基于功能的先例,6
13,对于这种人的话。他可能就不是像第一类，有那么严重的病，,基于功能的评估,3，12
14,就是这个老人有一定的自理的，然后但是在有一些需要注意的地方，就比如说可能糖尿病人，他就需要控制每天的摄入糖的这种量，这种性质可能有一些专业性的病理知识,基于功能的先例,13
15,这一类的话还可以，因为它不需要太多就是可能搬运的一些这样的工作，没有说像第一类它需要就是很灵活的那种机械臂,基于结构的分析,5，14
16,第一类可以再定义，它是一个比较灵活的机器人，能够执行各种任务,概念合成-功能,5
17,第二类这个的话不需要那么灵活，可以执行一般那种任务,概念合成-功能,15
18,他不一定是一个要有手的机械臂，他可能就是一个类似那种夹子或者是什么，能够搬运一些物品。,概念合成-结构,17
19,然后的话，这类用户他可能就需要，比如说慢性病，他经常可能因为他病程比较长嘛，他来的时候可能会忘记去吃药，拿药以及日常的食物就是对日常的一些注意事项,基于功能的先例,12
20,第三类的话就是比较偏向于活力老年。这种的话就比较喜欢去社交，或者是有一些社交属性。,基于功能的先例,1
21,这机器人可能就是构建老年人和他的一些，比如说亲朋好友之间的一些联系。,基于功能的分析,20
22,他比如说他会有一些日常的活动，比如参加老年大学。或者是去什么跳广场舞。这样的一些日常活动，,基于功能的先例,21
23,那机器人就可以在他这个基础上去管理他的这些日程,基于功能的分析,22
24,提醒比如说他在学学了一些什么样的知识，然后机器人能够去在家里的时候，如果他需要的话可以去帮助他,概念合成-行为,22，23
25,比如说书画，他可能在家里练习，那机器人也可以在练习的时候到他旁边去，提醒他应该怎么做之类的,概念合成-行为,25
26,机器人应该首先要在线，他去搜索相关的一些内容,概念合成-结构,26
27,然后对于外观来说的话,基于结构的分析,0
28,第一个要有一个比较全的一个结构,基于结构的分析,27
29,就是它有机械臂，然后能够移动，然后有一个躯干，有上面显示屏,概念合成-结构,5，28
30,然后会让人感觉更加，怎么说，好像更加专业，外观上更加专业一些，像是医疗器械,基于结构的评估,29
31,然后在交互上的话更加灵活一些,基于行为的分析,7
32,他能够去和一些可以照顾老人的人去协作，然后完成任务，所以说他需要去在学的过程中。调整自己是调整自己的一些行为,概念合成-行为,7，31
33,交互上的话，好像在一个那种使用流程上面的比较好讲,基于行为的先例,32
34,拿物品、护理任务、简单的家务,概念合成-行为,33
