节点编号,原文,设计行为,源节点
1,在功能上我觉得。老年人肯定是更多的是需要陪伴。,基于功能的分析,0
2,要可以聊天,基于功能的分析,1
3,最好可以和。和子女建立某种沟通，可以和子女建立上联系,概念合成-功能,2
4,能够应对一些突发状况,基于功能的分析,1
5,会给老人提醒吃药我觉得。,概念合成-功能,4
6,老年人的痛点？,基于功能的分析,1
7,安全,基于功能的先例,6
8,陪伴，孤独,基于功能的先例,1，6
9,健康,基于功能的先例,5，6
10,社交,基于功能的先例,6
11,运动，生活爱好,基于功能的先例,6
12,安全的话可以给弄一个检测监测就比如说煤气呀,概念合成-功能,7
13,孤独就是，聊天ai与智能语音助手。,概念合成-功能,8
14,但是我又感觉这很没有意思，,基于功能的评估,13
15,所以就是能够和孙子、孙女互动的吧。过后孙子孙女互动的设备。,概念合成-功能,3，13
16,健康就是健康的话可以提醒有没有缺药,概念合成-功能,9
17,然后检测生命体征,概念合成-功能,16
18,"然后在这运动,运动的话。相对来说要比较柔和指导",概念合成-功能,11
19,痛点他们还有。呃，记忆啊，记忆力减弱。,基于功能的先例,6
20,然后生活上他们？帮助他们购买。,概念合成-功能,19
21,老年人的互动！可以是灯光动作、五感：眼睛、耳朵、嗅觉气味。,基于行为的分析,0
22,现有的，就是一个声音交互比如小爱同学,基于行为的先例,21
23,"但是要考虑一个问题，就是其实挺多老年人。不会讲普通话,或者说讲的不标准。",基于行为的先例,21
24,嗯，这个语音助手就很容易闹乌龙。或者说完全不理人。,基于行为的评估,22，23
25,能用脚灯光脚步的话灯光。智能灯光嘛可以,概念合成-行为,21
26,"也不是说自己可以控制自己家里面的灯光,智能家具？",基于行为的先例,25
27,物体动作可不可以和，比如说有配套的设备。配套的可穿戴设备，,概念合成-结构,21
28,然后动作可以和那个穿戴着配套可穿戴设备的人。比如说孙子孙女，动作同步，,概念合成-行为,"15,27"
29,这样就可以完成实现一个交流互动。,基于行为的评估,28
30,在气味上嗯，他们喜欢什么气体，什么气味老年人？老年人种花种草。,基于功能的分析,21
31,"嗯。做延伸吧，检测,检测花草。哦，前面不是提到那个兴趣圈子，兴趣的话花草。",基于功能的先例,30，11
32,老年人会有兴趣圈。以花会友，兴趣圈子那些。,概念合成-功能,31
33,机器人可以知道或者可以监测植物的状况。,概念合成-功能,32
34,在植物有疾病。或者有了异常情况的时候，用某种味道来提醒老年人。,概念合成-行为,30，33
35,外形，我就是结合上面的，结合前面提到的一个配套可穿戴设备的。那它的话，比如说手环它就可以要有一个。,概念合成-结构,28
36,那个有温度？是的，这样可以把体温传递哇，这个牛。握手体温传递,基于结构的评估,35
37,手指的话应该是不太行，成本太高了吧？,基于结构的评估,36
38,那换个材质换个材质贴合可以贴合手的呢？,基于结构的分析,37
39,比如说。嗯。有没有那种橡皮的？,概念合成-结构,38
