节点编号,原文,设计行为,源节点
1,那如果说是老年人的老年人的健康陪伴机器人，那可能我一下子会想到，呃，我比我有一点点了解，或者说我能想到的切入点呢，就是在老中老年人的慢性疾病。,基于功能的分析,0
2,可能因为慢性疾病可能已经是他很呃很威胁到他的那种健康，但是又没有呃急速发展的那些疾病，那么的引人注意，那然后而且这一部分的管理也还有挺多配套的。,基于功能的先例,1
3,那这个功能上就是针对于刚才说的那个慢性疾病管理这一部分也可以是说，嗯。再包括他的心理健康，其实可能也算是一部分，就我会先去来想在哪些方面上。嗯，有它的功能上的不同。嗯。再有能就是。嗯，我再想想看。,基于功能的分析,2
4,慢性疾病管理这一块，那首先是有它的监测日常体征的。监测，然后以及呃统计数据的统计。然后可能再包括他的那个什么指标的禁摩。然后再包括一些风险的预测。嗯，可能嗯用药提醒的呢？嗯，如果受伤是功能的话，我目前能想到的是这些，嗯。,概念合成-功能,3
5,然后那他如果说是慢慢性疾病管理的这一块，他还可以和。嗯，无论是社区医院。还是线上的医生？嗯，都可以产生。联系。产生也不是联系，这叫什么，反正就是呃形成系统之类的吧。临床管理系统。那可能看到他的指标出现什么问题之后，就，嗯，就可以在这一部分反馈到他对应的医院，或者说医生呃，来做进一步更专业的判断。,概念合成-功能,3
6,然后还有嗯可以接触到的人，就包括他的子女，因为机器人。就算是陪伴，但他也没有办法替代掉子女陪伴的这一部分，他可以作为和子女陪伴之间的这个联系的关系。嗯。那就可以把这些报告有选择性的发送给子女。,概念合成-行为,5
7,嗯，但这个部分可能也要注意一些嗯，老年人的态度。中老年或者说用户的态度。嗯，他可能会注意自己的隐私，也不不一定想要让自己的这些东西都嗯被告知给子女。,基于行为的分析,6
8,那就可以。嗯，在这个发送哪些，或者说是否发送上，可能是要征询这个用户的意见，但是说到这里，那其实又要去定一下他的用户到底是谁，,概念合成-行为,7
9,因为。如果中老年人作为这个机器人的使用者的话。那很有可能购买者和使用者。嗯，他是两个人群，购买者，可能是老年人，可能会存在这样的情况下。中中。那使用者可能是妻子女。,基于功能的分析,6；8
10,那如果我说这边。呃，会更看重于他的隐私保护的话，有的老年人可能一是不想让。子女那么担心，二是也是出于对自己的隐私保护，那可以有一个机制，就是他的那个发送机制。,概念合成-行为,8
11,在这个部分可能会涉及到的呃，多方那一个就是我们的购买者，一个就是使用者。那还有呃。医护方还有可能一些更加。呃，工艺。也不是说公益机构，但是可能会除了这些医护人员以外更大的。方面，呃，医医院方面或者说是这个社区方面，他们可能也会对这种整体的健康状况有一定的了解的需求。,概念合成-功能,5
12,那再来想想想看看呃，如果说落回机器人的话，嗯。机器人的话，那他的传感嗯，机器人。如果说要达到这种慢病管理相关的这种功能的话，那可能还是需要一些辅助的设备。，因为。监测指标的话，可能没有办法靠一个远离呃这个用户的人来去决定，,基于结构的分析,4
13,那所以这个辅助设备也是配套的.然后机器人。主要作为。中控。,概念合成-结构,12
14,这边是这作为这些可能这些辅助设备，嗯，携带在这个用户的使用者的身上，然后呢监测到了这些指标，然后那机器人这里可能。嗯。但这样它作为机器人的意义是什么呢？唱就是嗯，发送到这上面和发送到。,概念合成-结构,13
15,和发送到手机软件上的区别是什么呢？可能就是。嗯。对啊，他不跟手机软件的区分。想想想想他可能提现在哪？我我现在能想到的可能是呃，这个使用者他不一定有那么熟悉的，能运用到这些移动端，但是他学习机器人的一个学习成本可能也是同样的，只能说是那在机器人上能做的。嗯。能做的更适配一点，更适配于那个一点。,基于结构的评估,14
16,其实如果只是达到这个慢性慢病管理的功能的话，呃，我目前有点想不到它作为机器人的必要性在那儿，但是它如果和后面的心理健康，然后再包括，呃。我不知道这个要要要用什么专用专业的名词或者说什么名词来表示，那就是比方在老年人第一时间啊发生。一些意外呃，或者说需要帮助的时候，第一时间来出现什么的这种。功能性的辅助的机器人就是把这样的功能结合起来的话，可能它的必要会稍微高一点吧。,基于功能的评估,14；15
17,嗯，心理健康！这里主要就是在关注他的情感需求被。嗯，那可以怎样达到呢？,基于功能的分析,16
18,一是。机器人自己就作为这个互动的一方。嗯。对话，然后记录？呃，可以记录他的日常习惯。嗯，来辅助。提醒提醒。之类的。那可能会对他的嗯也可也可以，如果说是心理健康层面的话也可以。嗯。通过对话。来。我做判断。心理健康状况。嗯。然后再有就是这都是他作为机器人独立来完成的，,概念合成-行为,17
19,然后可能。也可以作为。没劲。现。歌。呃，子女或。亲。有的沟通。因为我之前有呃，这点是我之前有看到。一个什么样的设计有点想不起来了，但大概就是。哦哦，不是那是另外一个点哦，但呃先说一下那个那个大概就是。可能放入一些老物品还是说怎么样的触发的装置，那它会播放一段视频或者语音，是跟他之前的这些记忆有关的。,基于行为的先例,18；6
20,嗯。然后那这一点呢？那个是我记错这一点呢，可能就是在于。嗯嗯。就是有一些存储。语音。等等哦，而且现在不是有。呃，就类似于。车载语音。导航。对AI。入手也可以演将子女的。声音。录入行程。,基于功能的先例,19
21,子女输入一些文字啊，也不是输入一些文字阅读，读出一些语音，提供一些语音，然后那通过ai来将他的 这个AI的声声纹构建，那可能它就可以通过一个这样的形态和机器人来沟通，但其实是呃，就听起来的声音可能是像他子女，。,概念合成-功能,20
22,但这一点又觉得有点。有点恐怖嗯，问题可能在于。这不叫伦理，但是这叫什么，就是可能有点恐，也不叫恐怖。嗯。就是，反正有点奇怪吧，有点有点weird的，就不知道怎么说，如果有点像他的孩子已经死了，但是。嗯，不知道这个功能确实就是它是利大于弊还是弊大于利。,基于功能的评估,21
23,嗯，这一条其实刚刚想到他的，想到这个功能的时候是想说，呃，很多老中老年人都出现了一些心理问题，但是他们可能并不愿意承认，也并不愿意去面对，但是呃可以通过跟他的对话来把一些测试的问题或者说。呃，指标两表融入对话之中。,基于行为的先例,17
24,那如果它确实有存在着呃，比较大的风险的话，那也可能会可以会把这个报告。发送给子女,概念合成-行为,23
25,如果能更早的意识到这件事的话，也会对后面的。治疗或者说康复有一定的帮助吧？,基于行为的评估,24
26,生活辅助那从小的方面上来说可以。嗯，帮助完成一些。超过了老年人或者说老年人因为。有老年人。生理功能退化。,基于功能的分析,2
27,嗯，比如传真。然后或者是？有什么老年人不好做？那半重物之类的吧，那这是日常方面。,概念合成-功能,26
28,我叔。特殊情况的话。嗯。在发生意外。嗯，提供付出。这可能就是不是辅助了吧？提供救助，但救助也很奇怪。,概念合成-功能,26
29,然后如摔的？嗯。那在那个。也不叫监测，也不叫检测，可能有一些预判。嗯，通过通过它对可能通过机器人的呃传感器能对这个整个环境。,概念合成-结构,28
30,这个好像感觉是更多的是在UI。呃，以及它辅助的那个配套的这些其他的硬件设备上有一些呃需求。那心里的这个它就落在机器人上哦，那这个可能就需要它的形态。更。怎么说更让老年人更容易接受？,基于结构的分析,29
31,那我又在想有没有可能定制的话？定制成。喜欢的样子或者子女的样子。但是这里又要。避免一。你不。因为如果是熟悉的人的话。哦，那这种效应可能会更加。,基于结构的分析,30；21
32,而且会不会很奇怪，反正就是有可可以有选择。啊，总之是让他更。这总之是定制成让他更喜欢，更能接受，呃，更能敞开心扉的样子。,基于结构的评估,31
33,我不知道辅助设备要怎么和机器人结合，想得到的就是如果说真的他和他结合的话，那机器人也要像那种智能药盒的药盒一样起到提醒或者说怎样的作用,概念合成-行为,30
34,那呃心理健康这个倒是还挺好想象的，因为好像虽然说陪伴老年人的。机器人并不多，但是可以参考陪伴小孩就是以小孩的那种感觉，老年人和小孩在这部分的需求嗯，应该是有一些共同之处的。,基于行为的先例,17
35,但是实现的方式主要是讲这个他机器人的实现方式，就首先是他的那个外观，呃是要让他易于接受，嗯，接下来是在他的。这个声音上就感觉都可以更个性化，定制化一点吧。,基于结构的分析,34；32；21
36,细碎的功能就是。这些记录他的日常习惯来为他的这些呃东西进行提醒，那时不时的和他产生对话和沟通和交流，呃，然后再来判断他的情感不是情感状态，心理状态是不是健康的，需不需要？呃生。或者说是就是药物的这种干涉，这可能是我想到性健康这个方案。,概念合成-行为,34
37,这是生活机器人一点那他？嗯，虽然也要考虑外观，但是它的外观让人接受就不是最重要的点了，,基于结构的评估,26
38,能帮助老年人做到哪些实际的操作？嗯，会决定了它的外观长成什么样子，就是它可能更从功能出发一点，然后那它的。也会需要它有一些更丰富的传感器，无论是温度，湿度，嗯，距离。嗯，目前啊光就是这类的都要。都要那个比较灵敏一点就可以判断出，然后在包括空气中分析成分呢？这是什么传感器？,概念合成-结构,36
39,就可以为他？预知或者说感知到或者说预测得到一些风险，嗯，比方说燃气网关什么的，然后呢，把这些通过语音的方式再来反馈出来，或者说直接去解决掉，把这些那个问题解决掉。嗯。,概念合成-行为,38
40, 嗯，回过头来想再想想第一个吧，嗯！他和机器人的关系的话。哦，我有点想，我有点想到，如果说他的这个目的性这么明确的话，那他就可以是一个小医生或者是小护士的形象。那这样可能也会更有说服力。,基于结构的评估,33
41,哦，有因为我突然想到很多人他可能那个血压呃就是高血压的要量血压。,基于功能的先例,1
42,血压计听诊器。就是反正种种种种这种疾病，然后再包括测测血糖的，或者说有高血糖，要打胰岛素的这些东西。他都还挺复杂，挺那个杂乱的，如果呃就是规制的不好还是怎么样也是很麻烦的，,基于功能的先例,41
43,如果他如果说这个方案就是非常单独的，不和其他的结合在一起的话，那他就可以做的。嗯，就是更就是完完全是偏向。这种医护方向的，那从形象上，然后从这个功能器械上就是用来整合这些东西,基于结构的分析,42；40
44,就是零部件组装一样的。啊，模块化设计嘛应该是。模块化设计出这一整个机器人的不同的部件，比方说这个人呢，他是有心脏病。呃，有高血压，有血糖就有高血糖的，那他可可能这个手臂这边一打开就是个血压机，就相当于是护士在骂他量血压这样，但是如果他没有这个疾病，那他这个手臂这里可以配备的是其他针对其他模块。,概念合成-结构,43
