节点编号,原文,设计行为,源节点
1,我首先想到的是，中老年的身体生理的行为,基于行为的分析,0
2,居住没有年轻人的陪伴，如果他们会在一些突然生病什么的可能就需要去能够及时的告知年轻人,基于功能的分析,1
3,我想的是给年轻人进行一些健康监测提示,概念合成-功能,2
4,然后其实我觉得这种机器人市面上还挺多的，比如说一些苹果手表它其实都可以做,基于功能的先例,3
5,所以我觉得突破点的话可能就是需要一个快捷的告知,概念合成-功能,4
6,或者是可以给老年人更多的一些情感方面的一些关怀,基于功能的分析,0;5
7,因为我之前有过类似方面的一个想法，然后我们当时我们组做的是一个类似于挂历的一个东西,基于结构的先例,6
8,因为当时是有一个姐妹说他的爷爷奶奶就是年纪比较大了，他们不会使用手机、电子产品,基于行为的先例,7
9,我就我们就想着可不可以从他们日常中比较能够频繁使用的一些东西，然后作为一个媒介，可以对它进行一个改造,基于行为的分析,8
10,告知他的一些子女，他的一些健康或者是情感的一个需要,概念合成-功能,9
11,第一个就是从日常老年人日常会接触的频繁使用的一些物件,基于行为的分析,9
12,想的是那种电磁的挂历，它可以它是一个类似于台本一样的，就是可以放在桌面上，然后显示今天的日期,概念合成-结构,11
13,然后它同时下面也会跟手上的一些手表什么的进行一个联动，然后就是把手表把数据同步给这个挂例，然后因为它每天都会去接触会去看，所以就是比较方便的去告知他的子女,概念合成-功能,12
14,第二个是如果从陪伴方面的话。我可能会想到宠物。因为现在我们社会上就是养动物的一些家庭会越来越多,基于行为的分析,0
15,我身边有很多那些中老年人，他们如果是独居或者是没有年轻人住在一起的话，他们经常会去养一些猫猫或者狗狗什么的去陪伴他们,基于行为的先例,14
16,然后我觉得从外观上来看的话，可以做成那种类似于猫狗的一些或者是鸟有很多老年人他都喜欢养鸟，就是这些比较小型的一些从外观上进行,基于结构的分析,15
17,具体的一个功能的话，我觉得可以动物的一个习性来进行一个思考！就比如说狗的话，它可能会经常需要去遛什么的，然后猫需要是需要那种求抚摸,基于功能的分析,16
18,猫型的那种机器人，你抚摸它的话，那猫可能会有一些。那种交互的一些反馈之类的,概念合成-行为,17
19,然后鸟的话可以就是做成那种。比如说老年人，他现在想听一曲二胡，然后他就可以跟鸟进行一个对话，就其实类似于那种小爱同学,概念合成-行为,17
20,进行一个语音的交互，然后去丰富他们的一些闲的时光吧,概念合成-功能,19
21,都是第一个是需要子女去进行关怀，第二个的话是机器去关怀,基于功能的分析,"3,14"
22,第三个的话我想从老年人他们之间去进行一个关怀。老年人他们经常会喜欢去跳广场舞或者相约去打麻将打牌什么的。他们也会有自己的一个社交的小圈子,基于行为的分析,21
23,"因为我家楼下就是一个小公园，然后每天晚上都会有很多,老年人他们在？那里跳广场舞，然后他们那边我们公园是分了三块，一个是跳交际舞，然后一个是广场舞还有一个是篮球场，但是那些阿姨们也喜欢把篮球场占领",基于功能的先例,22
24,然后那些年轻人他们就没有可以运动的地方，我当时就可能会想到。因为跳广场舞这些休闲的行为是他们很需要的，因为他们平时可能没有上班什么的，需要就是生活的一些丰富,基于功能的分析,23
25,在空闲时间的一些运动锻炼对他们来说还是挺重要的，就是一方面可以丰富他们的社交，一方面对他们的身心健康也很有好处,基于功能的分析,24
26,将一些志同道合的中老年人去进行一个合理规划的一个东西,概念合成-功能,23;25
27,感觉偏向于那种软件,概念合成-结构,26
28,我一开始想的是将他们的那些活动去分类，然后他们去他们自己去选择比如说几点到几点我有空，然后他们去进行一个集合报名然后在相应的一个指定的区域去进行集会活动,概念合成-行为,23;26;27
29,后面的话我觉得也可以从他们的同伴的，作为一个突破点，就比如说他们打牌。然后可以做一些新式的那个创新，比如说麻将桌他是有那种自动麻将、下象棋、五子棋,概念合成-功能,28
30,不一样的桌面的一些游戏活动集为一体，比如说一个多功能的桌子里面有很多的那种娱乐的项目,概念合成-功能,29
31,他们可以选择，比如说我想要打牌，那我就选择打牌,概念合成-行为,30
32,广场舞然后太极什么的？他们可能会有一些道具、系统的服装，然后手上的一些扇子可以从他们的一些道具上去进行一个创新,概念合成-结构,24
33,两个队员跳广场舞的时候，然后他们两个手上的一些扇子去进行互动会有一些特效产生,概念合成-行为,32
34,刚刚讲的大部分都是老年相关的一些创新一些想法。从健康上看，健康相关的产品还挺多了,基于功能的先例,3;22
35,然后我现在能想到的是一些。中老年人他们可能会有一些多多少少都会有身身上有一些毛病，然后他们可能就比如说高血糖之类的，然后他们需要经常的去给自己去进行一个健康监测,基于行为的先例,34
36,我奶奶她经常她每她经常要用那个血糖仪器去记录自己的血糖，然后用那个笔和纸给他记录下来,基于行为的先例,35
37,比如说血糖仪她可以自动记录血糖，根据跟软件去联动，数据同步到子女的一些设备上可以方便他们去了解,概念合成-功能,36
38,有一些比较明显的异常的话，进行一个提示自动拨打他们的电话,概念合成-功能,37
39,刚刚是偏健康方面的一些想法，从陪伴角度再讲的话跟家里人的一些聊天互动之类的,概念合成-功能,35
40,老年人今天比如说心情好，或者是不好。参考那个APP，它有一个就是表情，你每天选择一个表情，记录下来用表情代表你今天一天的心情。,概念合成-行为,39
41,我想挂历上的话也可以显示一些，比较方便的一目了然的。老年人的一些心情或者是状态。这样的话能够比较快速的去同步给他的家属,基于结构的评估,12
42,我外公他喜欢自己拉二胡就是自娱自乐的活动，他认识了很多上那些老年大学的人,基于功能的先例,41
43,我认为就是可以类似于广播录音机之类的媒介，教这些中老年人戏曲、二胡，一些教学就可以在广播上去进行播放,概念合成-功能,42
44,我外公他是买了那种也是买了那种播音机，然后需要自己去。自己去下载一些伴奏，或者是其他歌曲之类的，然后他自己就弄不来,基于行为的先例,43
45,我觉得也可以做一些，也是通过语音的方式做一个教学的机器人,概念合成-功能,44
46,因为我们年轻人学习的话可能会上网多一些，他们的话就是网上的信息比较复杂，然后他们可能也难免会花更多的时间去了解这些信息就是需要很高的学习成本。如果能降低这个学习门槛的话，我觉得对他们的一个爱好的学习来说也是比较方便的,基于功能的评估,45
47,我再想一想，比如说今天写的一个心情是差，那他可能会直接去给子女去进行。短信或者是语音语音的拨号。让子女去了解到这些信息,概念合成-行为,13
48,因为很多老年人他们在生病的时候，有时候他们会比较喜欢忍着，不想让子女担心,基于功能的先例,47
49,可以是通过子女端去进行一个控制。就是可以不告知这个老年人这个情况，然后老年人如果就是有一些心情上的一些反馈的话，他其实是不知道子女会知道这样,概念合成-行为,48
50,第二个陪伴的话，比如说鸟它会在老人就是喝茶或者打牌的时候去唱歌或者是播报一些信息之类的去。主要是从他们的情调方面就是陶冶他们的情操,概念合成-功能,19
51,第三个的话是他们的共同的娱乐和社交方面的。可以想从他们的一个。娱乐活动和社交活动上去进行去给他们一个更好的体验,基于行为的分析,22
52,"通过语音觉得也可以通过那种简单的触控方式,现在老年人的话让他们做一些简单的一些操作，他们也是可以接受",概念合成-结构,51
53,比较明显的分类，然后字比较大，然后用用图文结合的方式。可以去让他们更加快速的找到自己想要的信息,概念合成-结构,52
54,不过还是语音更好一些，考虑到有一些老年人，他们可能老花眼之类的。我觉得加个语音的还是比较好,概念合成-功能,53
55,智能药盒就去提醒。病人比如说他要吃三颗药，然后他还剩下两颗药，然后没吃什么时候吃之类的去进行一个智能提醒，,概念合成-功能,54
56,然后我觉得这个也可以跟智能药盒去进行整合,基于功能的分析,55
57,因为测血糖的话肯定也会要吃那种降血糖的一些药。所以我想血糖仪也可以带有药物,概念合成-结构,56
58,说到血糖之类的话。因为那些。中老年人他们比如说。他们需要定期去进行一个复检，就比如说高血糖的话，然后有时候。子女他们可能因为工作太忙，就忘记了，或者是没有时间去。这个时候需要去进行一个提醒,基于行为的先例,57
59,我想的是我们现在是通过手表去进行一些血糖的一些。健康体征的监测，老年人他们可能不太习惯带手表这些东西,概念合成-功能,58
60,可以将手表作为他的材质或者是造型。不需要兼备手表的功能。可以把它改进为一个就比如说手镯，但是它这个手镯里面就是具备的监测。监测你体征的一些功能，但是手镯就是符合老年人的一些喜好他们的一个习惯之类的，让他们平时也乐意去带着东西,概念合成-结构,9;59
61,可以加一些就比如说定位之类的一个小功能。,概念合成-功能,60
62,"因为老年人他们不怎么看手机,还喜欢去外面乱晃，然后家里人有时候都还挺担心他的。我觉得就是有这个东西，能够让家里人更加安心一点",基于功能的评估,61
