节点编号,原文,设计行为,源节点
1,方案一功能上应该比较有趣，,基于功能的分析,0
2,可以满足老年人的心理需求，且具有同理心,基于功能的分析,1
3,外观上拟人化设计但为了防止恐怖谷效应，拟人化程度不会太高，会做的可爱一点,基于结构的分析,2
4,界面设计和交互上界面不能太复杂,基于行为的分析,3
5,否则老年人使用起来会比较困难，且存在较高的认知负荷,基于行为的评估,4
6,因此，应该用最直观且高效的布局方式,概念合成-行为,5
7,交互上也可以使用比较自然的语音交互,概念合成-行为,4;5;6
8,方案二，外观上做的不一样的，可以做的拟兽化,基于结构的分析,0
9,比如像小动物，做的可爱一点,概念合成-结构,3;8
10,可能老年人接受度才会更高,基于结构的评估,9
11,在行为上可能要考虑人的这个使用习惯,基于行为的分析,10
12,比如说这个遇到一些隐私场景的话，那比如说老年人在有一些隐私场景上，比如说，比如说要要要脱上衣啊什么的,基于行为的先例,11
13,因为这个机器人他可能可能会带摄像头，,基于行为的分析,12
14,可能就是碰到这种情况下。它可以自动的，就是转过头去,概念合成-行为,13
15,就是考虑这种这种。这种一个行为方式。就更加符合人的这个使用习惯,基于行为的评估,11;14
16,这就是交互方式上，就他肢体动作上的考虑,基于行为的评估,14;15
17,然后这个界面交互应该一样的，就是用这个自然交互,基于行为的分析,7;8
18,也可以考虑多通道的交互,基于行为的分析,17
19,比如说语音和手势集合。我手势应该用起来比较麻烦,基于行为的评估,18
20,应该以语音交互为主,概念合成-行为,19
21,尺寸的话。剩的话应该也不会特别大,基于结构的分析,8
22,放桌面上应该就行了吧,概念合成-结构,21
23,这种应该会走吗？不会走吧？但也，但是但是如果说可能的话，这个让他可以这个行走会比较好,基于行为的分析,22
24,可以让他在房间里边移动,概念合成-行为,23
25,甚至可以有那种可以伸缩可以收纳的。机械臂一样,概念合成-结构,24
26,可以帮老人送东西，比如说送个水，送个什么遥控器什么的,概念合成-行为,25
27,结构上可以有一些新的功能。,基于结构的评估,24;25;26
28,第三个，第三个就可以长得不那么像人,基于结构的分析,0
29,外观上。它可能会稍微科幻一点点,基于结构的分析,28
30,可能会比较偏几何一点。他可能不会特别像人,基于结构的分析,29
31,就可能会像一个车。看上去就是一个装置，但是它同样还是有界面的,概念合成-结构,28;29;30
32,就是一个大屏幕一样，上面可以平时的话。可能会有两个眼睛，就他不一定会有五官，可能就有两个眼睛就够了。,概念合成-结构,31
33,就他平时跟人互动的时候。他这个眼睛可能会有这种反应,概念合成-行为,32
34,他在听老人说话的时候。在做出现一些回应的时候，他表情可能会有变化，他表情会是不一样的。,概念合成-行为,33;32
35,他在进行什么操作，他在听老人说话，机器人在思考的时候，他的面部表情都会有相应的提示,概念合成-行为,34
36,他的不同的状态。都会实时的反馈给老人,概念合成-行为,35
37,透明度会高一点，就老人可能会在操作上。可能会更加的易于理解,基于行为的评估,31;36
38,然后色彩上，也可以考虑，因为老人，就陪伴使用的，是不是色彩上可以稍微的，不一定只是什么黑白灰，这种体验什么科技感。,基于结构的分析,29
39,就它可以也是。色彩上可以多一点色彩。,概念合成-结构,38
40,有一些亮色。也会比较好。,基于结构的评估,39
41,结构的话，它就是那种。他不一定像人行走那样，,基于结构的分析,28
42,他可能就主要是就跟扫地机器人一样，他可能就是那种轮子为主。,基于结构的先例,41
43,他因为一般来说，在家里边用家里边这种场景也不会特别复杂，一般来说也都是平地，那可能就是不会需要像人一样那种。,基于结构的先例,42
44,那种行走的那种结构，那种成本也比较高。,基于结构的评估,43
45,考虑到这种使用情境以及老人的需求的话，就他日常的移动的这种结构。它可能下面就是一种那种轮子。,概念合成-结构,44
46,然后再遇到，比如说可能有地毯，这种高一点的时候可能可以稍微升起来一点。就可以了。,概念合成-结构,45
47,简单一点，这种结构，因为功能也本身不是特别复杂，,基于结构的分析,46
48,主要在家里边他也不会天天这个动来动去，也不会说这个地形很复杂，所以说简单一点。这种结果就可以了。,基于结构的评估,47
49,第二个方案，固定放置为主，不需要导出移动？,概念合成-结构,8;24;48
50,主要功能还是陪伴，提供情绪价值，娱乐等丰富老年人的生活和精神世界,基于功能的分析,27
51,第三个方案补充，类似车，同时配备可收缩的机械臂这种装置，,概念合成-结构,31;50
52,方便为老年人抓取，送东西，因为老人腿脚不好,基于功能的评估,51
53,还有加下方案二新功能，可以考虑有提醒功能  ,基于功能的分析,8;52
54,比如XX东西放哪了，都可以问机器人,概念合成-功能,53
55,老年人的记忆力不好，,基于行为的分析,54
56,腿脚不好之外，记忆力也不好,基于行为的分析,52;55
57,如果机器人有相应功能可以解决相应问题会比较好，主要还是更多是从他的需求跟他的人群特征出发吧,基于功能的评估,56
