节点编号,原文,设计行为,源节点
1,首先我们觉得可以把重点放在陪伴这个点上，因为许多机器人都兼具了健康检测这样的一个功能，,基于功能的分析,0.0
2,但是有一些机器人，他们在陪伴老人的时候。这些老人会感到比较别扭，会觉得他们和人有的外形，无论是外形上还是行为上和真正的人还是有较大的差异的,基于结构的分析,1.0
3,在产品的设计外观上我觉得可以。以一种更加贴人化的方式来设计,基于结构的分析,2.0
4,一些普通的机器人不能实现的功能。比如说他在和老年人握手的时候可以像中医一样有把脉，来检测他的脉象，通过脉象的平稳程度检测老年人的心率,基于功能的分析,1.0
5,这样就不需要用到一些特殊的仪器，也可以替代医生的作用。同时机器人它还可以给老人提供心理方面的健康一些需求,基于功能的评估,4.0
6,老人最缺少的我觉得是陪伴，因为子女都比较忙，在外面工作,基于功能的分析,0.0
7,可以实现另一个功能，起到一个子女的作用,基于功能的分析,6.0
8,同时机器人我还希望它可以做饭,概念合成-功能,7.0
9,老年人行动不便，在上厕所方面等一般比较不好的需要人陪。,基于功能的先例,7.0
10,它还可以扶老人上下楼梯、洗衣做饭,概念合成-行为,9.0
11,行为上不要太过于机械化，太机械化会让人觉得有一种很生硬的感觉,概念合成-结构,10.0
12,但机器人太过于太像人是一件很恐怖的事,基于结构的评估,11.0
13,给老人按摩,概念合成-功能,7.0
14,因为很多老人有那种痛风或者是腰间盘突出,基于功能的先例,13.0
15,根据老人的需求可以做成老人喜欢的类型,基于结构的分析,3.0
16,有一些老人，他们丧失了子女的那种可以把机器人做成偏向于子女的外貌形状，这样起到一个心理慰藉的作用,基于结构的分析,15.0
17,行为上模拟有你熟悉的子女或者逝去的另一半,概念合成-行为,16.0
18,结构上，可以是动物、人类、植物样貌的,概念合成-结构,17.0
19,比如机械狗就是可以跟随主人；小鸟就是小型的飞行机器人，可以监测老人的日常出行及行为举止,概念合成-功能,18.0
20,可以在发生意外时报警或通知子女,概念合成-功能,19.0
21,中医把脉机器人可以监测日常心率等疾病,概念合成-功能,4.0
22,义子就比较专注于陪伴、日常唠嗑、讲故事、下棋,概念合成-功能,7.0
23,可以寻求技术支撑，比如医疗检测技术等,概念合成-功能,4.0
24,可以起到情感寄托作用,基于功能的评估,16.0
25,变成小车，载着老年人出行,概念合成-功能,22.0
26,首先第一个方案，可以做成一只可以随身跟着老年人的类似于飞行器的仿生机器人，是小鸟的形状,概念合成-结构,19.0
27,监测老年人他们的面部表情。或者是一些生活中的行为动作，然后通过检测到的数据上传到医疗方面的系统，通过系统进行分析，可以得出老年人他们目前的心理健康状况以及身体健康状况,概念合成-功能,26.0
28,但是这样的一个机器人，它有一定的局限性。它体积太小。功能有限。只能起到跟随检测的作用,基于功能的评估,27.0
29,另一种陪伴机器人，很正常的机器人比较相似的仿人的外形，和人差不多的身高,概念合成-结构,15.0
30,它又可以分为两类。老人比较喜欢的事物或者是子女,概念合成-结构,29.0
31,假如中老年人，他们的子女已经去世了,基于功能的先例,30.0
32,那么就可以把机器人。改装成失去子女的样貌，或者是模拟那些子女的言行，只要起到一个缓解老年人孤独的作用，也算是心理慰藉,概念合成-结构,31.0
33,第三个方案，我认为这个健康陪伴机器人，它可以引入中医的一些功能，比如说中医的穴位按摩，帮助老年人缓解腰腿痛、颈椎病等等,概念合成-功能,21.0
34,中医把脉通过机器人和老年人握手，然后检测他们的脉象平稳程度，以此来判断老年人当下的身体健康状况,概念合成-行为,33.0
35,其他的一些比较基础的功能了，比如陪伴他们给老年人做家务，还有和老年人聊天等等,概念合成-功能,34.0
36,这个小车，它可以像电影里面很炫酷的变机器人它可以变身成小车,概念合成-结构,25.0
37,坐的轮椅或者是小车，给老年人带着他们上街买菜，或者逛街什么的,概念合成-功能,36.0
38,因为现在许多老人腿脚不好，不能长时间走路走一会儿就得歇一下,基于功能的先例,37.0
39,还有一种方案。机器人的外形不一定非要做成仿人形的，它还可以做成动物型或者是植物样貌,基于结构的分析,18.0
40,比如老人，他非常喜欢一种植物就可以做成那种植物的样子，放在家里也是类似于监测那种功能吧,概念合成-功能,39.0
41,做成植物样貌的话。局限性感觉比较大，因为如果它会动的话给人感觉很奇怪,基于结构的评估,40.0
42,做成动物一样，猫比如说像一只小狗，它会随时随地的跟着主人，会逗主人开心,概念合成-功能,41.0
43,那个小鸟仿生机器人它可以实现像信鸽帮老年人传递信息物品的功能,概念合成-功能,39.0
44,一些身体有残疾的老年人或者是腿脚不便的老年人，他们出行不方便就可以把一些任务交给小鸟让它帮助递送一些东西给子女或者是邻居其他的伙伴,概念合成-行为,43.0
45,这样实现一个空间的交流。同时这些机器人它还可以把面部的屏幕做成类似于电脑，手机等可以视频通话的东西，老年人想要和谁通话，就可以直接吩咐给机器人,概念合成-功能,44.0
