节点编号,原文,设计行为,源节点
1,第一个是针对老年失智症，阿尔兹海默症的患者设计的一款机器人,基于功能的分析,0
2,阿尔兹海默症处于一个记忆混乱有偏差，行为单一，认知错误,基于功能的先例,1
3,认知错误就是记不清，对应不上物品和姓名,基于功能的先例,2
4,针对这行为，然后这款机器人它是有一个大大显示屏,概念合成-结构,3
5,可以在家家里面到处移动，四处移动,概念合成-功能,3
6,就是在这个的基础上面，它可以针对老年人认知错误，为老年人，为患者规划一条，规划多条吧，在家里面在家中规划多条路线,概念合成-行为,4;5
7,这就是针对老年人经常不知道自己要去哪，然后也找不到路的话,基于行为的分析,6
8,他就是可以规划大多条，对于失智症患者来说比较有趣的路线，通过它显示屏，增加失智症患者对一些物品认知的一些路线,概念合成-行为,7
9,它可以在它的显示屏上面出现简单物品及其拼音、姓名，比如像那种什么？苹果，然后家里的简单物品，什么椅子？,概念合成-行为,8;4
10,它通过他四处移动来为患者在家中规划多条有趣的路线,概念合成-行为,9;5
11,可以使其跟着机器人行走，从而增强记忆力，增强对家中空间的记忆力、人的记忆力,基于行为的评估,10
12,而不是漫无目的的游走，增加起那种可以感觉到有趣，反正就是一种这样的状态。,基于行为的评估,10
13,然后显示屏的功能就是在上面有那种简单的物品及其拼音名字等等，他就是在让他行走的这个过程中面中给他一些这样的物品提示，然后有可能这个物品会对应某一空间,概念合成-行为,9
14,比如说厨房这一空间，比如说厨房里面会出现那种什么？炒菜的锅这种图案以及它的姓名,概念合成-行为,13
15,然后增加他对整个家庭的一个记忆力，用这个方式来训练,基于行为的评估,14
16,一是可以让失智症的老人，他的心里不会像现在一样，整个就是毫无目的，不会有那种什么患得患失的那种感受。先给他增加增强他的记忆,基于行为的评估,15
17,"然后二是因为在失智症的时候，它是还没达到阿兹海默症的那种严重的程度的话，可以提前训练他的行为,不对是训练他脑子，他的一个脑力活动。干预造成阿兹海默症的结果",基于行为的评估,15
18,前面提到的人群的特点还要加一个漫无目的的游走,基于功能的分析,2
19,人群要约束为阿尔兹海默症早期,基于功能的评估,1
20,然后第二个的话现在的社会主要是老年人孤独的问题吧，孤独感上升的问题,基于功能的分析,0
21,然后针对老年人孤独感上升的问题，现在是可能有的方案都是家庭陪伴机器人。,基于功能的先例,20
22,现在的问题是，现在目前市场上老年人的状态就在养老院，疗养院，有护工等,基于功能的先例,21
23,这个问题是，不是亲人的陪伴，,基于功能的评估,22;21
24,如果我要设计一款家庭陪伴机器人，它是增强与亲人间的互动。,基于功能的分析,23
25,第一点就是类似于像那种影像,概念合成-功能,24
26,比如说一个立体虚拟影像,概念合成-功能,25
27,第二点就是一个声音、语言,概念合成-功能,24
28,语言吧，比如说方言之类的，然后加亲人音色,概念合成-功能,27
29,通过以上两点，机器人收集了亲人的一些什么语言，说话方式，然后立体虚拟影像等。他就可以通过机器人来和老人形成一种互动关系,概念合成-行为,26;28
30,"也可以记录一下老年人在互动中存在的一些问题和故事,故事就是记录时光",概念合成-功能,23
31,问题就是提早发现疾病预防疾病,基于功能的分析,30
32,他这个机器人的目的是这样子,基于功能的评估,32
33,有了这两点之后，他可能并不是非常的需要大屏幕，不需要移动,基于行为的分析,30;24
34,"然后再想第三个，中老年人的健康陪伴机器人,好，针对中年人",基于功能的分析,0
35,因为目前社会的趋势，不婚族上升，导致现在许多中年人都处于一种单身状态,基于行为的先例,34
36,然后同时有一些中年人，他又想要有陪伴，但是他又不想结婚也不想谈恋爱，养宠物是最好的选择,基于功能的先例,35
37,养宠物的话，又对宠物的毛，什么东西过敏，又不想管他的随地大小便。吃喝拉撒这种东西,基于行为的先例,36
38,或者是他有可能是工作太忙，没有时间打理真正的宠物,基于行为的先例,37
39,就会设计一款家庭陪伴机器人，它就是一个宠物陪伴机器人,概念合成-功能,38
40,"会是一款可爱形象,他的可爱的形象可以选择可爱形象，多种动物造型，简单造型。",概念合成-结构,39
41,脸上有一个屏幕，小屏幕,概念合成-结构,40
42,屏幕会呈现情绪，然后来向主人来表达生气、快乐悲伤这种情绪,概念合成-行为,41
43,就有点像是那种电子宠物，电子宠物时现实化,基于功能的评估,42
44,如果这个中年人他是一个人住的话，这个电子宠物他可能会有一种预警功能,概念合成-功能,39
45,比如说什么单身的女性遇到在家里面遇到危险的时候她可以起到一个直接连通警署的作用，遇险时报警,概念合成-行为,44
46,他可能也可以监测自然地震这种自然灾害，然后提前预警这个样子,概念合成-行为,44
47,同时它可能还会有一个摄像功能,概念合成-功能,44
48,这个就是一般家里有可能会有的,基于功能的评估,47
49,但是它可能是一个移动的摄像功能。,概念合成-功能,48
50,目的就是对单身中年人进行陪伴，增加提供情绪价值，同时也还会提前预警，遇险时报警提供安全情绪,基于功能的分析,49;44
51,可移动摄像可以再家中有陌生人时监测录像,概念合成-行为,45;49
52,第四个是正常对老年人的健康监测机器,基于功能的分析,0
53,正常的针对多病患者，什么高血压、糖尿病，或者是心脏病？,基于功能的分析,52
54,或者是那种疫情结束后，肺不好的老年人,基于功能的分析,53
55,老年人健康机器管家可能是主体机，再加上穿戴式设备,概念合成-结构,54
56,穿戴式设备监测老年人身体讯号，向主体机发射信息,概念合成-功能,55
57,主体机接收信息，数据呈现。,概念合成-功能,57
58,穿戴式设备第二点就是调整身体状态,概念合成-功能,55
59,那还是人群不要糖尿病了,基于功能的评估,58;53
60,"例如供氧气等,那相对应的主体机的第二点就是可以调节仪器功能数值大小，如调节氧气量",概念合成-行为,58
61,然后以此目的是平常不用去医院，在家调整身体状况，然后监测健康数据，同时也提前预防紧急状况，像猝死这种,基于功能的评估,60
