节点编号,原文,设计行为,源节点
1,健康它会有跟身体健康相关的，然后会有跟心理健康相关的,基于功能的分析,0
2,心理情况可能会更偏向于陪伴型的机器人；生理健康可能会更偏向于跟疾病功能相关的机器人,基于功能的分析,1
3,中老年人的比较常见的疾病会有腿脚，心脏。算是老年病吧,基于功能的先例,1
4,如果说是健康陪护的机器人，还有一类的话，可能会更偏向于阿尔茨海默症,基于功能的先例,3
5,然后老年人还有什么会比较健康问题,基于功能的分析,4
6,我想像我身边的老年人。还有一类老年人有看到过失明,基于功能的先例,5
7,健康陪护算医院健康陪护吗，那先放着。这个可能会更偏向于引导项目。,基于功能的先例,6
8,心理健康我之前。之前有去。养老院调研的时候心理健康。有几部分的问题就是老年人一个临终关怀,基于功能的先例,1
9,然后孤独陪伴，考虑外形形态,基于结构的分析,8
10,形态上的会更偏向于动物的形态吧,概念合成-结构,9
11,猫狗，它的外表最好毛茸茸的那种。会给人一种比较亲切的感觉,概念合成-结构,10
12,不会像因为机器人它本身会更加的冷静，现在的机器人比较多的是那种金属、偏机械的那种结构，然后感觉那种机器人会比较没有感情,基于结构的先例,11
13,对于老年人的话，感觉那种。非人形态的动物形态的可能会让人感觉更舒服一点，然后也会更加有陪伴感一点，,基于结构的评估,12
14,还有形态，其实我很喜欢的是大白。因为之前看到过一个机器人的舞台剧，然后大白是一种圆滚滚的的那种形态,基于结构的先例,9
15,它这个形态就是圆圆的，然后是动物毛茸茸的形态，可能都会让人觉得更加好接触一点,基于结构的评估,11;14
16,会更多有电子器皿的那种感觉？有可能对这些。比较机械科技的东西没有像年轻人接触就这么多。科技感更强，对他们来说吸引力会更强,概念合成-结构,15
17,孤独陪伴如果去做一个细化的功能，老年人什么时候会更加孤独？我其实会有一个点还挺让我觉得挺好，之前日本。日本的一些。日本的一些。就是日本他们会很有礼貌，然后但是有一个有一句话就是他们每次出门的时候就会说我出门了，然后家里人会跟你说什么就是注意安全或者怎么样，然后你回来的时候我会说，我回来了,基于功能的先例,9
18,如果说是偏孤独陪伴的，老人肯定是居家养老的，这样的一个老年人出门。还有可能会有一些天气。因为有些老人会有痛风什么的,基于功能的先例,17
19,比较有点像我们他会去取代一部分的子女的身份。这边可能会更多的以对话的形态,概念合成-功能,18
20,它的声音它也不能是新闻联播的电视剧。可能会更倾向于儿孙的声音,概念合成-结构,19
21,会有点像家庭成员的感觉。他可能会更适用的是有一些居家的和空巢老人吧！,基于功能的评估,19
22,因为很多空巢的人感觉他们会养一些宠物，其实有也有在一部分是取代子孙的这样的位置吧,基于功能的先例,21
23,但是。一部分的宠物它没有办法去做健康的监护，对老人来说，它只能起到一个陪伴的作用，那如果说机器人的话，他最好是在情感上，它是可以去取代这个宠物的角色的，但是在功能上他又可以去。又可以去给老人的日常的一些生理健康去提供一些帮助,基于功能的分析,22
24,像这边的帮助可能。就比较多的是因为像回家的这种出门的一些对话，其实狗狗猫咪他们其实也会去绕着老人去转，或者是叫。,基于功能的先例,19;23
25,像天气痛风这些的影响。如果是空巢老人的话，像这些宠物是无法去提供的,基于功能的评估,24
26,如果说有这样一个机器人的话，会有一部分工作，他是去承担的，有点像一个家庭的医生、子女,概念合成-功能,25
27,像可能更多的会老年人可能会需要按时吃药，我感觉他们可能记不住，因为我自己也记不住。可能会需要提醒。,基于功能的先例,26
28,我觉得吃药也不知道能不能去设计一下，因为不知道他们在吃药这边会不会有什么比较麻烦的点，之前看到的一些产品设计是会去做一周的药盒,基于功能的先例,27
29,对于阿尔茨海默症的老人，形态可以不是机器人的形态，可以是一个很便捷式的。带在身上。或者戴在耳朵上？反正就是跟一个助听器一样的东西。可以在看到人的时候给他做一个提醒,概念合成-结构,28
30,因为主要考虑的是我感觉。还是一个偏居家的老人,基于功能的分析,18;29
31,临终关怀的话是一般是养老院或者是什么中心？这些还是偏居家？因为感觉居家他很大的一个问题。他遇到了。是很难身边的人是很难发现的，除非你有保姆。这样的话感觉,基于功能的先例,30
32,我觉得不可以像那种路上跑的机器人，最好是携带的。,概念合成-行为,31
33,我感觉他是见到了一个新、老伙伴来家里做客，它会有外出交流的需求,基于功能的评估,32
34,携带是个比较重要的点。然后放在耳边会更好一点，因为它可以它直接提醒,概念合成-功能,32;33
35,但是这个功能好像之前有看到过有些产品做这个功能。但是他做的一个功能，说我可能看到了孙子，我就跟你说这是你们的孙子巴拉的就感觉还是挺生硬的,基于功能的先例,34
