节点编号,原文,设计行为,源节点
1,功能的一部分，如果想针对这些进行创新的话。觉得可以考虑第一个它是自动化的。,基于功能的分析,0.0
2,这样子的话，可以让老年人在中老年人在日常的生活中，被这样的机器人去监测到一些健康问题,基于功能的分析,1.0
3,提前预防紧急情况，提前预警,概念合成-功能,2.0
4,自动供水的、不跟随,概念合成-功能,3.0
5,结构上我会觉得稍微大一点的东西。让老年人看到他们，然后他们自己也比较方便去检测，因为比较大的话。它内部可以装的一些传感器也比较多,基于结构的分析,2.0
6,它的造型比较柔和。它体积不需要很大，它只需要能够陪伴就行,概念合成-结构,5.0
7,平时可能需要的关怀的状况。他们可能更多的是想要子女去和他们说话或者是说和他们交流,基于功能的先例,0.0
8,这样一个陪伴的机器人，他可以是一个具有语音交流功能同时它可以有情绪的显示,概念合成-功能,7.0
9,这个显示可以是在它的自己的一个显示屏上，也可以是说在它配备的一个什么装置上，比如说平板之类的,概念合成-结构,8.0
10,它既然是一个健康的，它肯定同样的也是需要有一些提醒功能，比如说像提醒老年人需要吃药之类的。或者是有一些子女来帮他们界定的事情,概念合成-行为,0.0
11,他的语音交流或可以增加更多的音色或者是说情绪？让他更加的感受到关怀,概念合成-功能,10.0
12,是这样一个陪伴的机器人，让老年人觉得它不是一个机器。更把它当成一个类似于宠物或者是说家人的来看待它,基于功能的评估,11.0
13,那我觉得可以考虑让这个机器人具有一定的自主能力，比如说它会自动检测到老年人在的时候能够主动的跟他们对话,概念合成-功能,12.0
14,还有别的比较创新的方案。其实还可以把它做成一个类似于大型的手机,概念合成-结构,0.0
15,因为平常和家里人老人对话的时候，他们其实会使用手机和他的子女进行一些线上的交流，比如说会通过、视频通话、发短信、发微信吧，发微信这种方式或者说打电话还有一些不太会的，就是打电话,基于行为的先例,13.0
16,对于他们来说，哪怕是老年机或者智能机都存在一些问题，他比较小。当然也可以用平板或者电脑去解决了。,基于行为的分析,14.0
17,有比较智能的像电脑一机器人。能够去帮助他们和子女进行交流去帮助他们，更加简便的和子女进行一些视频通话，语音通话,概念合成-功能,15.0
18,它可能就是在结构上。它是有一个很大的屏幕，可能长得像电脑。不太一样的是它可以语音对话。是老年人的另外一台手机一样。像苹果的siri一样,概念合成-结构,16.0
19,屏幕可以转动，所以是捕捉老年人的定位。他可能也需要一些健康监测、还是健康问答！,概念合成-结构,17.0
20,老年人也是有自己的圈子的，他们会有自己的朋友，像是在社区里面会有朋友,基于功能的先例,15.0
21,但是很多老年人可能因为行动不便。然后不太方便出门，他们可能碰不到一块儿，他们其实想一起玩。,基于行为的分析,20.0
22,其实可以针对这样的一个老年人社群？去想一个能够不仅做到是陪伴和健康！也可以说把其他人的一个陪伴和健陪伴或者说想要交流的这样一个情绪能够传递给他的,概念合成-功能,21.0
23,同时他们也是具有这样一个语音模块。然后能去和老年人进行交流。,概念合成-行为,22.0
24,亲人那朋友如果想要找他们的话。觉得可能是语音的提醒、包括指示灯的显示,概念合成-结构,23.0
25,它的一个结构。多点交互上面一个很大的灯。,概念合成-结构,24.0
26,如果那个灯亮了老年人可以拍一拍吗？相当于是给他一个反馈。灯亮了，就是代表有人找他！拍的话就代表再去反馈给对方说我收到了,概念合成-行为,25.0
27,当然可能没有直接语音和视频那么直接，但是也挺好玩的,基于功能的评估,26.0
28,感觉这个方案它更多的是说。可以考虑去针对这样一个群体，而不是个人可以把机器人的陪伴作为转化为真正的人对他们的陪伴说通过机器来表现,基于功能的评估,0.0
29,我觉得这些都是一些偏向于陪伴化的，那如果是针对健康的话是。可以考虑从健康角度出发，提到健康除了健康监测以外。更多的是需要考虑老年人吃药的问题,基于功能的分析,0.0
30,如果考虑吃药的问题，其实会有很多老年人，他们都忘记自己的吃药时间,基于功能的先例,29.0
31,机器人它里面是能够分隔储存药物的。它相当于是个储存药物的东西,概念合成-功能,30.0
32,它是分隔储存药物。它还需要有一个让老年人记得吃的事儿，它需要有一个提醒功能,概念合成-功能,31.0
33,除了提醒功能以外，它还需要定量。那如果分隔药物它是分隔药物储存药物的话，其实可以考虑是定量储存药物。它可能一个药物存放在a区,概念合成-功能,32.0
34,现在的这种机器其实已经能够做到按几个去计算的了,基于功能的先例,33.0
35,除了提醒之外的话，需要把药物递给老人，那如果这样一个机器中间有一个类似于。药物升降机的东西电梯一样。或者像扭蛋机一样，或者是说出那种各种糖之类的,概念合成-功能,32.0
36,也怕机器出问题，那同样的它下面还可以有一个。存放备用药物的地方的橱柜，那可能这个。就是手给手动拉开。它一定是要非常容易手动拉开的。大概是这样,概念合成-行为,35.0
37,他肯定也是需要有一个跟随功能，又不能让老年人还往他那儿去。其实也可以不用跟随人往那一站，他扫描出来是这个人了，然后就要给他吃药,概念合成-功能,30.0
38,考虑到结构的问题。比较符合手部的人际工程学，有抽屉。然后下半以抽屉为分隔线，在上半部分就是刚刚提到的一个可自主提供药物装置。下半部分的话就可以是它的一个行走的一个装置，也可以使它一些存放储存放电池电源还有一些传感器的地方,概念合成-结构,37.0

