节点编号,原文,设计行为,源节点
1,中老人主要有学习的，包括思维、身体技能的下降,基于功能的分析,0
2,从身体技能下降的话，健康主要是包括病感染。身体的检查。,基于功能的分析,1
3,还有一些紧急情况。,基于功能的分析,2
4,机器人它可以有人形。也可以非人形基本上就是一个Ai的。,基于结构的分析,0
5,这种慢性病需要的一个提醒的话。按时吃药。,概念合成-功能,2
6,药物就包括药品。可以。需要有时间。时间上放在前面也有。时间。,概念合成-功能,5
7,它的一个形态。我可以是。造型的话，因为涉及到识别的话可能找穿戴设备。,基于结构的分析,4
8,戴个眼镜。,概念合成-结构,7
9,就会比较方便对老年人。他的行动,基于结构的评估,8
10,功能的话主要。可以为他识别一些药物的不定时提醒他吃药。,概念合成-功能,5
11,现有产品不一样，那眼镜也给它不一样，像。可以放在。挂耳朵上的那种？这是。挂在耳朵上的一个机器设备,概念合成-结构,7;8
12,第二个体体检机器人的话，他可能。它可以实现功能可以更多一些。,基于功能的分析,0
13,如果要抽血，让他也来可能也会。,概念合成-功能,12
14,它可以是它的造型，那它可以是一个固定的设备，就比如说你把手。,概念合成-结构,13
15,像血压计一样。中间有。装的都没有。伸手的手臂。,基于结构的先例,14
16,他可以有。检测更多，比如说。把内部走进去之后血压记录的就。,概念合成-行为,15
17,的一个方法基本上就是造型的话，造型。原来就是跟桌面面的一个。放置在桌面。,概念合成-结构,12
18,检测什么项目，你这个手臂要？要用一个什么样的姿态？它就会智能地对你抽取,概念合成-行为,17;13
19,像紧急状况，对于一些紧急状况，比如说它有一些像心脏病。摔倒一个一些情况，然后这种情况。,基于功能的分析,12
20,那它一个造型，那它肯定是一个跟踪的造型就是一个无人机。,概念合成-结构,19
21,他应该随时跟踪,概念合成-功能,20
22,或者说你直接是穿戴的设备,概念合成-结构,7;19
23,不行，我还我是觉得无人机。他或许可以实现更多的东西。更多的功能,基于结构的评估,22
24,那个小型的无人机，他可能。底下会有一个？底下会有一个机械手。有一个全角度的一个摄像头。,概念合成-结构,20
25,比如说老人发生突发的疾病的情况，心脏病，呼吸疾病，然后摔倒，这种情况下他可以。通过摄像头发现。然后第一时间去拨打12就是远程连线？,概念合成-功能,24;19
26,你就然后第二个就是他可以。他可以通过自己一个是无人机，他可以在屋子里面去特定的地方找到特定的药。,概念合成-功能,23
27,手臂的还有机械臂的话就可以喂药。,概念合成-功能,23
28,它承重方面的话，比如说你要给水。把沉重。严重就有限度，它的无人机不能很小的。,基于结构的分析,23
29,你看可以是这样，可以是一整套系统,概念合成-结构,28
30,他可以。比如说。室内的有个摄像。有摄像头。检测到了这里面摔倒了还是脏病还是有突发疾病？,概念合成-行为,29
31,然后他会从特定的装置里面，家里放一个消防设备一样，那种一个小盒子。有方盒子里面就是飞出机器飞出无人机飞出,概念合成-行为,30;26
32,方案三它就是个人形。人情的这些人，他的外观。物理这种形象一般来说女性的形象。,概念合成-结构,0
33,对于突发情况的下，他可以扶起老人,概念合成-功能,32
34,有些可能老人面部朝地，然后像这种无人机他就不能。就不能实现不能帮到翻身什么，然后这种人形那就可以,基于结构的评估,32;20
35,就还有足够的力量，他就可以老是翻身，翻个身，然后可以背下来到床上,概念合成-功能,33
36,那像这种机器人的话，那他的紧急状况的。功能就全都包括了这种提醒的功能,概念合成-功能,33;5
37,身体检测的功能，他的手臂可以有不同的。他可替换的手臂，他手臂替换一下就会就可以有不同的功能。,概念合成-结构,36
38,可以有阉割版？然后。给自己买不同，根据不同的需求去做一些。,概念合成-功能,37
39,心理健康。它可以是机械，宠物，机器宠物。,基于功能的分析,32
40,机器宠物然后他们会说话的。,概念合成-功能,39
41,除了他可能不能。帮助到了单身急救这些。可能它比较难实现来说，一个。上述的像提醒的功能。这都能做到,概念合成-功能,36
42,他可能还是面部有一些卡通的表情吧，卡通的表情。那不一定，你要有具体动物的。,概念合成-结构,39
43,像老人有些老年人会他们会跳舞，或者说会有一些乐器。会有一些乐器演奏。会去学一些乐器，他就可以在旁边伴舞。可以放一些伴奏音响。,概念合成-行为,39
44,而心理方面的话，那他还跟子女的。跟子女的可是？视频聊天,概念合成-功能,39
