节点编号,原文,设计行为,源节点
1,从用户来说，需要聚焦一下具体的年龄，他可能分好几种，可能是45到55，然后55到65，65到75,基于功能的分析,0
2,他可能不同的年龄段会有不同的需求,基于功能的分析,1
3,另外就是性别，男性和女性的老年人可能有区别,基于功能的分析,0
4,产品定位是一个健康陪伴的机器。所以我觉得可以分两点，一点都是健康，另外一点是陪伴比如说这老年人还比较孤独，然后的话那个子女都不在旁边，他需要一个陪伴，类似于那种宠物的感觉,基于功能的分析,0
5,他主要是作为一个感情的一个支撑，或者就是这个陪伴是一个身边将会使用的东西。比如说我们平时用的那个手机,基于功能的分析,4
6,眼镜，手环，我觉得也可以作为一个陪伴。或者说一些有纪念意义的东西。我戴眼镜也算是一种陪伴,基于功能的先例,5
7,就他这个陪伴，其实我觉得应该。要区分一下是一个感情的陪伴，还是一个就是我身边经常会使用的东西,基于功能的分析,6
8,还有就是个机器人啊！那么就是可能会对现有的机器人。进行赋能。如果说像日本做那种，我觉得有点太俗了,基于功能的分析,0
9,我们的一个产品定位就是机器人，会有一些技术的赋能,基于结构的分析,8
10,它是老年人情感方面的一个支撑。其实我觉得宠物倒是可以作为一个出发点，因为宠物作为它这个情感赋能来说的话，它是一个比较好的选择,基于功能的先例,5
11,但是呢现有的宠物狗吧，它有点就是太普通了,基于功能的评估,10
12,我想通过这个现有的这个宠物狗上进行迭代。来做宠物机器人，如何赋能,基于功能的分析,11
13,然后另外就是它有健康的属性,基于功能的分析,4
14,我还注意到一点就是有的老年男性，他可能有几个特点，比如说他喜欢钓鱼、遛鸟,基于功能的先例,3
15,比如去做一个鸟，不能做那种太形式、具象的可能。所以的话我们还需要做一个功能上的附加,基于功能的分析,14
16,就先拿钓鱼来说，可以从鱼竿下手,基于结构的分析,14
17,现在鱼竿是伸缩的塑料。然后上面有一些鱼线，鱼食,基于结构的先例,16
18,让它的感应变得更智能,概念合成-结构,17
19,这种东西我觉得首先我们满足第一点就是我们是新产品，第二我们满足他是一个机器人,基于结构的分析,16
20,这老头喜欢钓鱼，他甚至是可能是钓鱼的时间比他在家的时间长，所以我们也满足他的陪伴。,基于功能的先例,19
21,因为你既然在户外待着，从肯定是比什么在家天天打麻将的老头健康一点吧，所以我觉得我们这个健康属性也勉强可以占,基于功能的评估,20
22,么这个鱼竿怎么更智能，可以比如说让它的这个端点会有一些这个测量水质的能力是吧，这个根据不同的水质去判断有哪些鱼，鱼的大小啊,概念合成-功能,19
23,有的天气啊，这个鱼的这个习性还不一样，比如说夏天。他那个鱼就喜欢在那个水面上呆着。喜欢在那个水水深的地方待着，或者在那个岸边那个有阴影的地方待着，那么冬天的时候，他们就会喜欢在那个有阳光的地方或者比较暖和地方待着，所以的话其实它也可以提供一个根据天气或者使用场景去推荐,基于功能的先例,22
24,可能下面会有一些跟手机联动是吧，辅助钓鱼的一些方式啊，比如说AR探头那种摄像头。就告诉你这鱼这个这个水下有没有鱼,概念合成-功能,23
25,很多那种钓友的一些联动比如说你可以去在上面做分享、pk。比如说我今天钓多少鱼,概念合成-功能,20
26,其实它这个陪伴属性也有了,基于功能的评估,25
27,健康比如说这个，会记录你今天又出去玩多久啊？那你今天从拿起这个杆一共经历了多长时间？作为记录你的这个能力、消耗卡路里等,概念合成-功能,13
28,手握住是不是可以测一些心跳啊！把一些手环的功能加进去，健康的一个基本测量,概念合成-功能,27
29,测量睡眠质量，那肯定不现实,基于功能的评估,28
