节点编号,原文,设计行为,源节点
1,I'm going to go and think about what the existing product has in mind and search for it.,基于功能的分析,0
2,So what is the definition of a new product?,基于功能的分析,1
3,"The most likely product is a humanoid robot, which may be a simple humanoid with some simple prompts.",基于结构的先例,1
4,"The landing on the market these may be more than it gets to that question is it going to go one? the actual landing, say it's a contest of conceptual products, I'll put a question mark",基于功能的分析,0
5,"I think from a landing perspective, it could be a humanoid robot with some simple cues.",基于功能的先例,4
6,"But if you do it from a game concept, it has a lot of this existing companionship, but it is mainly a human protagonist, with various characters and then various auxiliary functions.",基于功能的先例,4
7,"For example, what kind of medication should I take? What kind of emergency alert should I take?",基于功能的先例,6
8,"In addition to health, he may have an accompanying process, he may have an emotional dimension, how to express it.",基于功能的分析,7
9,"So our new program, where is it new?",基于功能的分析,8
10,"First of all, I think it can have a sub-mother body design.",概念合成-结构,9
11,"The design of the mother body, as it were. Or the design of the A plus B, as it were, could at least bridge some of the gaps with the single companion robots already on the market.",基于结构的评估,10;5
12,"And again, from this functional point of view, from the emotional dimension, I think that the most basic thing is to humanize.",基于功能的分析,11
13,How can it be that it is based on existing rejuvenation and that it increases his emotional dimension?,基于功能的分析,12
14,It may be that it is necessary to do it from an interactive level.,基于行为的分析,13
15,"The first is the interactive dimension, which is based on our smart car, our electric car.",基于行为的先例,14
16,"What is he doing? When you're driving, you normally call him by his name when you call him, but you can set his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nickname, his nick",基于行为的先例,15
17,"My husband has changed her nickname to my niece's name, and every time I get in the car, I'm going to get her.",基于行为的先例,16
18,"I think it's also a process of emotional interaction, based on this car at home.",基于行为的评估,17
19,"I think that in terms of function, the middle-aged person is his health companion. First of all, what is his so-called health and companionship dimension?",基于功能的分析,0
20,"I think that if we talk about health, I think there's an idea of making a new product that is specifically targeted at different types of diseases.",基于功能的分析,19
21,"This is what I think is a common, rather useful approach. In the generalized perspective, you go to a specific perspective, and that's where you might develop something that's good to do.",基于功能的评估,20
