节点编号,原文,设计行为,源节点
1,"If it was a health robot for the elderly, I might have thought, well, I know a little bit more than I do, or maybe the point of entry I can think of is chronic diseases in the elderly.",基于功能的分析,0
2,"Perhaps because chronic illness may already be a serious threat to his health, but not a rapidly developing disease, then and there management of this part is also quite accompanied.",基于功能的先例,1
3,"That function is the needle for the chronic disease management part that I just mentioned, and that can be said, well, including his mental health, which may actually be a part, I'll think about what aspects first.",基于功能的分析,2
4,"This part of chronic disease management, it has its daily monitoring symptoms first; monitoring, then statistics of kidney statistics; then maybe including his what-ifs; then maybe including some risk predictions; maybe taking medication reminders; maybe if the injury is functional, these are the ones I can think of right now; maybe.",概念合成-功能,3
5,"And then if he says that this is the chronic disease management part, he can also go to the ─ oh, it's either the community hospital ─ or the online doctor. ─ Oh, it can be a ─ connection, or a ─ no connection, what's that called, it's a kind of a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a -- a",概念合成-功能,3
6,"And then there are the people that he can contact, including his children, because even if it's an escort, he can't replace that part of the child's escort, he can act as a link between him and the child's escort.",概念合成-行为,5
7,"Well, this section may also be about some of the things that you, the elderly, are aware of. The middle-aged person or the user's attitude. Well, he may be concerned about his privacy and may not want to let his children know about his privacy.",基于行为的分析,6
8,"It's okay, well, what you're sending, or whether you're sending, is probably to ask the user's opinion, but here, it's really about who the user is, and what the user is doing.",概念合成-行为,7
9,"Because if the middle-aged person is the user of the robot, then it is very likely that the buyer and the user are the same. Well, he is two groups of people, the buyer, probably the elderly, there may be such a situation.",基于功能的分析,6;8
10,"If I say that this side of the world, ""Oh, he'll put more emphasis on his privacy protection"", some elderly people may either not want to let their children worry, or they may be afraid to protect their own privacy, so there can be a mechanism, his sending mechanism.",概念合成-行为,8
11,"In this part of the world, there may be a lot of people involved, one of them is our buyers, one of them is the users. There are also people. There may be more people involved in healthcare. There may be more people involved in healthcare. There may be more people involved in healthcare. There may be more people involved in healthcare.",概念合成-功能,5
12,"And then think about it again, if you go back to the robot, well, well, well, well, well. The robot, his sensory organ, the robot. If you want to achieve this kind of disease management function, you might need some auxiliary equipment.",基于结构的分析,4
13,The robot is then used as a secondary controller.,概念合成-结构,12
14,"This side is this as these might be these assistive devices, the pump, carried on the user's body, and then this monitored these indicators, and then that robot here might be... but so what is its meaning as a robot?",概念合成-结构,13
15,"What's the difference between sending a mobile phone software and sending it to a mobile phone? Maybe it's. Yeah, he doesn't know the difference between mobile phone software. Just think about where he might be referring to.",基于结构的评估,14
16,"In fact, if it were just to achieve this function of managing chronic disease, well, I don't think it's a bit necessary for robots at the moment, but if it's with mental health behind it, then it's included, well. I don't know what specific professional term or what term that is meant to mean, it's like the first time in the elderly.",基于功能的评估,14;15
17,The main thing here is to focus on his emotional needs.,基于功能的分析,16
18,The first is that the robot itself is a party to this interaction. The conversation is recorded. The robot can record his daily habits. The robot can help him. The robot can remind him.,概念合成-行为,17
19,"Then maybe it could also be used as a... no-brain... present... song... mother... child.. or.. parent.. some communication.. because I have a brain before, this is something I have seen before... a design that is a bit unthinkable, but probably...",基于行为的先例,18;6
20,"And then this? That's probably because, if I'm wrong, this is probably because, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, there's some stored voice, etc., and it's not there right now.",基于功能的先例,19
21,"The child enters some words, or enters some words, reads some voices, provides some voices, and then the AI constructs the voice pattern of his AI, so it may be able to communicate with the robot through such a form, but in fact it is a mouse, the sound heard may be like his child, and the AI will be able to communicate with the robot through this form.",概念合成-功能,20
