节点编号,原文,设计行为,源节点
1,"First of all, I want to understand the proposition, first of all, it says middle-aged people; then a robot with a healthy companion; then, if it is about robots, I think that some of the current technological trends, perhaps some of the technological capabilities related to this AI, can be applied to it.",基于功能的分析,0
2,"This is a thought I'm having right now, different from the existing product, which I might have thought about in my head first.",基于功能的分析,1
3,"And to be honest, I'm not sure that maybe some of the smart sounds that we have now are actually one of those machines that's more general.",基于功能的先例,2
4,"In other words, there may be some related healthcare software, which may be some more relevant products.",基于功能的先例,2
5,"I'll go back to the product, the target audience and the targeting.",基于功能的分析,1
6,"First of all it's able to provide some health, say, health support, like a diagnosis of some disease, then maybe some sort of treatment because the middle-aged population he may have some chronic disease.",基于功能的先例,5
7,And then there are some things like testing for some health emergencies.,基于功能的先例,5
8,"And the more central comparison is that he's going to provide a sense of companionship, maybe help some middle-aged people, make them feel less alone, or provide some emotional value.",基于功能的先例,5
9,These three things are probably what I can think of as some of the basic comparison functions that they provide.,基于功能的评估,6;7;8
10,"I'll think about it again, first of all, maybe I'll think about what I'm going to do with existing products and some of the needs and functions that I've envisioned. The first thing I'll think about is integrating the Internet of Things with some monitoring products.",概念合成-功能,9
11,"Then, for example, there are some health screening bracelets; then, perhaps, there are some smart cameras in the home; these other aids, plus a health companion robot terminal.",概念合成-结构,10
12,The core of this may be to provide a health and safety guarantee to some middle-aged groups.,概念合成-功能,11
13,"Can you think of anything else? Is this a scheme that is not so broad in its comparison, and I may not mention anything particularly different from it, I think again.",基于功能的评估,12
14,I'll look at health again. What other health needs do middle-aged people have?,基于功能的分析,9
15,"I then looked back and thought about this need, because I saw: perhaps the first diagnosis of the disease is the identification, and the treatment of the chronic disease.",基于功能的先例,6;14
16,"The existing healthcare software, that might make me think about what it's like to have a hospital or other healthcare system that's like this whole system.",基于功能的先例,15
17,"It is not just a hardware or software product, it is more oriented towards a complete service system.",概念合成-功能,16
18,"The core of it may be, through a guaranteed; or a hospital that the user uses or experiences on a daily basis; or another; or a place of health care; or to build a health profile of an individual, or a medical record, or to create a health care system that is more efficient and more effective.",概念合成-行为,17
19,The data is then put into an online database that can be used to open and record health data or medical data.,概念合成-行为,18
20,"The first is that the child is not a child of the government, but a child of the government, and that the government is not a government.",基于功能的分析,19
21,"And then, after that information is connected, or maybe in some cases, like in some other places, it can be used to ensure that some of that information is circulated and then to provide better health care. A health care system like the one in a city that provides health care to middle-aged people is more likely to be a little more important.",基于功能的评估,20
22,"And then because I feel like the first two options are probably more biased towards saying healthy, let's write down some of the differences between the two options.",基于功能的评估,21;13
23,"And that's probably the first solution, but it's more about providing detection and security through some smart devices.",基于功能的评估,13
24,"Secondly, it might be more of a link to health care, maybe a link to urban health care.",基于功能的评估,21
25,"Because there may be some people who are relatively healthy, like middle-aged people, who are relatively healthy, but who are not in the same situation as the elderly, and who are not in the same situation as the elderly.",基于功能的分析,23;24
26,"I think there might be another one. It's more about not testing for health issues, but about inspiring companion robots to develop healthy lifestyle habits.",概念合成-功能,25
27,"The word ""healthy"" is probably being used to talk to some middle-aged people about their, say, robot-guided healthy eating, healthy living, and how to live a healthy life.",概念合成-功能,26
28,There is also exercise!,概念合成-功能,26
29,The following are some of the ways to achieve this goal of companionship and health.,基于功能的评估,27;28
30,"The second may add another, say, the convenience of medical care in another country.",概念合成-功能,24
31,The elderly may not necessarily live in the same area all the time.,基于功能的先例,30
