节点编号,原文,设计行为,源节点
1,"First of all, the first solution. Give it a location, have a home-based companion robot?",基于功能的分析,0
2,"First, describe the product's positioning. Home products, it may come with something, first it may not be possible to achieve very specialized functions",概念合成-功能,1
3,"I'm talking about the medical aspect of it, like, in the medical field, it might be monitoring it somehow.",基于功能的先例,2
4,You can put a blood pressure monitor in here.,概念合成-功能,3
5,"And then there's the blood sugar, the oxygen.",概念合成-功能,4
6,"We can now do a collection of household items, blood pressure, blood sugar, blood oxygen - household items like this.",概念合成-功能,3;4;5
7,"The functional positioning is: │in the home, for me it might be more like designing something that is a companion.",基于功能的分析,2;6
8,The program is more focused on addressing the psychological needs of the elderly.,基于功能的分析,7
9,"Functionality. First of all, medical testing. The collection of large modules combined in a product machine, a robot.",基于功能的评估,8
10,The second is to focus on one companion.,基于功能的分析,1
11,"It may have some chat, real-time reminders, or wake-up calls.",概念合成-功能,10
12,This is a feature that it is likely to focus more on in this program.,基于功能的评估,11
13,"After this function is matched, it may be that there will be some specific design response on the product.",基于功能的分析,10;12
14,"This is a functional approach, and then we consider the actual needs of the user.",基于结构的分析,13
15,"First, the first humanized design, which is a little bit more humanized.",基于行为的分析,13;14
16,It may be a bit like the image we saw before.,基于结构的先例,15
17,"So the robot's image is similar to that of an astronaut, with a round head on top; it may be more humanoid.",概念合成-结构,16
18,The report also highlights the need for a more effective approach to the problem of elderly people.,基于结构的评估,17;10
19,The second thing is that the shape and feel is very concise.,基于结构的分析,13;15
20,But I'm not particularly good at saying this. Because I'm not sure if this is really aesthetically appropriate for older people.,基于结构的评估,19
21,"He said that the elderly see something, like the kind we like, like the kind of rice or the kind of trivial thing that is in the style of non-Indonesian products, the elderly will think it is too ordinary.",基于结构的先例,20
22,"For them, it may not be a real need. This is not a very good definition, but if it is, it may require a user study.",基于结构的评估,21
23,"They are also more likely to like something else. Red, red, green, green, then or rather interesting.",基于结构的先例,22
24,"The color of the color is not so much a color that is exaggerated, but that it is interesting.",基于结构的分析,23
