节点编号,原文,设计行为,源节点
1,The first is aimed at the elderly who live in empty homes.,基于功能的分析,0
2,The old man who lives in an empty nest house is characterized by a certain degree of autonomy.,基于功能的先例,1
3,"If he is not able to move, then his ability to move is okay, so he should be more healthy and have some help with his diet.",基于功能的分析,2
4,"In addition to the traditional conversation or playback, like some music shows, radio shows, etc., the game is also available in a variety of formats.",基于功能的先例,3
5,"The time-based system is like a reminder to take a pill and then eat, which can be combined with, say, eating on time.",概念合成-功能,3;4
6,"Then include some reminders on cooking, cooking process or ingredient composition, and composition.",概念合成-功能,5
7,"Because the elderly, he might say his memory or his judgment about something, and after middle age, there might be some problems, but he's not going to be able to do that.",基于功能的先例,6
8,"The robot is largely a command, a warning and a reminder.",基于功能的分析,2
9,"The basic function of the database is to collect and analyze the data, and then to monitor the health of the population.",基于功能的先例,8
10,"So, for example, these physiological data, such as blood pressure, heart rate, blood sugar, etc., indicators of health, etc. Then there are some blood oxygen levels, etc. These are probably things that the elderly person needs to be concerned about.",概念合成-功能,2
11,"So, in addition to these types of monitoring, there are also: I think that the elderly person, although he has the ability to act independently, is actually some kind of auxiliary action, for example, helping the elderly person to observe the indoor and outdoor road conditions.",基于功能的分析,2
12,"In fact, the so-called road conditions are, for example, if there are some thresholds in the house or some table legs etc. these things will remind the elderly, and then it is outside, then it will also help the elderly to judge some conditions of some roads, and then it will be the same thing.",概念合成-功能,11
13,"I also thought of it as a function, like an auxiliary crutch.",概念合成-结构,12
14,"Even the use of a crutch, etc., is actually a way for older people to move around.",基于结构的评估,13
15,"The first is the use of the word ""fun"" in the name of entertainment.",基于功能的分析,2
16,"So for example: │ some chess, some chess game│ Oh, and then, the elderly program, the elderly program etc.│",基于功能的分析,16
17,"Then finally, there are some basic ones, such as communication functions.",基于功能的分析,2
18,"From the perspective of the child, to help, to remotely set up some remote system through some app or some Bluetooth connection with the robot.",概念合成-行为,17
19,"So, what about health monitoring? Specifically, it should be that the robot itself has some health monitoring modules, such as heart rate, blood pressure, etc. Some of these physiological data monitor blood oxygenation, which the elderly can easily and most conveniently do by contacting the corresponding functional module of the robot. Then complete the corresponding health function, and then upload the data to the platform and upload it to the app, through the children and say some private doctors or community doctors, they have a corresponding one such connection, that function is technically probably the most basic.",概念合成-行为,9
20,"They have a corresponding connection through their children and, say, some private doctors or community doctors, which is probably functionally what the basic thing is.",概念合成-功能,19
21,"There is an app, then there is the community, the nurses, the doctors etc. There is a connection.",概念合成-结构,20
22,"So, if you look at the basic, then further down the road, you see the road conditions, and so on, and then there are some corresponding visual layers, some functions of machine vision and it's implemented in terms of voice alerts, some ways of getting information out to the road, and then you see the way that the road conditions are being observed.",概念合成-结构,11
23,"The function of the assisting crutch may be to move the robot at the same frequency as the elderly, and then have a certain support function, or to move the robot in a motor form, to stabilize some of its movements, and then to carry weight etc.",基于行为的评估,14
24,"The entertainment function may be more virtual, such as a screen projection or a way to play chess with the elderly on his own screen.",概念合成-行为,15
25,"It's not like that works, it's like it's screen-based, and it's a little more feasible.",基于行为的评估,16;24
26,"So the most basic communication function, then some of the outsourced functions are like phone lookup video etc, then the custodial function it's probably more like consulting the camera, then being able to.",概念合成-行为,17
27,"The structural level. First of all, the basic movement robots are probably somewhat similar in their overall shape to the ones in hospitals, which are the ones that are upright and higher.",基于结构的先例,2
28,"But that word, actually, is that the kind of nurse robot in the hospital, since it also performs some functions, like delivering medication, it may have some requirements in terms of its volume, capacity, and the fact that it is not a robot that can be used for medical purposes.",基于结构的评估,27
29,"Then, if there is no requirement for this at home, the whole thing may be a little thinner and longer. Then, for the convenience of the elderly, for example, if you want to grab a crutch, it may have a more suitable handle on the head. Then, and that is, it may be slightly upright, but it is not easy to fall, but the whole thing may be a shape that is almost a meter or so high, and then the whole thing may be a little thinner.",概念合成-结构,2;28
30,"Then, because there are many other smart devices, it is possible that it is more concentrated in the corresponding positions of the product.",概念合成-结构,12;19;23
31,"If there is an innovative structure, I might choose some. If there is a structure, it might be combined with a product like a vacuum cleaner, so it might have another function, that is, it might be helping the elderly, and the end result is a cleanup in this room.",概念合成-结构,2
32,"The idea that I might have is that since this robot is already in this form, he might be doing some housecleaning while he's exercising, and then one of the functions that would further reduce the burden of living for the elderly is this big clean, yes, and also keep the indoor room clean, and that's a big part of the job.",基于结构的评估,31
33,"The second option, option two. Maybe this needle is for the elderly.",基于功能的分析,0
34,"So, in the context of the nursing home, the ability to move or live independently may be uneven, but the ability to live independently may be uneven.",基于功能的先例,33
35,"He may have something to build on the first option, like delivering medicine, delivering food, or even a new one.",概念合成-功能,34
36,"Because he may need one person to meet some needs of several elderly people at the same time, and then some for several elderly people. Medicated meals are taken. Targeted management is done.",基于功能的分析,34
